exposure_id,archive,site,start,ra_deg,dec_deg,launch_id,launch_datetime_utc,launch_date_utc,rocket,flight_number,launch_site,outcome,delta_days,source_url,classification,geometric_visibility
DASCH:ivo://org.gavo.dc/~?dasch/q/mc37764,Harvard DASCH,DASCH historical observing site unresolved,1953-10-27 00:26:53.400006504+00:00,315.3973105834719,15.525615743589604,L0180,,1953-10-27,R-1,,Kapustin Yar,Successful[9],0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mc37770,Harvard DASCH,DASCH historical observing site unresolved,1953-11-02 00:15:15.899987727+00:00,315.802931966537,15.733661908588688,L0184,1953-11-02T18:32:00Z,1953-11-02,Aerobee RTV-A-1a,USAF 44,Holloman LC-A,Successful,0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mc37775,Harvard DASCH,DASCH historical observing site unresolved,1953-11-03 00:11:19.999999907+00:00,315.38666799143857,15.48081571266428,L0185,,1953-11-03,R-5,,Kapustin Yar,Successful[10],0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mc37775,Harvard DASCH,DASCH historical observing site unresolved,1953-11-03 00:11:19.999999907+00:00,315.38666799143857,15.48081571266428,L0186,1953-11-03T18:15:00Z,1953-11-03,Aerobee RTV-A-1a,USAF 45,Holloman LC-A,Successful,0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/adh02398,Harvard DASCH,DASCH historical observing site unresolved,1954-06-02 17:56:43.000018696+00:00,159.31559537743644,-58.40494194389123,L0227,1954-06-02T16:10:00Z,1954-06-02,Aerobee RTV-A-1a,USAF 47,Holloman LC-A,Successful,0,https://en.wikipedia.org/wiki/1954_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/adh02399,Harvard DASCH,DASCH historical observing site unresolved,1954-06-02 18:04:41.500013309+00:00,159.01235530935662,-58.420289759124856,L0227,1954-06-02T16:10:00Z,1954-06-02,Aerobee RTV-A-1a,USAF 47,Holloman LC-A,Successful,0,https://en.wikipedia.org/wiki/1954_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/adh02404,Harvard DASCH,DASCH historical observing site unresolved,1954-06-02 19:12:30.299991805+00:00,159.67332219918055,-58.41030470868596,L0227,1954-06-02T16:10:00Z,1954-06-02,Aerobee RTV-A-1a,USAF 47,Holloman LC-A,Successful,0,https://en.wikipedia.org/wiki/1954_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/adh02405,Harvard DASCH,DASCH historical observing site unresolved,1954-06-02 19:23:28.799985750+00:00,159.64281786288305,-58.46876868707618,L0227,1954-06-02T16:10:00Z,1954-06-02,Aerobee RTV-A-1a,USAF 47,Holloman LC-A,Successful,0,https://en.wikipedia.org/wiki/1954_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/b76679,Harvard DASCH,DASCH historical observing site unresolved,1953-03-19 18:13:21.300019029+00:00,161.9684567215394,-59.11121986398109,L0126,,1953-03-19,R-1,,Kapustin Yar,Successful[9],0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mf40764,Harvard DASCH,DASCH historical observing site unresolved,1954-06-02 17:29:47.400010926+00:00,160.01329922254075,-58.7979536285768,L0227,1954-06-02T16:10:00Z,1954-06-02,Aerobee RTV-A-1a,USAF 47,Holloman LC-A,Successful,0,https://en.wikipedia.org/wiki/1954_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mf40769,Harvard DASCH,DASCH historical observing site unresolved,1954-06-02 17:53:43.300002652+00:00,159.69094562891783,-58.68878828930986,L0227,1954-06-02T16:10:00Z,1954-06-02,Aerobee RTV-A-1a,USAF 47,Holloman LC-A,Successful,0,https://en.wikipedia.org/wiki/1954_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mf40839,Harvard DASCH,DASCH historical observing site unresolved,1954-06-08 17:38:06.700018444+00:00,158.90496210217023,-58.80414907388626,L0228,,1954-06-08,R-2,,Kapustin Yar,Successful[15],0,https://en.wikipedia.org/wiki/1954_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mf40850,Harvard DASCH,DASCH historical observing site unresolved,1954-06-08 23:37:07.799995943+00:00,158.62116262955104,-58.76208925942923,L0228,,1954-06-08,R-2,,Kapustin Yar,Successful[15],0,https://en.wikipedia.org/wiki/1954_in_spaceflight,date_screen_only,not_evaluated
