pair_index,canonical_pair,cell_ira,cell_idec,cell_size_deg,query_ra_deg,query_dec_deg,query_radius_deg,ordinary_j2016_margin_arcsec,maxrec,if_maxrec_hit,registration_epoch_utc
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1153,481,0.25,288.375,30.375,0.1984687469935588,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1153,489,0.25,288.375,32.375,0.1969959896600717,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1153,496,0.25,288.375,34.125,0.19565490461406765,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1153,497,0.25,288.375,34.375,0.1954595628621472,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1154,462,0.25,288.625,25.625,0.201680589220852,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1154,463,0.25,288.625,25.875,0.2015223210247138,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1154,464,0.25,288.625,26.125,0.2013628046992601,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1154,472,0.25,288.625,28.125,0.2000427927402717,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1154,476,0.25,288.625,29.125,0.19935447609384835,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1154,485,0.25,288.625,31.375,0.19774067283829405,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1154,496,0.25,288.625,34.125,0.19565490461406765,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1154,497,0.25,288.625,34.375,0.1954595628621472,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1155,470,0.25,288.875,27.625,0.20037998413903432,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1155,473,0.25,288.875,28.375,0.19987244117002329,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1155,477,0.25,288.875,29.375,0.19917954957175638,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1155,485,0.25,288.875,31.375,0.19774067283829405,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1155,487,0.25,288.875,31.875,0.19737036506086994,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1155,489,0.25,288.875,32.375,0.1969959896600717,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1155,492,0.25,288.875,33.125,0.19642698928457328,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1155,493,0.25,288.875,33.375,0.19623538327607554,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1155,494,0.25,288.875,33.625,0.196042826269893,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1156,466,0.25,289.125,26.625,0.20104006216246245,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1156,469,0.25,289.125,27.375,0.2005468054165028,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1156,471,0.25,289.125,27.875,0.20021197683844125,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1156,473,0.25,289.125,28.375,0.19987244117002329,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
