v075_ordinal,pair_index,population,raw_match_row,raw_separation_arcsec,corrected_separation_arcsec,loo_corrected_sep_min_arcsec,loo_corrected_sep_max_arcsec,window_arcmin,common_same_gaia_refs,triage_class,a_endpoint,a_tile_id,a_candidate_index,a_gaia_source_id,a_gaia_epoch_ra_deg,a_gaia_epoch_dec_deg,a_gaia_separation_arcsec,a_gaia_strict_le3,a_gaia_diagnostic_le5,a_pm_incomplete_static_neighbor_within15,a_pm_incomplete_source_id,a_pm_incomplete_static_catalog_sep_arcsec,a_pm_incomplete_ref_epoch,b_endpoint,b_tile_id,b_candidate_index,b_gaia_source_id,b_gaia_epoch_ra_deg,b_gaia_epoch_dec_deg,b_gaia_separation_arcsec,b_gaia_strict_le3,b_gaia_diagnostic_le5,b_pm_incomplete_static_neighbor_within15,b_pm_incomplete_source_id,b_pm_incomplete_static_catalog_sep_arcsec,b_pm_incomplete_ref_epoch,same_gaia_source_id,candidate_disposition_changed,a_x,b_x,a_y,b_y,a_x_global,b_x_global,a_y_global,b_y_global,a_ra_deg,b_ra_deg,a_dec_deg,b_dec_deg,a_snr,b_snr,a_signal,b_signal,a_polarity,b_polarity,a_noise,b_noise,a_local_sigma,b_local_sigma,a_threshold,b_threshold,a_gaia_catalog_ra,a_gaia_catalog_dec,a_gaia_catalog_ref_epoch,a_gaia_catalog_pmra,a_gaia_catalog_pmdec,a_gaia_catalog_parallax,b_gaia_catalog_ra,b_gaia_catalog_dec,b_gaia_catalog_ref_epoch,b_gaia_catalog_pmra,b_gaia_catalog_pmdec,b_gaia_catalog_parallax
11,17,DIAGNOSTIC_179,292691,0.9648059341513074,2.961974525601065,2.4674950950753267,3.31801801661254,20.0,11,NO_GAIA_WITHIN_5_ARCSEC,APPLAUSE:14120,x16384-17168_y03072-04096,320,3332821538532526080,85.26966495819464,5.774765642784643,5.427484366359753,False,False,False,,,,APPLAUSE:132654,x01024-02048_y01024-02048,172,3332821538532526080,85.26966495819464,5.774765642784643,6.220545322210433,False,False,False,,,,True,False,,,,,,,,,85.2681725184004,85.26793368904545,5.774504617224489,5.774628564192625,4.180331940736481,4.358429299768388,3108.2830232340566,4809.592133207483,1,-1,,,,,,,85.26958373634446,5.774655994837192,2016.0,-4.686145262416074,-6.358475492651611,,85.26958373634446,5.774655994837192,2016.0,-4.686145262416074,-6.358475492651611,
12,17,PRIMARY_424,292692,0.9790528838849504,1.8102930900713392,1.6593988561545712,1.9265627521663575,10.0,6,SAME_GAIA_DIAGNOSTIC_ONLY,APPLAUSE:14120,x14336-15360_y02048-03072,84,3333132395380921600,84.96442099364204,6.527498381930669,2.483159029137663,True,True,False,,,,APPLAUSE:132654,x01024-02048_y02048-03072,37,3333132395380921600,84.96442099364204,6.527498381930669,3.383963098214649,False,True,False,,,,True,False,,,,,,,,,84.96379964496735,84.9635259292999,6.527190660353801,6.527193761954688,4.614828440802183,5.283543398638812,4375.983909306025,5772.894634413067,-1,-1,,,,,,,,,,,,,,,,,,
13,17,PRIMARY_424,292693,1.0021010043438123,1.106929079444404,0.9828760879510767,2.476958898072536,5.0,5,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x07168-08192_y01024-02048,146,3334890686274390144,84.52032333801758,9.231566511237336,1.605543906220538,True,True,False,,,,APPLAUSE:132654,x01024-02048_y04096-05120,154,3334890686274390144,84.52032333801758,9.231566511237336,2.5974368911293917,True,True,False,,,,True,False,,,,,,,,,84.52075983631407,84.52101459340025,9.23168172813872,9.23180111935248,14.003463153105267,10.563656086403432,12922.451667924684,11571.909808516826,-1,-1,,,,,,,,,,,,,,,,,,
14,17,DIAGNOSTIC_179,292695,1.0280918507211396,2.944094732124391,2.312826536149556,3.5746679637431287,10.0,10,SAME_GAIA_DIAGNOSTIC_ONLY,APPLAUSE:14120,x07168-08192_y03072-04096,142,3336358392562563840,85.42053135900721,9.328973390992628,3.51477724013816,False,True,False,,,,APPLAUSE:132654,x01024-02048_y04096-05120,188,3336358392562563840,85.42053135900721,9.328973390992628,3.7420482773281702,False,True,False,,,,True,False,,,,,,,,,85.41958874820808,85.41947848971948,9.32927011957945,9.329006075878567,13.290311680077371,8.079452275516866,11828.498669921864,8850.599855748333,-1,-1,,,,,,,,,,,,,,,,,,
15,17,PRIMARY_424,292697,1.041353581633073,1.8663022269074998,1.5226782935412464,2.5977162078806697,10.0,13,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x08192-09216_y01024-02048,86,3334884497224112128,84.44505324638125,9.180556065334834,1.0424480603144286,True,True,False,,,,APPLAUSE:132654,x02048-03072_y04096-05120,145,3334884497224112128,84.44505324638125,9.180556065334834,0.6122252376721974,True,True,False,,,,True,False,,,,,,,,,84.44527722110733,84.44519838118286,9.18074304779413,9.18046445012304,25.018024720111583,14.9624548939021,23512.967348373262,17014.587992325156,-1,-1,,,,,,,84.44506013815521,9.180491306016714,2016.0,0.394534012463087,-3.755387360488796,,84.44506013815521,9.180491306016714,2016.0,0.394534012463087,-3.755387360488796,
16,17,PRIMARY_424,292698,1.066215378149557,1.3511867933384991,0.9956477472515183,1.8650081083591417,10.0,11,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x06144-07168_y02048-03072,87,3336447835257750272,84.9215457054693,9.848688306371155,2.571022974164075,True,True,True,3336447835257583104,12.634178729176428,2016.0,APPLAUSE:132654,x01024-02048_y04096-05120,358,3336447835257750272,84.9215457054693,9.848688306371155,1.9194454677715378,True,True,True,3336447835257583104,12.514210285797478,2016.0,True,False,,,,,,,,,84.92157701161244,84.92136573305687,9.849401813024624,9.849191136141162,5.223004037979017,11.199808761601703,4542.537627524958,12268.780411045827,-1,-1,,,,,,,,,,,,,,,,,,
17,17,PRIMARY_424,292700,1.114188263199786,1.6611864860365353,1.385099467121352,1.9373473342200493,10.0,10,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x07168-08192_y04096-05120,72,3336167077539168768,85.68558966411972,9.255294850631135,0.7755701551429538,True,True,False,,,,APPLAUSE:132654,x01024-02048_y04096-05120,155,3336167077539168768,85.68558966411972,9.255294850631135,0.8638917313541399,True,True,False,,,,True,False,,,,,,,,,85.68547249880129,85.6853748091086,9.25511308121837,9.25540717612612,22.38924425899392,10.265484319163225,19673.698302756853,11245.27887981868,-1,-1,,,,,,,85.68557226697064,9.25532220088898,2016.0,-0.9957253709423384,1.5860391046491873,,85.68557226697064,9.25532220088898,2016.0,-0.9957253709423384,1.5860391046491873,
18,17,PRIMARY_424,292701,1.1142234842230896,0.32479031443339146,0.19037409029191368,0.696527193521292,10.0,11,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x05120-06144_y02048-03072,76,3336460715863246592,84.92861351989377,10.062098349770336,1.2726003986014252,True,True,False,,,,APPLAUSE:132654,x01024-02048_y05120-06144,29,3336460715863246592,84.92861351989377,10.062098349770336,0.809732513686278,True,True,False,,,,True,False,,,,,,,,,84.92837561780678,84.92838958587365,10.062363099903973,10.0620538991003,10.406977064381728,9.745127066624818,8814.901959866715,10447.52920206872,-1,-1,,,,,,,,,,,,,,,,,,
19,17,PRIMARY_424,292702,1.1701283950207753,1.5801701190256143,1.481275253535162,2.0914724049922127,20.0,23,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x13312-14336_y00000-01024,373,3333213690522941056,84.12227615600844,6.833947491145976,0.5628732860344596,True,True,False,,,,APPLAUSE:132654,x02048-03072_y02048-03072,141,3333213690522941056,84.12227615600844,6.833947491145976,1.6902030728490176,True,True,False,,,,True,False,,,,,,,,,84.12214538288326,84.12182017448126,6.83403459461216,6.834071812956444,30.126522324046803,17.400407708839015,28719.96983702288,19664.211213595136,-1,-1,,,,,,,,,,,,,,,,,,
20,17,PRIMARY_424,292704,1.2312514032377735,0.27220668106438045,0.058979133733021286,0.5008994691626961,10.0,13,SAME_GAIA_STRICT_BOTH_ENDPOINTS,APPLAUSE:14120,x06144-07168_y02048-03072,113,3336450103000453120,85.00695909074342,9.937483469046393,1.6876276537164476,True,True,True,3336450137359070208,13.17281543389305,2016.0,APPLAUSE:132654,x01024-02048_y04096-05120,397,3336450103000453120,85.00695909074342,9.937483469046393,1.3335426142729592,True,True,True,3336450137359070208,12.310310553185774,2016.0,True,False,,,,,,,,,85.00648914495488,85.00674542891981,9.937409388297398,9.937178632315552,6.061456112619387,9.867020312057637,5271.754007645541,10808.783265568143,-1,-1,,,,,,,85.00310827074902,9.94018052043653,2016.0,9.03582032383446,-14.970458146400931,,85.00310827074902,9.94018052043653,2016.0,9.03582032383446,-14.970458146400931,
