exposure_a,archive_a,site_a,start_a_utc,duration_a_s,end_a_utc,time_precision_a,ra_a_deg,dec_a_deg,fov_a_deg,access_a,exposure_b,archive_b,site_b,start_b_utc,duration_b_s,end_b_utc,time_precision_b,ra_b_deg,dec_b_deg,fov_b_deg,access_b,midpoint_delta_minutes,center_separation_deg,classification,validation_needed
DASCH:ivo://org.gavo.dc/~?dasch/q/bi05340,Harvard DASCH,DASCH historical observing site unresolved,1951-01-14T18:17:36.499989540+00:00,7200.0,1951-01-14T20:17:36.499989540+00:00,service_timestamp,75.62528044502109,0.1913925581014998,83.82941957437602,http://dc.g-vo.org/getproduct/dasch/q/bi05340,APPLAUSE:11753,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-14T21:50:51+00:00,600.0,1951-01-14T22:00:51+00:00,calibrated_ut,68.9069,17.2148,5.0,https://www.plate-archive.org/,158.24166683333334,18.26336344559746,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
DASCH:ivo://org.gavo.dc/~?dasch/q/bi05340,Harvard DASCH,DASCH historical observing site unresolved,1951-01-14T18:17:36.499989540+00:00,7200.0,1951-01-14T20:17:36.499989540+00:00,service_timestamp,75.62528044502109,0.1913925581014998,83.82941957437602,http://dc.g-vo.org/getproduct/dasch/q/bi05340,APPLAUSE:11754,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-14T22:04:49+00:00,600.0,1951-01-14T22:14:49+00:00,calibrated_ut,68.9069,17.2148,5.0,https://www.plate-archive.org/,172.2083335,18.26336344559746,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
DASCH:ivo://org.gavo.dc/~?dasch/q/bi05340,Harvard DASCH,DASCH historical observing site unresolved,1951-01-14T18:17:36.499989540+00:00,7200.0,1951-01-14T20:17:36.499989540+00:00,service_timestamp,75.62528044502109,0.1913925581014998,83.82941957437602,http://dc.g-vo.org/getproduct/dasch/q/bi05340,APPLAUSE:11755,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-14T22:42:13+00:00,300.0,1951-01-14T22:47:13+00:00,calibrated_ut,86.4224,9.05,5.0,https://www.plate-archive.org/,207.1083335,13.930485743663347,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
DASCH:ivo://org.gavo.dc/~?dasch/q/bi05340,Harvard DASCH,DASCH historical observing site unresolved,1951-01-14T18:17:36.499989540+00:00,7200.0,1951-01-14T20:17:36.499989540+00:00,service_timestamp,75.62528044502109,0.1913925581014998,83.82941957437602,http://dc.g-vo.org/getproduct/dasch/q/bi05340,APPLAUSE:11756,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-14T23:00:40+00:00,1020.0,1951-01-14T23:17:40+00:00,calibrated_ut,103.1292,-0.0621,5.0,https://www.plate-archive.org/,231.5583335,27.505047331699863,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
DASCH:ivo://org.gavo.dc/~?dasch/q/mf39429,Harvard DASCH,DASCH historical observing site unresolved,1951-01-14T19:08:34.299993220+00:00,2700.0,1951-01-14T19:53:34.299993220+00:00,service_timestamp,104.13357967052356,-6.725996051495512,14.262767,http://dc.g-vo.org/getproduct/dasch/q/mf39429,APPLAUSE:11756,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-14T23:00:40+00:00,1020.0,1951-01-14T23:17:40+00:00,calibrated_ut,103.1292,-0.0621,5.0,https://www.plate-archive.org/,218.0950001,6.7388135361518735,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
DASCH:ivo://org.gavo.dc/~?dasch/q/bi05341,Harvard DASCH,DASCH historical observing site unresolved,1951-01-14T20:19:18.199990079+00:00,6000.0,1951-01-14T21:59:18.199990079+00:00,service_timestamp,90.09535669034608,0.959742425470562,90.49929207620762,http://dc.g-vo.org/getproduct/dasch/q/bi05341,APPLAUSE:11751,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-14T21:24:55+00:00,600.0,1951-01-14T21:34:55+00:00,calibrated_ut,68.9069,17.2148,5.0,https://www.plate-archive.org/,20.613333483333335,26.432507537159978,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
DASCH:ivo://org.gavo.dc/~?dasch/q/bi05341,Harvard DASCH,DASCH historical observing site unresolved,1951-01-14T20:19:18.199990079+00:00,6000.0,1951-01-14T21:59:18.199990079+00:00,service_timestamp,90.09535669034608,0.959742425470562,90.49929207620762,http://dc.g-vo.org/getproduct/dasch/q/bi05341,APPLAUSE:11752,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-14T21:39:53+00:00,600.0,1951-01-14T21:49:53+00:00,calibrated_ut,68.9069,17.2148,5.0,https://www.plate-archive.org/,35.580000150000004,26.432507537159978,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
DASCH:ivo://org.gavo.dc/~?dasch/q/bi05341,Harvard DASCH,DASCH historical observing site unresolved,1951-01-14T20:19:18.199990079+00:00,6000.0,1951-01-14T21:59:18.199990079+00:00,service_timestamp,90.09535669034608,0.959742425470562,90.49929207620762,http://dc.g-vo.org/getproduct/dasch/q/bi05341,APPLAUSE:11753,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-14T21:50:51+00:00,600.0,1951-01-14T22:00:51+00:00,calibrated_ut,68.9069,17.2148,5.0,https://www.plate-archive.org/,46.546666816666665,26.432507537159978,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
DASCH:ivo://org.gavo.dc/~?dasch/q/bi05341,Harvard DASCH,DASCH historical observing site unresolved,1951-01-14T20:19:18.199990079+00:00,6000.0,1951-01-14T21:59:18.199990079+00:00,service_timestamp,90.09535669034608,0.959742425470562,90.49929207620762,http://dc.g-vo.org/getproduct/dasch/q/bi05341,APPLAUSE:11754,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-14T22:04:49+00:00,600.0,1951-01-14T22:14:49+00:00,calibrated_ut,68.9069,17.2148,5.0,https://www.plate-archive.org/,60.513333483333334,26.432507537159978,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
DASCH:ivo://org.gavo.dc/~?dasch/q/bi05341,Harvard DASCH,DASCH historical observing site unresolved,1951-01-14T20:19:18.199990079+00:00,6000.0,1951-01-14T21:59:18.199990079+00:00,service_timestamp,90.09535669034608,0.959742425470562,90.49929207620762,http://dc.g-vo.org/getproduct/dasch/q/bi05341,APPLAUSE:11755,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-14T22:42:13+00:00,300.0,1951-01-14T22:47:13+00:00,calibrated_ut,86.4224,9.05,5.0,https://www.plate-archive.org/,95.41333348333333,8.877916554794966,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
DASCH:ivo://org.gavo.dc/~?dasch/q/bi05341,Harvard DASCH,DASCH historical observing site unresolved,1951-01-14T20:19:18.199990079+00:00,6000.0,1951-01-14T21:59:18.199990079+00:00,service_timestamp,90.09535669034608,0.959742425470562,90.49929207620762,http://dc.g-vo.org/getproduct/dasch/q/bi05341,APPLAUSE:11756,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-14T23:00:40+00:00,1020.0,1951-01-14T23:17:40+00:00,calibrated_ut,103.1292,-0.0621,5.0,https://www.plate-archive.org/,119.86333348333332,13.073264963191408,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels
