priority_rank,dasch_plate_id,poss_exposure_id,detected_in,ra_deg,dec_deg,peak_snr,polarity,nearest_other_arcsec,status
1,bi05397,POSS-I:266:E,DASCH,260.0897110972717,-6.123082787890583,6.580307419103595,-1,10.386153979482172,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.8740742270321,-6.170294140568838,6.051797535124076,-1,17.186219456325386,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.87570146876106,-6.0474945915557745,5.871947414648494,-1,12.456830400557186,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.8443295380497,-6.035089303040923,5.857235870868454,-1,18.2639197313845,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,260.039813633048,-6.042693284605713,5.770749851888646,-1,23.167976801698646,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,260.02495350052186,-6.209895161689856,5.5877731478668755,-1,16.783579985873985,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.96097713462456,-6.136699945933817,5.469348121193335,-1,16.81239201467176,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,260.1042022493081,-6.153478830920848,5.4380078328430335,-1,21.287373222798273,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.9042554159166,-6.10069778920053,5.393245626588299,-1,15.298712851380325,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.8619846169269,-6.285091811321978,5.327733749359813,-1,19.856007324457842,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.9291959222278,-6.116699464302096,5.27599335101402,-1,11.299383095645036,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.9316120965861,-6.05709964297923,5.1915718226283225,-1,16.405753371837008,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.96983167245804,-6.2598995983505175,5.094384411034158,-1,25.889956298035685,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,260.02373800180396,-6.146295395267107,5.074362338397749,-1,12.835934041575623,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,260.0615488640097,-6.114689179868326,4.9870246294917555,-1,13.58187661400636,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.80282610334626,-6.297078108571842,4.938695883137441,-1,12.98023366805811,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.95936964261983,-6.289099677092441,4.908083251658447,-1,12.373426276003268,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,260.07761604920256,-6.01068622276441,4.900244196018266,-1,23.169864961434048,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,260.08854305486267,-6.27588244952779,4.8328089112762,-1,30.73701360398435,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.86079358461365,-6.191891977680686,4.7645006679166615,-1,16.30239161684363,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.83743992655826,-6.272687070951835,4.633484170895521,-1,27.757798502818403,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.8584027810931,-6.0614918066495616,4.6185165153952825,-1,11.043698800643424,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.79762832263236,-6.181877345464467,4.538041365467547,-1,12.37986042704054,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,260.07042629787014,-6.237887001272548,4.480884972483179,-1,10.065773685194394,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.8853332308858,-6.219095617078135,4.456143259171072,-1,12.508982386101897,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,260.09251647177877,-6.082282216747089,4.440067822525223,-1,11.981237593069553,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,260.0390391921439,-6.229093030606159,4.433437963105373,-1,19.368087816184524,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.8419006779068,-6.109088539266265,4.345575318509114,-1,12.022595528685603,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,260.0426630464058,-6.243892380188284,4.345237169017058,-1,17.632623355278398,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.8410592216882,-6.283887774232149,4.325964893733804,-1,14.110106469255486,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,260.108645234086,-6.213477321242091,4.287702134487578,-1,12.007166739515366,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.92397213342406,-6.008299490740419,4.266093984818973,-1,10.619831030441278,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.83347211485636,-6.02308711276385,4.231967453696449,-1,22.647318549430263,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.800064817101,-6.103878334026655,4.2075471433939615,-1,18.258355148796777,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.9078771810038,-6.085898122816436,4.174965281700967,-1,12.245957921953504,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,260.0728238639867,-6.1634866992257376,4.1647977214072185,-1,15.743774928778043,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,260.0792495872965,-6.115085348357352,4.143169679970251,-1,16.250528186972545,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.9839036626105,-6.051899233686266,4.14195727343202,-1,12.586881434808904,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.87168597250496,-6.0026942580279945,4.139257997089268,1,16.569838683686452,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,260.00524686771587,-6.302297057228634,4.132751845498996,-1,15.214042205555478,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.85800856043227,-6.016691961191823,4.124566214816419,-1,16.266193553738958,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.956149034522,-6.054300074945189,4.0807894744711,1,11.126154238243576,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,260.00000481254915,-6.1830979599844955,4.044183341864396,-1,10.913530271865369,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.8169651052326,-6.0858829155382095,4.034886215787183,-1,15.33699738228653,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,260.0945604845237,-6.2054812761184674,4.018955861142,-1,13.302947723119031,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,DASCH,259.97666265590294,-6.036699641400555,4.0077380150762005,-1,13.605346736685352,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,260.0626447223953,-6.129851587779376,43.099241307516564,1,51.14958172442904,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.88692073718903,-6.145693940114633,42.95635835500894,1,43.16358369581259,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.9958302811336,-6.214520561903889,42.55440052956321,1,44.733975219968194,unvetted_single-image_peak
1,bi05397,POSS-I:266:E,POSS,259.9395244211618,-6.077121097983999,42.52680578117089,1,77.4430353869196,unvetted_single-image_peak
