exposure_a,archive_a,site_a,start_a_utc,exposure_b,archive_b,site_b,start_b_utc,exposure_c,archive_c,site_c,start_c_utc,classification,validation_needed
APPLAUSE:12409,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T20:58:12+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139006,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T21:49:00+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
APPLAUSE:12409,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T20:58:12+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139005,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T21:04:00+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
APPLAUSE:12409,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T20:58:12+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139001,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T18:30:30+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
APPLAUSE:12427,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T22:27:57+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139003,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T19:43:00+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
APPLAUSE:12427,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T22:27:57+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139006,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T21:49:00+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
APPLAUSE:12427,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T22:27:57+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139005,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T21:04:00+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
APPLAUSE:12427,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T22:27:57+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139001,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T18:30:30+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
APPLAUSE:12405,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T20:38:15+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139003,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T19:43:00+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
APPLAUSE:12424,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T22:13:00+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139003,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T19:43:00+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
APPLAUSE:12422,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T22:03:01+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139003,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T19:43:00+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
APPLAUSE:12406,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T20:43:14+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139003,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T19:43:00+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
APPLAUSE:12415,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T21:28:07+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139003,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T19:43:00+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
APPLAUSE:12420,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T21:53:03+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139003,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T19:43:00+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
APPLAUSE:12411,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T21:08:10+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139003,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T19:43:00+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
APPLAUSE:12425,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T22:17:59+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139003,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T19:43:00+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
APPLAUSE:12405,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T20:38:15+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139006,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T21:49:00+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
APPLAUSE:12405,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T20:38:15+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139005,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T21:04:00+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
APPLAUSE:12405,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T20:38:15+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139001,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T18:30:30+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
APPLAUSE:12424,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T22:13:00+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139006,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T21:49:00+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
APPLAUSE:12424,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T22:13:00+00:00,APPLAUSE:131662,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1951-09-01T19:54:00+00:00,APPLAUSE:139005,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T21:04:00+00:00,candidate_three_site_pairwise_overlap,verify three timestamps and true footprint intersection; inspect all pixels
