priority_rank,exposure_a,archive_a,site_a,start_a_utc,duration_a_s,end_a_utc,time_precision_a,ra_a_deg,dec_a_deg,fov_a_deg,access_a,exposure_b,archive_b,site_b,start_b_utc,duration_b_s,end_b_utc,time_precision_b,ra_b_deg,dec_b_deg,fov_b_deg,access_b,midpoint_delta_minutes,center_separation_deg,classification,validation_needed,dasch_plate_id_a,resolved_location_a,telescope_a,latitude_a,longitude_a,wcs_solution_count_a,dasch_plate_id_b,resolved_location_b,telescope_b,latitude_b,longitude_b,wcs_solution_count_b,interval_overlap_s,interval_gap_s,approx_overlap_area_sqdeg,overlap_fraction_smaller_field,site_independence,priority_score,priority_reasons,validation_status
16,APPLAUSE:139006,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T21:49:00+00:00,1920.0,1951-09-01T22:21:00+00:00,calibrated_ut,303.6933,36.8,5.0,https://www.plate-archive.org/,APPLAUSE:12423,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T22:08:01+00:00,30.0,1951-09-01T22:08:31+00:00,calibrated_ut,301.647,35.5585,5.0,https://www.plate-archive.org/,3.2666666666666666,2.066185774218204,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,,,,,,0,,,,,,0,30.0,0.0,9.606085022998037,0.4892338928547714,distinct_physical_sites_from_metadata,80,exposure_intervals_overlap;footprint_overlap_ge_25pct;physical_sites_resolved,metadata_screen_complete_pixel_validation_pending
17,APPLAUSE:139005,Zeiss Double Astrograph,Vatican Observatory,1951-09-01T21:04:00+00:00,2400.0,1951-09-01T21:44:00+00:00,calibrated_ut,303.6933,36.8,5.0,https://www.plate-archive.org/,APPLAUSE:12415,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-01T21:28:07+00:00,30.0,1951-09-01T21:28:37+00:00,calibrated_ut,301.647,35.5585,5.0,https://www.plate-archive.org/,4.366666666666666,2.066185774218204,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,,,,,,0,,,,,,0,30.0,0.0,9.606085022998037,0.4892338928547714,distinct_physical_sites_from_metadata,80,exposure_intervals_overlap;footprint_overlap_ge_25pct;physical_sites_resolved,metadata_screen_complete_pixel_validation_pending
18,APPLAUSE:132099,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1952-09-16T20:17:00+00:00,3420.0,1952-09-16T21:14:00+00:00,calibrated_ut,315.565,10.1873,5.0,https://www.plate-archive.org/,DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,Harvard DASCH,DASCH historical observing site unresolved,1952-09-16T19:48:25.799983652+00:00,7200.0,1952-09-16T21:48:25.799983652+00:00,service_timestamp,0.828486832813951,1.6182960916286755,90.30358801185592,http://dc.g-vo.org/getproduct/dasch/q/bi05640,2.9299997166666665,45.77564198556228,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,,,,,,0,bi05640,,1.5 inch Ross (short focus),0,0,1,3420.0,0.0,6.6272378552964,0.33752245238916895,independent_archive_site_unresolved,65,exposure_intervals_overlap;footprint_overlap_ge_25pct;site_resolution_required,metadata_screen_complete_pixel_validation_pending
19,APPLAUSE:132098,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1952-09-16T20:17:00+00:00,3420.0,1952-09-16T21:14:00+00:00,calibrated_ut,323.0979,0.2091,5.0,https://www.plate-archive.org/,DASCH:ivo://org.gavo.dc/~?dasch/q/bi05640,Harvard DASCH,DASCH historical observing site unresolved,1952-09-16T19:48:25.799983652+00:00,7200.0,1952-09-16T21:48:25.799983652+00:00,service_timestamp,0.828486832813951,1.6182960916286755,90.30358801185592,http://dc.g-vo.org/getproduct/dasch/q/bi05640,2.9299997166666665,37.75096048309389,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,,,,,,0,bi05640,,1.5 inch Ross (short focus),0,0,1,3420.0,0.0,19.634954084936208,1.0,independent_archive_site_unresolved,65,exposure_intervals_overlap;footprint_overlap_ge_25pct;site_resolution_required,metadata_screen_complete_pixel_validation_pending
20,DASCH:ivo://org.gavo.dc/~?dasch/q/b76371,Harvard DASCH,Bloemfontein,1952-09-16T19:16:37.200009224+00:00,2700.0,1952-09-16T20:01:37.200009224+00:00,service_timestamp,281.7434268035974,-7.67867356301146,15.294721,http://dc.g-vo.org/getproduct/dasch/q/b76371,APPLAUSE:132097,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1952-09-16T19:13:00+00:00,3420.0,1952-09-16T20:10:00+00:00,calibrated_ut,285.5965,0.0702,5.0,https://www.plate-archive.org/,2.3799998333333336,8.648872737864687,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,b76371,Bloemfontein,8-inch Bache Doublet,-29.0383,-26.4042,1,,,,,,0,2700.0,0.0,4.468879901808677,0.22759818446619992,distinct_physical_sites_from_metadata,65,exposure_intervals_overlap;partial_footprint_overlap;physical_sites_resolved,metadata_screen_complete_pixel_validation_pending
21,APPLAUSE:13623,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1952-08-14T20:51:12+00:00,2400.0,1952-08-14T21:31:12+00:00,calibrated_ut,294.8094,30.1276,5.0,https://www.plate-archive.org/,DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,Harvard DASCH,DASCH historical observing site unresolved,1952-08-14T20:41:28.299988003+00:00,3600.0,1952-08-14T21:41:28.299988003+00:00,service_timestamp,315.1832354817297,1.5214029531415458,90.39655841911927,http://dc.g-vo.org/getproduct/dasch/q/bi05607,0.2716664666666666,34.5286924406838,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,,,,,,0,bi05607,,1.5 inch Ross (short focus),0,0,1,2400.0,0.0,19.634954084936208,1.0,independent_archive_site_unresolved,65,exposure_intervals_overlap;footprint_overlap_ge_25pct;site_resolution_required,metadata_screen_complete_pixel_validation_pending
22,APPLAUSE:13387,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-10-24T18:19:40+00:00,30.0,1951-10-24T18:20:10+00:00,calibrated_ut,301.6456,35.558,5.0,https://www.plate-archive.org/,DASCH:ivo://org.gavo.dc/~?dasch/q/bi05485,Harvard DASCH,DASCH historical observing site unresolved,1951-10-24T17:21:00.499982745+00:00,7200.0,1951-10-24T19:21:00.499982745+00:00,service_timestamp,315.61487644013187,0.1921476337237595,83.8295615201287,http://dc.g-vo.org/getproduct/dasch/q/bi05485,1.0916663666666666,37.68222444613895,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,,,,,,0,bi05485,,1.5 inch Ross (short focus),0,0,1,30.0,0.0,19.634954084936208,1.0,independent_archive_site_unresolved,65,exposure_intervals_overlap;footprint_overlap_ge_25pct;site_resolution_required,metadata_screen_complete_pixel_validation_pending
23,APPLAUSE:139012,Zeiss Double Astrograph,Vatican Observatory,1951-09-19T19:59:00+00:00,900.0,1951-09-19T20:14:00+00:00,calibrated_ut,298.9171,39.3307,5.0,https://www.plate-archive.org/,APPLAUSE:12569,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-19T20:07:22+00:00,30.0,1951-09-19T20:07:52+00:00,calibrated_ut,301.6465,35.5583,5.0,https://www.plate-archive.org/,1.1166666666666667,4.349922337287497,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,,,,,,0,,,,,,0,30.0,0.0,1.0831790715726424,0.0551658571182323,distinct_physical_sites_from_metadata,65,exposure_intervals_overlap;partial_footprint_overlap;physical_sites_resolved,metadata_screen_complete_pixel_validation_pending
24,APPLAUSE:12563,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-19T19:22:29+00:00,30.0,1951-09-19T19:22:59+00:00,calibrated_ut,301.6465,35.5583,5.0,https://www.plate-archive.org/,APPLAUSE:139010,Zeiss Double Astrograph,Vatican Observatory,1951-09-19T19:17:00+00:00,900.0,1951-09-19T19:32:00+00:00,calibrated_ut,298.9171,39.3307,5.0,https://www.plate-archive.org/,1.7666666666666666,4.349922337287497,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,,,,,,0,,,,,,0,30.0,0.0,1.0831790715726424,0.0551658571182323,distinct_physical_sites_from_metadata,65,exposure_intervals_overlap;partial_footprint_overlap;physical_sites_resolved,metadata_screen_complete_pixel_validation_pending
25,APPLAUSE:139011,Zeiss Double Astrograph,Vatican Observatory,1951-09-19T19:38:00+00:00,900.0,1951-09-19T19:53:00+00:00,calibrated_ut,298.9171,39.3307,5.0,https://www.plate-archive.org/,APPLAUSE:12566,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-19T19:47:25+00:00,30.0,1951-09-19T19:47:55+00:00,calibrated_ut,301.6465,35.5583,5.0,https://www.plate-archive.org/,2.1666666666666665,4.349922337287497,candidate_independent_overlap,inspect logbooks; verify timestamp precision; use true footprint; inspect pixels,,,,,,0,,,,,,0,30.0,0.0,1.0831790715726424,0.0551658571182323,distinct_physical_sites_from_metadata,65,exposure_intervals_overlap;partial_footprint_overlap;physical_sites_resolved,metadata_screen_complete_pixel_validation_pending
