raw_match_row,blind_code,panel_role,observatory,physical_plate_id,scan_id,registration_mode,measurement_source,banked_crosshair_x_px,banked_crosshair_y_px,reconstructed_x_px,reconstructed_y_px,delta_x_px,delta_y_px,residual_px,render_reconstruction_status,reconstruction_source,manual_feature,manual_morphology,manual_confidence,manual_notes
294052,B001,SCIENCE_HAMBURG,HAMBURG,7685,,SCIENCE,SCIENCE_V075_SKY_COORDINATE,3509.000000000012,679.0000000000008,3509.000000000012,679.0000000000008,0.0,0.0,0.0,PASS,v075 a_ra_deg/a_dec_deg -> exact science FITS WCS,DEFINITE,STELLAR_COMPACT,5,
294052,B017,V082_CLOSE_TIME,HAMBURG,7687,10000,PRIMARY,BANKED_V082_EXACT_FROZEN_V080_METHOD,16394.155572210246,21766.155188522727,16394.155572210246,21766.155188522727,0.0,0.0,0.0,PASS,v080 registered target + banked local registration shift -> exact comparison FITS WCS,DEFINITE,STELLAR_COMPACT,4,
294052,B022,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,BAMBERG,89097,113642,PRIMARY,BANKED_V080,6377.250236076501,7893.579531810726,6377.250236076501,7893.579531810726,0.0,0.0,0.0,PASS,v080 registered target + banked local registration shift -> exact comparison FITS WCS,DEFINITE,EXTENDED_OR_BLENDED,2,
294052,B010,SCIENCE_BAMBERG,BAMBERG,89580,,SCIENCE,SCIENCE_V075_SKY_COORDINATE,2404.981083137416,6029.104672059397,2404.981083137416,6029.104672059397,0.0,0.0,0.0,PASS,v075 b_ra_deg/b_dec_deg -> exact science FITS WCS,DEFINITE,STELLAR_COMPACT,5,
294052,B003,BAMBERG_FOLLOWING_QUALIFIED_NEGATIVE,BAMBERG,89595,114131,PRIMARY,BANKED_V080,2065.431896381064,639.321680173457,2065.431896381064,639.321680173457,0.0,0.0,0.0,PASS,v080 registered target + banked local registration shift -> exact comparison FITS WCS,WEAK_OR_AMBIGUOUS,AMBIGUOUS,5,
294130,B012,HAMBURG_PRECEDING_QUALIFIED_NEGATIVE,HAMBURG,7665,9959,PRIMARY,BANKED_V080,603.7795314551229,15344.795516298305,603.7795314551229,15344.795516298305,0.0,0.0,0.0,PASS,v080 registered target + banked local registration shift -> exact comparison FITS WCS,WEAK_OR_AMBIGUOUS,STELLAR_COMPACT,2,
294130,B025,SCIENCE_HAMBURG,HAMBURG,7685,,SCIENCE,SCIENCE_V075_SKY_COORDINATE,1761.99999999993,962.0000000000169,1761.99999999993,962.0000000000169,0.0,0.0,0.0,PASS,v075 a_ra_deg/a_dec_deg -> exact science FITS WCS,DEFINITE,STELLAR_COMPACT,5,
294130,B027,HAMBURG_FOLLOWING_QUALIFIED_NEGATIVE,HAMBURG,7703,10030,PRIMARY,BANKED_V080,886.6206156582018,15360.90604190688,886.6206156582018,15360.90604190688,0.0,0.0,0.0,PASS,v080 registered target + banked local registration shift -> exact comparison FITS WCS,ABSENT,AMBIGUOUS,3,"Object is just below crosshair (possible edge overlap), could be a crosshair misalignment, could be a false positive."
294130,B007,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,BAMBERG,89097,113642,PRIMARY,BANKED_V080,6350.28673338778,8062.905322248253,6350.28673338778,8062.905322248253,0.0,0.0,0.0,PASS,v080 registered target + banked local registration shift -> exact comparison FITS WCS,ABSENT,AMBIGUOUS,4,
294130,B023,SCIENCE_BAMBERG,BAMBERG,89580,,SCIENCE,SCIENCE_V075_SKY_COORDINATE,2307.9783156732024,6602.283924769762,2307.9783156732024,6602.283924769762,0.0,0.0,0.0,PASS,v075 b_ra_deg/b_dec_deg -> exact science FITS WCS,DEFINITE,STELLAR_COMPACT,3,
294130,B020,BAMBERG_FOLLOWING_QUALIFIED_NEGATIVE,BAMBERG,89595,114131,PRIMARY,BANKED_V080,2043.411420695409,822.6663291152781,2043.411420695409,822.6663291152781,0.0,0.0,0.0,PASS,v080 registered target + banked local registration shift -> exact comparison FITS WCS,WEAK_OR_AMBIGUOUS,EXTENDED_OR_BLENDED,3,
294179,B028,SCIENCE_HAMBURG,HAMBURG,7685,,SCIENCE,SCIENCE_V075_SKY_COORDINATE,1235.9999999998945,553.9999999999644,1235.9999999998945,553.9999999999644,0.0,0.0,0.0,PASS,v075 a_ra_deg/a_dec_deg -> exact science FITS WCS,DEFINITE,STELLAR_COMPACT,5,
294179,B018,BAMBERG_PRECEDING_QUALIFIED_NEGATIVE,BAMBERG,89097,113642,PRIMARY,BANKED_V080,6390.1018175382405,8115.0885043420785,6390.1018175382405,8115.0885043420785,0.0,0.0,0.0,PASS,v080 registered target + banked local registration shift -> exact comparison FITS WCS,ABSENT,AMBIGUOUS,4,
294179,B013,SCIENCE_BAMBERG,BAMBERG,89580,,SCIENCE,SCIENCE_V075_SKY_COORDINATE,2440.9800273085775,6775.316707769277,2440.9800273085775,6775.316707769277,0.0,0.0,0.0,PASS,v075 b_ra_deg/b_dec_deg -> exact science FITS WCS,DEFINITE,STELLAR_COMPACT,5,
294179,B026,BAMBERG_FOLLOWING_QUALIFIED_NEGATIVE,BAMBERG,89595,114131,PRIMARY,BANKED_V080,2086.1803584264912,877.9585994884264,2086.1803584264912,877.9585994884264,0.0,0.0,0.0,PASS,v080 registered target + banked local registration shift -> exact comparison FITS WCS,ABSENT,AMBIGUOUS,4,
