raw_match_row,population,hamburg_same_series_within_1h,hamburg_same_series_within_2h,hamburg_same_series_within_6h,hamburg_same_series_within_24h,hamburg_same_series_preceding_count,hamburg_same_series_preceding_nearest_plate_id,hamburg_same_series_preceding_nearest_gap_seconds,hamburg_same_series_preceding_nearest_start_utc,hamburg_same_series_preceding_nearest_end_utc,hamburg_same_series_following_count,hamburg_same_series_following_nearest_plate_id,hamburg_same_series_following_nearest_gap_seconds,hamburg_same_series_following_nearest_start_utc,hamburg_same_series_following_nearest_end_utc,hamburg_same_series_overlapping_count,hamburg_same_series_overlapping_nearest_plate_id,hamburg_same_series_overlapping_nearest_gap_seconds,hamburg_same_series_overlapping_nearest_start_utc,hamburg_same_series_overlapping_nearest_end_utc,bamberg_same_series_within_1h,bamberg_same_series_within_2h,bamberg_same_series_within_6h,bamberg_same_series_within_24h,bamberg_same_series_preceding_count,bamberg_same_series_preceding_nearest_plate_id,bamberg_same_series_preceding_nearest_gap_seconds,bamberg_same_series_preceding_nearest_start_utc,bamberg_same_series_preceding_nearest_end_utc,bamberg_same_series_following_count,bamberg_same_series_following_nearest_plate_id,bamberg_same_series_following_nearest_gap_seconds,bamberg_same_series_following_nearest_start_utc,bamberg_same_series_following_nearest_end_utc,bamberg_same_series_overlapping_count,bamberg_same_series_overlapping_nearest_plate_id,bamberg_same_series_overlapping_nearest_gap_seconds,bamberg_same_series_overlapping_nearest_start_utc,bamberg_same_series_overlapping_nearest_end_utc,bilateral_same_series_bracketing_both_observatories_within_24h
293118,PRIMARY_424,0,1,1,1,239,7679,602909.0,1953-11-25T21:12:01+00:00,1953-11-25T21:18:00+00:00,250,7687,3710.0,1953-12-02T21:53:18+00:00,1953-12-02T23:13:05+00:00,0,,,,,0,0,0,0,243,89097,23500709.0,1953-03-05T19:49:00+00:00,1953-03-05T20:48:00+00:00,98,90160,157691612.0,1958-12-02T00:05:00+00:00,1958-12-02T01:05:00+00:00,0,,,,,False
293470,PRIMARY_424,0,1,1,1,357,7679,602909.0,1953-11-25T21:12:01+00:00,1953-11-25T21:18:00+00:00,252,7687,3710.0,1953-12-02T21:53:18+00:00,1953-12-02T23:13:05+00:00,0,,,,,0,0,0,0,214,89097,23500709.0,1953-03-05T19:49:00+00:00,1953-03-05T20:48:00+00:00,122,90160,157691612.0,1958-12-02T00:05:00+00:00,1958-12-02T01:05:00+00:00,0,,,,,False
293841,PRIMARY_424,0,1,1,1,352,7679,602909.0,1953-11-25T21:12:01+00:00,1953-11-25T21:18:00+00:00,252,7687,3710.0,1953-12-02T21:53:18+00:00,1953-12-02T23:13:05+00:00,0,,,,,0,0,0,0,191,89544,1265909.0,1953-11-18T04:08:00+00:00,1953-11-18T05:08:00+00:00,115,90160,157691612.0,1958-12-02T00:05:00+00:00,1958-12-02T01:05:00+00:00,0,,,,,False
294052,PRIMARY_424,0,1,1,1,215,7679,602909.0,1953-11-25T21:12:01+00:00,1953-11-25T21:18:00+00:00,254,7687,3710.0,1953-12-02T21:53:18+00:00,1953-12-02T23:13:05+00:00,0,,,,,0,0,0,0,270,89097,23500709.0,1953-03-05T19:49:00+00:00,1953-03-05T20:48:00+00:00,93,89595,165512.0,1953-12-04T18:50:00+00:00,1953-12-04T19:50:00+00:00,0,,,,,False
294130,PRIMARY_424,0,0,0,0,222,7679,602909.0,1953-11-25T21:12:01+00:00,1953-11-25T21:18:00+00:00,210,7688,258791.0,1953-12-05T20:44:39+00:00,1953-12-05T20:49:39+00:00,0,,,,,0,0,0,0,269,89097,23500709.0,1953-03-05T19:49:00+00:00,1953-03-05T20:48:00+00:00,93,89595,165512.0,1953-12-04T18:50:00+00:00,1953-12-04T19:50:00+00:00,0,,,,,False
294179,PRIMARY_424,0,0,0,0,213,7679,602909.0,1953-11-25T21:12:01+00:00,1953-11-25T21:18:00+00:00,210,7688,258791.0,1953-12-05T20:44:39+00:00,1953-12-05T20:49:39+00:00,0,,,,,0,0,0,0,269,89097,23500709.0,1953-03-05T19:49:00+00:00,1953-03-05T20:48:00+00:00,93,89595,165512.0,1953-12-04T18:50:00+00:00,1953-12-04T19:50:00+00:00,0,,,,,False
