raw_match_row,population,physical_plate_id,scan_id,archive_id,filename_scan,observatory,series,science_series,same_science_series,coverage_class,edge_distance_arcsec,exposure_index,exposure_start_utc,exposure_end_utc,exposure_duration_seconds,timing_source,relation_to_common_overlap,gap_seconds,gap_hours,comparison_overlap_seconds,file_size,fits_checksum,already_acquired_v079,within_1h,within_2h,within_6h,within_24h
293118,PRIMARY_424,89097,113642,208,DR4/scans/Bamberg-North/012160_1953_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1953-03-05T19:49:00+00:00,1953-03-05T20:48:00+00:00,3540.0,CACHED_UT_END,PRECEDING,23500709.0,6527.974722222222,0.0,174444480,8KLaAJJY2JJa8JJY,True,False,False,False,False
293118,PRIMARY_424,89093,113638,208,DR4/scans/Bamberg-North/012156_1953_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1953-03-02T18:08:00+00:00,1953-03-02T19:06:00+00:00,3480.0,CACHED_UT_END,PRECEDING,23766029.0,6601.674722222222,0.0,174888000,3JVo49To3GTo39To,False,False,False,False,False
293118,PRIMARY_424,89073,113620,208,DR4/scans/Bamberg-North/012136_1952_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1952-11-22T02:29:00+00:00,1952-11-22T03:30:00+00:00,3660.0,CACHED_UT_END,PRECEDING,32462189.0,9017.274722222222,0.0,174444480,2klA2hj92hjA2hj9,False,False,False,False,False
293118,PRIMARY_424,89069,113616,208,DR4/scans/Bamberg-North/012132_1952_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1952-11-17T23:33:00+00:00,1952-11-18T00:28:00+00:00,3300.0,CACHED_UT_END,PRECEDING,32818709.0,9116.308055555555,0.0,174444480,fIHTgFFTfFFTfFFT,False,False,False,False,False
293118,PRIMARY_424,88833,113385,208,DR4/scans/Bamberg-North/011897_1952_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1952-03-15T19:35:00+00:00,1952-03-15T20:38:00+00:00,3780.0,CACHED_UT_END,PRECEDING,54173309.0,15048.14138888889,0.0,174156480,KaaaLSYXKYaaKYYU,False,False,False,False,False
293118,PRIMARY_424,90160,114694,208,DR4/scans/Bamberg-North/013251_1958_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1958-12-02T00:05:00+00:00,1958-12-02T01:05:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,157691612.0,43803.22555555555,0.0,174444480,1eHe4cHc1cHc1cHc,True,False,False,False,False
293118,PRIMARY_424,90200,114733,208,DR4/scans/Bamberg-North/013291_1958_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1958-12-03T23:31:00+00:00,1958-12-04T00:31:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,157862372.0,43850.65888888889,0.0,174888000,FiYHFfV9FfVGFfV9,False,False,False,False,False
293118,PRIMARY_424,90228,114761,208,DR4/scans/Bamberg-North/013319_1958_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1958-12-04T22:33:00+00:00,1958-12-04T23:33:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,157945292.0,43873.69222222222,0.0,174444480,RKaSRIXSRIaSRIWS,False,False,False,False,False
293118,PRIMARY_424,90232,114765,208,DR4/scans/Bamberg-North/013323_1958_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1958-12-18T22:11:00+00:00,1958-12-18T23:11:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,159153572.0,44209.32555555556,0.0,174156480,7CeiA9df7CdfA9df,False,False,False,False,False
293118,PRIMARY_424,90245,114778,208,DR4/scans/Bamberg-North/013336_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-01-27T20:29:00+00:00,1959-01-27T21:29:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,162603452.0,45167.625555555554,0.0,174888000,93icA1gb41gb91gb,False,False,False,False,False
293118,PRIMARY_424,90253,114786,208,DR4/scans/Bamberg-North/013344_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-01-28T19:06:00+00:00,1959-01-28T20:06:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,162684872.0,45190.24222222222,0.0,174156480,0FAI1E6I0EAI0E5I,False,False,False,False,False
293118,PRIMARY_424,90257,114790,208,DR4/scans/Bamberg-North/013348_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-01-28T20:11:00+00:00,1959-01-28T21:11:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,162688772.0,45191.32555555556,0.0,174156480,0IJb1IHZ0IHb0IHZ,False,False,False,False,False
293118,PRIMARY_424,90269,114802,208,DR4/scans/Bamberg-North/013360_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-01-29T18:31:00+00:00,1959-01-29T19:31:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,162769172.0,45213.65888888889,0.0,174444480,H4oFH4mDH4mDH4mD,False,False,False,False,False
293118,PRIMARY_424,90273,114806,208,DR4/scans/Bamberg-North/013364_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-01-29T19:42:00+00:00,1959-01-29T20:42:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,162773432.0,45214.84222222222,0.0,174444480,7VAV7S4U7SAU7S3U,False,False,False,False,False
293118,PRIMARY_424,90293,114826,208,DR4/scans/Bamberg-North/013384_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-01-30T18:31:00+00:00,1959-01-30T19:31:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,162855572.0,45237.65888888889,0.0,174156480,RjXKTjWHRjWHRjWH,False,False,False,False,False
293118,PRIMARY_424,90297,114830,208,DR4/scans/Bamberg-North/013388_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-01-30T19:36:00+00:00,1959-01-30T20:36:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,162859472.0,45238.74222222222,0.0,174888000,BCPVC9NVBANVB9NV,False,False,False,False,False
