raw_match_row,physical_plate_id,scan_id,psf_sigma_px,injection_polarity,target_detector_snr,baseline_detector_sigma,n_positions,n_recovered,recovery_fraction,median_recovered_snr,min_recovered_snr,max_recovered_snr,n_quantization_clipped
293470,7687,10000,1.0,-1,3.5,837.5713228329387,24,5,0.20833333333333334,4.983090981859381,4.165963733172616,5.679718025062874,0
293470,7687,10000,1.0,-1,4.0,837.5713228329387,24,10,0.4166666666666667,4.5380292773573085,4.047778970820308,6.180383964062148,0
293470,7687,10000,1.0,-1,4.5,837.5713228329387,24,14,0.5833333333333334,4.804860478997183,4.014088615521073,6.679888303704523,0
293470,7687,10000,1.0,-1,5.0,837.5713228329387,24,16,0.6666666666666666,5.16406707073622,4.300598543036026,7.179231374078295,0
293470,7687,10000,1.0,-1,6.0,837.5713228329387,24,22,0.9166666666666666,5.838628713208516,4.222695945245666,8.179093502195137,0
293470,7687,10000,1.0,-1,8.0,837.5713228329387,24,23,0.9583333333333334,7.757831227116596,5.888688286497638,10.176713144963188,0
293470,7687,10000,1.0,-1,10.0,837.5713228329387,24,23,0.9583333333333334,9.757434171284357,7.888388762028824,12.176189872539226,0
293470,7687,10000,1.0,-1,12.0,837.5713228329387,24,24,1.0,11.834476420384423,9.886726391379481,14.174329193851168,0
293470,7687,10000,1.0,1,3.5,837.5713228329387,24,9,0.375,4.926801307361825,4.001775397338174,5.608297499778778,0
293470,7687,10000,1.0,1,4.0,837.5713228329387,24,13,0.5416666666666666,5.040566801552473,4.081541583563103,6.109227069975176,0
293470,7687,10000,1.0,1,4.5,837.5713228329387,24,18,0.75,4.993536196827052,4.090013800808371,6.608528724942053,0
293470,7687,10000,1.0,1,5.0,837.5713228329387,24,19,0.7916666666666666,5.48452742912651,4.3322707686076765,7.108020936871573,0
293470,7687,10000,1.0,1,6.0,837.5713228329387,24,22,0.9166666666666666,6.313683098139261,4.412969953764143,8.108580446749338,0
293470,7687,10000,1.0,1,8.0,837.5713228329387,24,23,0.9583333333333334,8.237650863905978,5.817975282634597,10.107407092166932,0
293470,7687,10000,1.0,1,10.0,837.5713228329387,24,23,0.9583333333333334,10.23789429818346,7.818341750517521,12.107555454670404,0
293470,7687,10000,1.0,1,12.0,837.5713228329387,24,23,0.9583333333333334,12.23628749859517,9.816947654524961,14.105784292604769,0
293470,7687,10000,2.0,-1,3.5,837.5713228329387,24,11,0.4583333333333333,4.225311364130557,4.019078557136151,5.6775680777609825,0
293470,7687,10000,2.0,-1,4.0,837.5713228329387,24,14,0.5833333333333334,4.6227902383613255,4.1195605334417404,6.17660067397982,0
293470,7687,10000,2.0,-1,4.5,837.5713228329387,24,16,0.6666666666666666,4.93657757944705,4.0121307475086025,6.675770009545141,0
293470,7687,10000,2.0,-1,5.0,837.5713228329387,24,19,0.7916666666666666,5.3300370008209565,4.113924714663778,7.174483090176621,0
293470,7687,10000,2.0,-1,6.0,837.5713228329387,24,23,0.9583333333333334,5.913326556161383,4.220308257912038,8.172676123307859,0
293470,7687,10000,2.0,-1,8.0,837.5713228329387,24,23,0.9583333333333334,7.908093941537827,5.8836972621919115,10.166763080424053,0
293470,7687,10000,2.0,-1,10.0,837.5713228329387,24,23,0.9583333333333334,9.842553584227643,7.878646054760286,12.160224001066656,0
293470,7687,10000,2.0,-1,12.0,837.5713228329387,24,23,0.9583333333333334,11.738005529943019,9.872299924973342,14.152439147519505,0
293470,7687,10000,2.0,1,3.5,837.5713228329387,24,11,0.4583333333333333,4.8549790834088675,4.000686785094098,5.888663139659908,0
293470,7687,10000,2.0,1,4.0,837.5713228329387,24,16,0.6666666666666666,4.8857180841076975,4.05512544842711,6.324844324607157,0
293470,7687,10000,2.0,1,4.5,837.5713228329387,24,18,0.75,5.108572455060552,4.193869272323264,6.762078068719377,0
293470,7687,10000,2.0,1,5.0,837.5713228329387,24,18,0.75,5.577234502502341,4.575829647986086,7.199775974394716,0
293470,7687,10000,2.0,1,6.0,837.5713228329387,24,23,0.9583333333333334,6.384270353195232,4.410403828128821,8.102513840945823,0
293470,7687,10000,2.0,1,8.0,837.5713228329387,24,23,0.9583333333333334,8.277543783797851,6.189006143669339,10.097308839316717,0
293470,7687,10000,2.0,1,10.0,837.5713228329387,24,23,0.9583333333333334,10.225170214210832,7.9368504603221135,12.092230014667821,0
293470,7687,10000,2.0,1,12.0,837.5713228329387,24,23,0.9583333333333334,12.218079712234319,9.80284845340885,14.0844016786306,0
293470,7687,10000,3.0,-1,3.5,837.5713228329387,24,14,0.5833333333333334,4.578523961266075,4.161366889475896,5.6847674764587,0
293470,7687,10000,3.0,-1,4.0,837.5713228329387,24,17,0.7083333333333334,4.713471336884008,4.1902719517959985,6.169824292738915,0
293470,7687,10000,3.0,-1,4.5,837.5713228329387,24,20,0.8333333333333334,5.166020953230541,4.007831207984097,6.668289434093101,0
293470,7687,10000,3.0,-1,5.0,837.5713228329387,24,21,0.875,5.642199307094066,4.282920540842249,7.16615683395871,0
293470,7687,10000,3.0,-1,6.0,837.5713228329387,24,23,0.9583333333333334,6.542086809846174,4.479882911413778,8.160083577958279,0
293470,7687,10000,3.0,-1,8.0,837.5713228329387,24,23,0.9583333333333334,8.196478411474699,6.396770682178396,10.147600994419474,0
293470,7687,10000,3.0,-1,10.0,837.5713228329387,24,23,0.9583333333333334,9.99421527146869,8.189632391610747,12.127662534669811,0
293470,7687,10000,3.0,-1,12.0,837.5713228329387,24,23,0.9583333333333334,11.854597368358778,10.169520657323895,14.10334880927472,0
293470,7687,10000,3.0,1,3.5,837.5713228329387,24,13,0.5416666666666666,4.851040570111773,4.048633425251384,6.1060318730118075,0
293470,7687,10000,3.0,1,4.0,837.5713228329387,24,18,0.75,4.989510703188209,4.229970663622234,6.57396757796237,0
293470,7687,10000,3.0,1,4.5,837.5713228329387,24,19,0.7916666666666666,5.3089072513257864,4.051302831759823,7.040915967893735,0
293470,7687,10000,3.0,1,5.0,837.5713228329387,24,19,0.7916666666666666,5.733171519536232,4.414377703239819,7.508839842163027,0
293470,7687,10000,3.0,1,6.0,837.5713228329387,24,22,0.9166666666666666,6.493616513041542,4.630170898942888,8.441981553838538,0
293470,7687,10000,3.0,1,8.0,837.5713228329387,24,24,1.0,8.30397259710794,6.396328853775162,10.308863044115098,0
293470,7687,10000,3.0,1,10.0,837.5713228329387,24,24,1.0,10.27419836725966,8.261901026228836,12.170859106574706,0
293470,7687,10000,3.0,1,12.0,837.5713228329387,24,24,1.0,12.255812748949356,10.125943297667131,14.041258743194442,0
294052,7687,10000,1.0,-1,3.5,925.3848633177831,24,3,0.125,4.701573491947399,4.635522715597994,4.887865691299676,0
294052,7687,10000,1.0,-1,4.0,925.3848633177831,24,6,0.25,4.735682964832918,4.193960345081448,5.38784448318347,0
294052,7687,10000,1.0,-1,4.5,925.3848633177831,24,16,0.6666666666666666,4.427793611612906,4.1109994726059655,5.88792170034782,0
294052,7687,10000,1.0,-1,5.0,925.3848633177831,24,19,0.7916666666666666,4.838884041268289,4.357407014307536,6.387681990215491,0
294052,7687,10000,1.0,-1,6.0,925.3848633177831,24,23,0.9583333333333334,5.774342972042982,4.420691091353475,7.3874255706278715,0
294052,7687,10000,1.0,-1,8.0,925.3848633177831,24,24,1.0,7.735219957990106,5.56362529594697,9.386782845993466,0
294052,7687,10000,1.0,-1,10.0,925.3848633177831,24,24,1.0,9.734323160658562,7.562685154043268,11.385919013509374,0
294052,7687,10000,1.0,-1,12.0,925.3848633177831,24,24,1.0,11.734030482850418,9.562420744543967,13.385604836804314,0
294052,7687,10000,1.0,1,3.5,925.3848633177831,24,8,0.3333333333333333,4.57563814385482,4.009367235047546,5.933535674250772,0
294052,7687,10000,1.0,1,4.0,925.3848633177831,24,18,0.75,4.352976913999449,4.020860561696708,6.433373446179011,0
294052,7687,10000,1.0,1,4.5,925.3848633177831,24,21,0.875,4.802514788464767,4.1617678717040105,6.9333345382487455,0
294052,7687,10000,1.0,1,5.0,925.3848633177831,24,21,0.875,5.302416621986808,4.661677597336922,7.433210126360515,0
294052,7687,10000,1.0,1,6.0,925.3848633177831,24,24,1.0,6.261210258856108,4.609591235006319,8.43287873238129,0
294052,7687,10000,1.0,1,8.0,925.3848633177831,24,24,1.0,8.260671462071045,6.609146465320663,10.432216301946768,0
294052,7687,10000,1.0,1,10.0,925.3848633177831,24,24,1.0,10.258831802022302,8.607403175082021,12.430249927882638,0
294052,7687,10000,1.0,1,12.0,925.3848633177831,24,24,1.0,12.256110427718482,10.6050025961136,14.427106748606679,0
294052,7687,10000,2.0,-1,3.5,925.3848633177831,24,4,0.16666666666666666,4.73765171717095,4.461645493493736,4.915805147081738,0
294052,7687,10000,2.0,-1,4.0,925.3848633177831,24,12,0.5,4.267965885540378,4.050605459130982,5.385592966888978,0
294052,7687,10000,2.0,-1,4.5,925.3848633177831,24,21,0.875,4.433331809189001,4.005219763175154,5.88546598787826,0
294052,7687,10000,2.0,-1,5.0,925.3848633177831,24,21,0.875,4.899909129278477,4.3877789724533525,6.38400014926219,0
294052,7687,10000,2.0,-1,6.0,925.3848633177831,24,23,0.9583333333333334,5.834341797920549,4.844089830559226,7.3816843250275905,0
294052,7687,10000,2.0,-1,8.0,925.3848633177831,24,24,1.0,7.735508398130085,5.708025630371152,9.376402784229487,0
294052,7687,10000,2.0,-1,10.0,925.3848633177831,24,24,1.0,9.719351717001095,7.551607724932298,11.367986054969435,0
294052,7687,10000,2.0,-1,12.0,925.3848633177831,24,24,1.0,11.71285874330123,9.545800993297274,13.360971173592096,0
294052,7687,10000,2.0,1,3.5,925.3848633177831,24,10,0.4166666666666667,4.596259040321771,4.103156055812682,6.598652177987414,0
294052,7687,10000,2.0,1,4.0,925.3848633177831,24,20,0.8333333333333334,4.504416618667516,4.0434180592603575,7.035546320556043,0
294052,7687,10000,2.0,1,4.5,925.3848633177831,24,22,0.9166666666666666,4.863905234881988,4.270079547452384,7.472307924503195,0
294052,7687,10000,2.0,1,5.0,925.3848633177831,24,22,0.9166666666666666,5.349570413880114,4.706369062022521,7.9083540054336146,0
294052,7687,10000,2.0,1,6.0,925.3848633177831,24,24,1.0,6.295784298204321,4.606008276860415,8.782039158076614,0
294052,7687,10000,2.0,1,8.0,925.3848633177831,24,24,1.0,8.292529291881738,6.6031773304862496,10.529831094028122,0
294052,7687,10000,2.0,1,10.0,925.3848633177831,24,24,1.0,10.248476679535383,8.598475941818739,12.416187749364928,0
294052,7687,10000,2.0,1,12.0,925.3848633177831,24,24,1.0,12.241768648572986,10.593075705921612,14.409589698329242,0
294052,7687,10000,3.0,-1,3.5,925.3848633177831,24,10,0.4166666666666667,4.441476636103381,4.003278557570637,5.134352008185007,0
294052,7687,10000,3.0,-1,4.0,925.3848633177831,24,17,0.7083333333333334,4.509100902941878,4.0909084385584915,5.601159116815466,0
294052,7687,10000,3.0,-1,4.5,925.3848633177831,24,22,0.9166666666666666,4.868611280544004,4.151531150648682,6.068727059979619,0
294052,7687,10000,3.0,-1,5.0,925.3848633177831,24,22,0.9166666666666666,5.3513646941064215,4.538565917308722,6.535816016281985,0
294052,7687,10000,3.0,-1,6.0,925.3848633177831,24,24,1.0,6.172285063983015,4.335256406648399,7.4703086708783495,0
294052,7687,10000,3.0,-1,8.0,925.3848633177831,24,24,1.0,7.8517742676845454,6.204754864487369,9.357132154801498,0
294052,7687,10000,3.0,-1,10.0,925.3848633177831,24,24,1.0,9.783160114977417,8.070094206208173,11.340200457685379,0
294052,7687,10000,3.0,-1,12.0,925.3848633177831,24,24,1.0,11.757394610153538,9.932249074730137,13.320004719341698,0
294052,7687,10000,3.0,1,3.5,925.3848633177831,24,16,0.6666666666666666,4.367236341491333,4.019221410957076,6.903491729660041,0
294052,7687,10000,3.0,1,4.0,925.3848633177831,24,22,0.9166666666666666,4.627304121878781,4.0522786938895266,7.342456407317156,0
294052,7687,10000,3.0,1,4.5,925.3848633177831,24,22,0.9166666666666666,5.096138128413703,4.5389124676188395,7.780922181549133,0
294052,7687,10000,3.0,1,5.0,925.3848633177831,24,24,1.0,5.51168245703791,4.008112608220539,8.220158876100193,0
294052,7687,10000,3.0,1,6.0,925.3848633177831,24,24,1.0,6.417929901929745,4.8306334397500335,9.1520531438913,0
294052,7687,10000,3.0,1,8.0,925.3848633177831,24,24,1.0,8.330698849235791,6.701639601134728,11.020343411414292,0
294052,7687,10000,3.0,1,10.0,925.3848633177831,24,24,1.0,10.27364686704437,8.579554465973935,12.881878329234286,0
294052,7687,10000,3.0,1,12.0,925.3848633177831,24,24,1.0,12.24403687213122,10.561271668082943,14.738374317946553,0
