adjudication_order,pair_key,endpoint_a,endpoint_b,window_arcmin,minimum_same_gaia_common_refs,model,clipping,higher_order,sparse_fallback_only_if_primary_lt5_at_30arcmin
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
11,APPLAUSE:12569 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12569,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
11,APPLAUSE:12569 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12569,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
11,APPLAUSE:12569 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12569,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
11,APPLAUSE:12569 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12569,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
12,APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,DASCH:mf40300:exp0,APPLAUSE:132096,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
12,APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,DASCH:mf40300:exp0,APPLAUSE:132096,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
12,APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,DASCH:mf40300:exp0,APPLAUSE:132096,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
12,APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,DASCH:mf40300:exp0,APPLAUSE:132096,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
13,APPLAUSE:13878 | APPLAUSE:139432,APPLAUSE:139432,APPLAUSE:13878,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
13,APPLAUSE:13878 | APPLAUSE:139432,APPLAUSE:139432,APPLAUSE:13878,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
13,APPLAUSE:13878 | APPLAUSE:139432,APPLAUSE:139432,APPLAUSE:13878,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
13,APPLAUSE:13878 | APPLAUSE:139432,APPLAUSE:139432,APPLAUSE:13878,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
14,APPLAUSE:13879 | APPLAUSE:139433,APPLAUSE:139433,APPLAUSE:13879,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
14,APPLAUSE:13879 | APPLAUSE:139433,APPLAUSE:139433,APPLAUSE:13879,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
14,APPLAUSE:13879 | APPLAUSE:139433,APPLAUSE:139433,APPLAUSE:13879,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
14,APPLAUSE:13879 | APPLAUSE:139433,APPLAUSE:139433,APPLAUSE:13879,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
15,APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,APPLAUSE:13683,DASCH:am28458:exp0,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
15,APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,APPLAUSE:13683,DASCH:am28458:exp0,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
15,APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,APPLAUSE:13683,DASCH:am28458:exp0,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
15,APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,APPLAUSE:13683,DASCH:am28458:exp0,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
16,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,DASCH:rb16848:exp0,APPLAUSE:11788,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
16,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,DASCH:rb16848:exp0,APPLAUSE:11788,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
16,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,DASCH:rb16848:exp0,APPLAUSE:11788,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
16,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,DASCH:rb16848:exp0,APPLAUSE:11788,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
17,APPLAUSE:132654 | APPLAUSE:14120,APPLAUSE:14120,APPLAUSE:132654,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
17,APPLAUSE:132654 | APPLAUSE:14120,APPLAUSE:14120,APPLAUSE:132654,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
17,APPLAUSE:132654 | APPLAUSE:14120,APPLAUSE:14120,APPLAUSE:132654,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
17,APPLAUSE:132654 | APPLAUSE:14120,APPLAUSE:14120,APPLAUSE:132654,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
18,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,DASCH:rb16848:exp0,APPLAUSE:11787,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
18,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,DASCH:rb16848:exp0,APPLAUSE:11787,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
18,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,DASCH:rb16848:exp0,APPLAUSE:11787,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
18,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,DASCH:rb16848:exp0,APPLAUSE:11787,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
19,APPLAUSE:12404 | APPLAUSE:131662,APPLAUSE:131662,APPLAUSE:12404,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
19,APPLAUSE:12404 | APPLAUSE:131662,APPLAUSE:131662,APPLAUSE:12404,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
19,APPLAUSE:12404 | APPLAUSE:131662,APPLAUSE:131662,APPLAUSE:12404,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
19,APPLAUSE:12404 | APPLAUSE:131662,APPLAUSE:131662,APPLAUSE:12404,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
20,APPLAUSE:12470 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12470,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
20,APPLAUSE:12470 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12470,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
20,APPLAUSE:12470 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12470,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
20,APPLAUSE:12470 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12470,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
