scan_id,solution_num,rows,relative_path,size_bytes,sha256
107592,1,8656,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107592_solution_1.npz,482594,684cf058abf6a8cc713c746ae0845a2f8fbaa5dae4437ee9c735f1cb9ed05859
107597,1,9601,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107597_solution_1.npz,545665,be7c5f9152f852767c3c9ea8c3beaeeef1653e64ac7d26163f8f5d5aa42399d7
107603,1,1500,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107603_solution_1.npz,95667,74e137a3c8d8cbf1d5cdaf4b725c5470cf48902439498c799044105e1ddd993a
107615,1,3402,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107615_solution_1.npz,201953,9c528bad267b55ab28ac92ef2f47cafc01266d85fcc0b83f2fffef2f4c88b96d
107618,1,3822,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107618_solution_1.npz,224825,5be30506749683acb4dda43bfd38327ed618a33fdbf9c9a8c9223303f34eb6f6
107621,1,3640,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107621_solution_1.npz,214763,014c157bae70f06398140dbd2e8bb25c4f90e2d8b8b1e70b373fd9d89a98ae43
107625,1,5357,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107625_solution_1.npz,310464,e625407ce083289e08034b3db4a7bc35bc129f00b0e69cff368e04cd165c5a32
107635,1,3955,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107635_solution_1.npz,231562,03e487d8c6cd5b1985e88abb87c1dae38ba9c1e95819a56335615e57949dcf3f
107637,1,5176,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107637_solution_1.npz,297984,3567793ec1a6aa49e6317e7001f01b29c9751c6a65e7fc616f83bb211a716a6b
107643,1,4496,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107643_solution_1.npz,266821,880f95480b49ca363dc954710475c852f2f10a4320c4904a1002973c479c6bf5
107646,1,9841,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107646_solution_1.npz,562857,f690e24a931b5cdd369674e79931e7e9d58dd7a98619d29bc273ac3d6dfd5463
107647,1,3424,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107647_solution_1.npz,204469,ffbf0b1ba0c6187d73d91f967070018b795b81bee8d80784aa8f163cb0c3fafb
107650,1,4748,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107650_solution_1.npz,276439,8a6346f7fc12511f073674d10118bc772da92620bcbb0589d7327ceef8e25d05
107668,1,3566,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107668_solution_1.npz,209259,ec829cda026c3a43bb0ccdc74b5f32a9a50dfa33f7294d5bc760ad1628b9b815
107683,1,16289,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107683_solution_1.npz,891049,1afa10f4dad58cf5b6db60d9b83fd6bea461cbb800ea58effc4d9c30bab60864
107684,1,7206,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107684_solution_1.npz,399381,4a9b1cfc9128dd5945f6f5be1d9aea01ddf8bb8d5dd2e8d1025be444645ec946
107685,1,13360,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107685_solution_1.npz,728243,f104b6740f8033fea20450ab4732297557499dbb3f415b3495e0d044e8228754
107696,1,2505,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107696_solution_1.npz,148184,f02628bbcfaea220feba57f4cb46330c1cba664c57c0809ec0100d64efda96ce
107700,1,3798,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107700_solution_1.npz,212509,8e19670b91b6adf53ef4c5c78a1317b4aeb593b0d0c4f2a842e1e3f46d494a8e
