scan_id,relative_path,size_bytes,sha256
4197,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4197.npz,326629,81451eb46cb84eb4440a20b6682e96fd93c6dec19333390023ef908ba8521cc3
4228,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4228.npz,635344,8636732342ab12e1d5c25351c991c775a28e38145e4a7a54fccc5d470b43c7d9
4229,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4229.npz,622180,984b2d9d29f3159341c1b0572878e14dabcaa059c6ad3c347f395afb7ce79b68
4230,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4230.npz,680708,4bf845767417b042f6b3c9dbf0231941c2dd09c41a06ab5bee900fcdd18126f7
4231,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4231.npz,606479,998e0a4c3dafb6e7e2407866b178949b6ad31b7b0673ac49c0e85e5cee048df9
4232,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4232.npz,674676,da03982173d2761dae300d91b17046a41314f939152b6642099ee1725f50088f
4233,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4233.npz,628166,785244b0f3a1e71fded56a921b31bdad5a26eb22037274ba51e08f3f41d36456
4253,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4253.npz,964634,064a9d0815657e81426737eedcf70ce00059a2dc3863f0ac1a17c90faa9dde48
4254,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4254.npz,1012522,a0d2fd1551fd3503c9584b28633a6a176cb9344a20ec1f9d4c4dac59f2d565cf
4264,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4264.npz,171500,451305c4b29368b093a762e86ac83a9fd612adc9964cc5f2c5bca0932cc86b27
4481,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4481.npz,544806,e141f697327394620d5b907078be822620d14778fe253ebacf8e96a156395c60
4482,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4482.npz,547128,0ab83b8276d4bed8cc0d6e3c85acbaf1c2433c0585153b72f9acfdb9125bf9f2
4499,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_4499.npz,845348,87ca48c5086e4b7a10e2f230e0b09d51a16f4213df9949ce2ef36acf88cca132
