canonical_pair,direction,endpoint_a,endpoint_b,pair_index,position_angle_deg_east_of_north,primary_corrected_le3,primary_loo_crosses_gt3,primary_loo_robust_corrected_le3,primary_raw_gt3_to_corrected_le3,primary_raw_le3_to_corrected_gt3,primary_raw_le3_to_corrected_le3,primary_registered,primary_window_10arcmin,primary_window_20arcmin,primary_window_30arcmin,primary_window_5arcmin,raw_control_le10_associations,raw_control_le3_associations,shift_radius_arcsec,sparse_diagnostic_corrected_le3,sparse_diagnostic_registered,unregistered
APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,SE,DASCH:bi05459:exp0,APPLAUSE:12469,8,135.0,1,1,0,0,2,1,14,0,7,7,0,71,10,60.0,7,57,0
APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,SW,DASCH:bi05459:exp0,APPLAUSE:12469,8,225.0,1,1,0,0,0,1,18,0,10,8,0,74,5,60.0,5,56,0
APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,W,DASCH:bi05459:exp0,APPLAUSE:12469,8,270.0,3,2,1,2,1,1,30,0,22,8,0,83,7,60.0,5,53,0
APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,E,DASCH:bi05459:exp0,APPLAUSE:12469,8,90.0,1,1,0,0,0,1,13,0,9,4,0,74,9,120.0,8,61,0
APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,N,DASCH:bi05459:exp0,APPLAUSE:12469,8,0.0,0,0,0,0,1,0,15,1,11,3,0,63,3,120.0,2,48,0
APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,NE,DASCH:bi05459:exp0,APPLAUSE:12469,8,45.0,3,2,1,1,0,2,16,1,8,7,0,74,6,120.0,4,58,0
APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,NW,DASCH:bi05459:exp0,APPLAUSE:12469,8,315.0,3,3,0,1,1,2,26,1,13,12,0,86,8,120.0,5,60,0
APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,S,DASCH:bi05459:exp0,APPLAUSE:12469,8,180.0,0,0,0,0,0,0,9,0,6,3,0,40,4,120.0,2,31,0
APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,SE,DASCH:bi05459:exp0,APPLAUSE:12469,8,135.0,2,2,0,0,3,2,18,0,12,6,0,71,11,120.0,5,53,0
APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,SW,DASCH:bi05459:exp0,APPLAUSE:12469,8,225.0,1,1,0,0,2,1,22,0,7,15,0,76,6,120.0,3,54,0
APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,W,DASCH:bi05459:exp0,APPLAUSE:12469,8,270.0,2,2,0,0,0,2,18,0,13,5,0,71,5,120.0,3,53,0
APPLAUSE:12563 | APPLAUSE:139010,E,APPLAUSE:12563,APPLAUSE:139010,9,90.0,55,34,21,23,25,32,589,89,173,61,266,613,60,60.0,3,24,0
APPLAUSE:12563 | APPLAUSE:139010,N,APPLAUSE:12563,APPLAUSE:139010,9,0.0,45,25,20,14,26,31,561,95,162,50,254,576,59,60.0,2,15,0
APPLAUSE:12563 | APPLAUSE:139010,NE,APPLAUSE:12563,APPLAUSE:139010,9,45.0,53,21,32,27,28,26,616,94,171,72,279,643,60,60.0,6,27,0
APPLAUSE:12563 | APPLAUSE:139010,NW,APPLAUSE:12563,APPLAUSE:139010,9,315.0,45,25,20,24,19,21,605,89,158,63,295,618,42,60.0,2,13,0
APPLAUSE:12563 | APPLAUSE:139010,S,APPLAUSE:12563,APPLAUSE:139010,9,180.0,47,24,23,23,15,24,583,97,152,52,282,603,41,60.0,3,20,0
APPLAUSE:12563 | APPLAUSE:139010,SE,APPLAUSE:12563,APPLAUSE:139010,9,135.0,52,25,27,27,27,25,567,99,152,69,247,584,52,60.0,1,17,0
APPLAUSE:12563 | APPLAUSE:139010,SW,APPLAUSE:12563,APPLAUSE:139010,9,225.0,51,27,24,30,29,21,592,102,145,40,305,607,52,60.0,2,15,0
APPLAUSE:12563 | APPLAUSE:139010,W,APPLAUSE:12563,APPLAUSE:139010,9,270.0,63,35,28,33,25,30,619,94,161,51,313,632,56,60.0,1,13,0
APPLAUSE:12563 | APPLAUSE:139010,E,APPLAUSE:12563,APPLAUSE:139010,9,90.0,49,35,14,29,20,20,538,101,154,56,227,554,42,120.0,2,16,0
APPLAUSE:12563 | APPLAUSE:139010,N,APPLAUSE:12563,APPLAUSE:139010,9,0.0,45,23,22,19,27,26,526,82,157,53,234,548,56,120.0,3,22,0
APPLAUSE:12563 | APPLAUSE:139010,NE,APPLAUSE:12563,APPLAUSE:139010,9,45.0,47,26,21,21,22,26,488,82,157,62,187,505,48,120.0,0,17,0
APPLAUSE:12563 | APPLAUSE:139010,NW,APPLAUSE:12563,APPLAUSE:139010,9,315.0,54,28,26,27,29,27,602,89,150,71,292,617,58,120.0,2,15,0
APPLAUSE:12563 | APPLAUSE:139010,S,APPLAUSE:12563,APPLAUSE:139010,9,180.0,47,28,19,19,25,28,554,83,162,41,268,569,53,120.0,0,15,0
APPLAUSE:12563 | APPLAUSE:139010,SE,APPLAUSE:12563,APPLAUSE:139010,9,135.0,43,22,21,21,24,22,513,99,142,73,199,530,49,120.0,3,17,0
APPLAUSE:12563 | APPLAUSE:139010,SW,APPLAUSE:12563,APPLAUSE:139010,9,225.0,58,37,21,32,29,26,661,95,161,71,334,678,55,120.0,0,17,0
APPLAUSE:12563 | APPLAUSE:139010,W,APPLAUSE:12563,APPLAUSE:139010,9,270.0,63,28,35,32,32,31,680,94,164,60,362,701,65,120.0,3,21,0
APPLAUSE:12566 | APPLAUSE:139011,E,APPLAUSE:139011,APPLAUSE:12566,10,90.0,31,14,17,15,10,16,353,66,114,75,98,385,29,60.0,3,32,0
APPLAUSE:12566 | APPLAUSE:139011,N,APPLAUSE:139011,APPLAUSE:12566,10,0.0,29,16,13,13,10,16,354,57,161,68,68,381,30,60.0,4,27,0
APPLAUSE:12566 | APPLAUSE:139011,NE,APPLAUSE:139011,APPLAUSE:12566,10,45.0,23,15,8,11,14,12,332,49,137,55,91,358,29,60.0,3,26,0
APPLAUSE:12566 | APPLAUSE:139011,NW,APPLAUSE:139011,APPLAUSE:12566,10,315.0,35,23,12,18,12,17,384,65,158,72,89,407,31,60.0,2,23,0
APPLAUSE:12566 | APPLAUSE:139011,S,APPLAUSE:139011,APPLAUSE:12566,10,180.0,31,19,12,15,13,16,325,64,112,74,75,359,33,60.0,4,34,0
APPLAUSE:12566 | APPLAUSE:139011,SE,APPLAUSE:139011,APPLAUSE:12566,10,135.0,29,15,14,10,9,19,389,74,140,69,106,419,32,60.0,3,30,0
APPLAUSE:12566 | APPLAUSE:139011,SW,APPLAUSE:139011,APPLAUSE:12566,10,225.0,28,14,14,9,11,19,330,73,103,68,86,370,35,60.0,5,40,0
APPLAUSE:12566 | APPLAUSE:139011,W,APPLAUSE:139011,APPLAUSE:12566,10,270.0,26,11,15,5,15,21,354,74,112,65,103,385,38,60.0,2,31,0
APPLAUSE:12566 | APPLAUSE:139011,E,APPLAUSE:139011,APPLAUSE:12566,10,90.0,26,16,10,8,5,18,314,54,83,70,107,355,24,120.0,1,41,0
APPLAUSE:12566 | APPLAUSE:139011,N,APPLAUSE:139011,APPLAUSE:12566,10,0.0,24,15,9,10,7,14,296,56,141,48,51,322,23,120.0,2,26,0
APPLAUSE:12566 | APPLAUSE:139011,NE,APPLAUSE:139011,APPLAUSE:12566,10,45.0,38,23,15,18,13,20,381,82,168,44,87,400,33,120.0,0,19,0
APPLAUSE:12566 | APPLAUSE:139011,NW,APPLAUSE:139011,APPLAUSE:12566,10,315.0,29,11,18,10,9,19,393,82,151,60,100,423,31,120.0,3,30,0
APPLAUSE:12566 | APPLAUSE:139011,S,APPLAUSE:139011,APPLAUSE:12566,10,180.0,26,21,5,8,11,18,320,61,96,87,76,350,37,120.0,8,30,0
APPLAUSE:12566 | APPLAUSE:139011,SE,APPLAUSE:139011,APPLAUSE:12566,10,135.0,30,19,11,15,12,15,301,52,86,50,113,323,30,120.0,3,22,0
APPLAUSE:12566 | APPLAUSE:139011,SW,APPLAUSE:139011,APPLAUSE:12566,10,225.0,27,11,16,12,6,15,357,68,94,75,120,387,22,120.0,1,30,0
APPLAUSE:12566 | APPLAUSE:139011,W,APPLAUSE:139011,APPLAUSE:12566,10,270.0,30,18,12,14,16,16,339,59,87,71,122,377,33,120.0,2,38,0
APPLAUSE:12569 | APPLAUSE:139012,E,APPLAUSE:139012,APPLAUSE:12569,11,90.0,45,27,18,18,17,27,547,88,131,95,233,559,44,60.0,0,12,0
APPLAUSE:12569 | APPLAUSE:139012,N,APPLAUSE:139012,APPLAUSE:12569,11,0.0,57,26,31,22,15,35,557,102,113,108,234,568,50,60.0,0,11,0
APPLAUSE:12569 | APPLAUSE:139012,NE,APPLAUSE:139012,APPLAUSE:12569,11,45.0,44,19,25,20,13,24,551,83,113,93,262,558,40,60.0,2,7,0
APPLAUSE:12569 | APPLAUSE:139012,NW,APPLAUSE:139012,APPLAUSE:12569,11,315.0,50,29,21,14,15,36,583,109,160,104,210,591,51,60.0,0,8,0
APPLAUSE:12569 | APPLAUSE:139012,S,APPLAUSE:139012,APPLAUSE:12569,11,180.0,55,30,25,24,26,31,530,98,135,88,209,542,57,60.0,0,12,0
APPLAUSE:12569 | APPLAUSE:139012,SE,APPLAUSE:139012,APPLAUSE:12569,11,135.0,37,19,18,11,22,26,509,73,127,69,240,520,50,60.0,3,11,0
APPLAUSE:12569 | APPLAUSE:139012,SW,APPLAUSE:139012,APPLAUSE:12569,11,225.0,47,24,23,15,21,32,507,92,138,73,204,513,54,60.0,1,6,0
APPLAUSE:12569 | APPLAUSE:139012,W,APPLAUSE:139012,APPLAUSE:12569,11,270.0,58,31,27,18,18,40,595,118,147,108,222,607,58,60.0,0,12,0
APPLAUSE:12569 | APPLAUSE:139012,E,APPLAUSE:139012,APPLAUSE:12569,11,90.0,56,32,24,30,26,26,637,91,156,83,307,642,52,120.0,1,5,0
APPLAUSE:12569 | APPLAUSE:139012,N,APPLAUSE:139012,APPLAUSE:12569,11,0.0,40,23,17,16,16,24,481,87,113,90,191,487,40,120.0,0,6,0
APPLAUSE:12569 | APPLAUSE:139012,NE,APPLAUSE:139012,APPLAUSE:12569,11,45.0,45,26,19,23,18,22,620,99,108,80,333,626,40,120.0,0,6,0
APPLAUSE:12569 | APPLAUSE:139012,NW,APPLAUSE:139012,APPLAUSE:12569,11,315.0,45,26,19,19,18,26,545,100,118,97,230,548,44,120.0,0,3,0
APPLAUSE:12569 | APPLAUSE:139012,S,APPLAUSE:139012,APPLAUSE:12569,11,180.0,56,32,24,25,12,31,579,87,141,73,278,585,43,120.0,0,6,0
APPLAUSE:12569 | APPLAUSE:139012,SE,APPLAUSE:139012,APPLAUSE:12569,11,135.0,53,32,21,18,22,35,564,85,111,111,257,572,59,120.0,2,8,0
APPLAUSE:12569 | APPLAUSE:139012,SW,APPLAUSE:139012,APPLAUSE:12569,11,225.0,48,24,24,12,23,36,560,79,153,107,221,571,60,120.0,1,11,0
APPLAUSE:12569 | APPLAUSE:139012,W,APPLAUSE:139012,APPLAUSE:12569,11,270.0,41,20,21,16,21,25,487,71,141,89,186,496,46,120.0,0,9,0
APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,E,DASCH:mf40300:exp0,APPLAUSE:132096,12,90.0,424,195,229,204,194,220,3359,646,2283,412,18,3471,422,60.0,8,112,0
APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,N,DASCH:mf40300:exp0,APPLAUSE:132096,12,0.0,185,80,105,82,92,103,2027,421,1295,292,19,2113,203,60.0,8,86,0
APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,NE,DASCH:mf40300:exp0,APPLAUSE:132096,12,45.0,194,92,102,91,85,103,2092,440,1349,288,15,2185,194,60.0,6,93,0
APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,NW,DASCH:mf40300:exp0,APPLAUSE:132096,12,315.0,201,109,92,85,97,116,2035,428,1305,275,27,2144,228,60.0,18,109,0
APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,S,DASCH:mf40300:exp0,APPLAUSE:132096,12,180.0,166,82,84,88,65,78,1668,341,1070,233,24,1761,150,60.0,7,93,0
APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,SE,DASCH:mf40300:exp0,APPLAUSE:132096,12,135.0,171,98,73,83,61,88,1799,388,1174,219,18,1903,157,60.0,8,104,0
APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,SW,DASCH:mf40300:exp0,APPLAUSE:132096,12,225.0,179,93,86,98,80,81,1910,409,1231,245,25,2003,166,60.0,6,93,0
APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,W,DASCH:mf40300:exp0,APPLAUSE:132096,12,270.0,328,160,168,177,155,151,3383,725,2260,379,19,3474,311,60.0,6,91,0
APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,E,DASCH:mf40300:exp0,APPLAUSE:132096,12,90.0,191,91,100,102,91,89,2035,396,1351,277,11,2147,191,120.0,14,112,0
APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,N,DASCH:mf40300:exp0,APPLAUSE:132096,12,0.0,109,55,54,49,49,60,1264,254,848,153,9,1348,120,120.0,9,84,0
APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,NE,DASCH:mf40300:exp0,APPLAUSE:132096,12,45.0,111,55,56,53,67,58,1486,271,991,212,12,1555,133,120.0,8,69,0
APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,NW,DASCH:mf40300:exp0,APPLAUSE:132096,12,315.0,136,60,76,60,66,76,1457,299,948,192,18,1533,153,120.0,11,76,0
APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,S,DASCH:mf40300:exp0,APPLAUSE:132096,12,180.0,129,72,57,63,46,66,1354,263,916,168,7,1441,118,120.0,6,87,0
APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,SE,DASCH:mf40300:exp0,APPLAUSE:132096,12,135.0,142,69,73,74,53,68,1352,248,911,178,15,1436,125,120.0,4,84,0
APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,SW,DASCH:mf40300:exp0,APPLAUSE:132096,12,225.0,122,73,49,54,55,68,1480,300,970,188,22,1570,132,120.0,7,90,0
APPLAUSE:132096 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40300,W,DASCH:mf40300:exp0,APPLAUSE:132096,12,270.0,839,381,458,428,331,411,6139,1254,4134,725,26,6233,750,120.0,8,94,0
APPLAUSE:13878 | APPLAUSE:139432,E,APPLAUSE:139432,APPLAUSE:13878,13,90.0,5317,296,5021,3027,3047,2290,58763,719,0,0,58044,58763,5337,60.0,0,0,0
APPLAUSE:13878 | APPLAUSE:139432,N,APPLAUSE:139432,APPLAUSE:13878,13,0.0,5323,269,5054,3025,3069,2298,59020,658,0,0,58362,59020,5367,60.0,0,0,0
APPLAUSE:13878 | APPLAUSE:139432,NE,APPLAUSE:139432,APPLAUSE:13878,13,45.0,5267,303,4964,2975,2954,2292,58462,680,2,0,57780,58462,5246,60.0,0,0,0
APPLAUSE:13878 | APPLAUSE:139432,NW,APPLAUSE:139432,APPLAUSE:13878,13,315.0,5266,300,4966,2933,2928,2333,58795,652,0,0,58143,58795,5261,60.0,0,0,0
APPLAUSE:13878 | APPLAUSE:139432,S,APPLAUSE:139432,APPLAUSE:13878,13,180.0,5217,277,4940,3042,2998,2175,58601,673,0,0,57928,58601,5173,60.0,0,0,0
APPLAUSE:13878 | APPLAUSE:139432,SE,APPLAUSE:139432,APPLAUSE:13878,13,135.0,5360,282,5078,3059,2933,2301,58543,661,1,0,57881,58543,5234,60.0,0,0,0
APPLAUSE:13878 | APPLAUSE:139432,SW,APPLAUSE:139432,APPLAUSE:13878,13,225.0,5252,271,4981,2963,2963,2289,58448,657,0,0,57791,58448,5252,60.0,0,0,0
APPLAUSE:13878 | APPLAUSE:139432,W,APPLAUSE:139432,APPLAUSE:13878,13,270.0,5223,271,4952,2993,2950,2230,58758,640,2,0,58116,58758,5180,60.0,0,0,0
APPLAUSE:13878 | APPLAUSE:139432,E,APPLAUSE:139432,APPLAUSE:13878,13,90.0,5385,288,5097,3018,2922,2367,57841,621,1,0,57219,57841,5289,120.0,0,0,0
APPLAUSE:13878 | APPLAUSE:139432,N,APPLAUSE:139432,APPLAUSE:13878,13,0.0,5358,298,5060,3028,2991,2330,59178,638,0,0,58540,59178,5321,120.0,0,0,0
APPLAUSE:13878 | APPLAUSE:139432,NE,APPLAUSE:139432,APPLAUSE:13878,13,45.0,5234,302,4932,2872,2912,2362,58398,565,1,0,57832,58398,5274,120.0,0,0,0
APPLAUSE:13878 | APPLAUSE:139432,NW,APPLAUSE:139432,APPLAUSE:13878,13,315.0,5228,285,4943,2912,3029,2316,58897,608,0,0,58289,58897,5345,120.0,0,0,0
APPLAUSE:13878 | APPLAUSE:139432,S,APPLAUSE:139432,APPLAUSE:13878,13,180.0,5292,278,5014,3008,2998,2284,58527,652,1,0,57874,58527,5282,120.0,0,0,0
APPLAUSE:13878 | APPLAUSE:139432,SE,APPLAUSE:139432,APPLAUSE:13878,13,135.0,5260,281,4979,3062,3058,2198,58526,591,0,0,57935,58526,5256,120.0,0,0,0
APPLAUSE:13878 | APPLAUSE:139432,SW,APPLAUSE:139432,APPLAUSE:13878,13,225.0,5283,287,4996,3030,3022,2253,58562,584,0,0,57978,58562,5275,120.0,0,0,0
APPLAUSE:13878 | APPLAUSE:139432,W,APPLAUSE:139432,APPLAUSE:13878,13,270.0,5315,270,5045,3000,3069,2315,58465,558,0,0,57907,58465,5384,120.0,0,0,0
APPLAUSE:13879 | APPLAUSE:139433,E,APPLAUSE:139433,APPLAUSE:13879,14,90.0,3850,303,3547,2037,2133,1813,43552,813,1,0,42738,43552,3946,60.0,0,0,0
APPLAUSE:13879 | APPLAUSE:139433,N,APPLAUSE:139433,APPLAUSE:13879,14,0.0,3948,301,3647,2117,2175,1831,43770,871,0,0,42899,43770,4006,60.0,0,0,0
APPLAUSE:13879 | APPLAUSE:139433,NE,APPLAUSE:139433,APPLAUSE:13879,14,45.0,3876,310,3566,2144,2121,1732,43734,851,0,0,42883,43734,3853,60.0,0,0,0
APPLAUSE:13879 | APPLAUSE:139433,NW,APPLAUSE:139433,APPLAUSE:13879,14,315.0,3926,309,3617,2145,2151,1781,43555,783,0,0,42772,43555,3932,60.0,0,0,0
APPLAUSE:13879 | APPLAUSE:139433,S,APPLAUSE:139433,APPLAUSE:13879,14,180.0,4025,319,3706,2217,2278,1808,44777,851,0,0,43926,44777,4086,60.0,0,0,0
APPLAUSE:13879 | APPLAUSE:139433,SE,APPLAUSE:139433,APPLAUSE:13879,14,135.0,4020,288,3732,2193,2186,1827,43755,846,0,0,42909,43755,4013,60.0,0,0,0
APPLAUSE:13879 | APPLAUSE:139433,SW,APPLAUSE:139433,APPLAUSE:13879,14,225.0,3866,291,3575,2107,2152,1759,43881,841,0,0,43040,43881,3911,60.0,0,0,0
APPLAUSE:13879 | APPLAUSE:139433,W,APPLAUSE:139433,APPLAUSE:13879,14,270.0,3950,290,3660,2139,2205,1811,43816,860,0,0,42956,43816,4016,60.0,0,0,0
APPLAUSE:13879 | APPLAUSE:139433,E,APPLAUSE:139433,APPLAUSE:13879,14,90.0,3958,275,3683,2112,2024,1846,43611,801,0,0,42810,43611,3870,120.0,0,0,0
APPLAUSE:13879 | APPLAUSE:139433,N,APPLAUSE:139433,APPLAUSE:13879,14,0.0,3869,286,3583,2069,2163,1800,43609,846,0,0,42763,43609,3963,120.0,0,0,0
APPLAUSE:13879 | APPLAUSE:139433,NE,APPLAUSE:139433,APPLAUSE:13879,14,45.0,3997,324,3673,2209,2034,1788,43765,786,0,0,42979,43765,3822,120.0,0,0,0
APPLAUSE:13879 | APPLAUSE:139433,NW,APPLAUSE:139433,APPLAUSE:13879,14,315.0,4044,315,3729,2180,2174,1864,44373,864,0,0,43509,44373,4038,120.0,0,0,0
APPLAUSE:13879 | APPLAUSE:139433,S,APPLAUSE:139433,APPLAUSE:13879,14,180.0,4174,326,3848,2253,2303,1921,46112,848,0,0,45264,46112,4224,120.0,0,0,0
APPLAUSE:13879 | APPLAUSE:139433,SE,APPLAUSE:139433,APPLAUSE:13879,14,135.0,4132,301,3831,2284,2324,1848,45601,827,2,0,44772,45601,4172,120.0,0,0,0
APPLAUSE:13879 | APPLAUSE:139433,SW,APPLAUSE:139433,APPLAUSE:13879,14,225.0,4112,336,3776,2229,2216,1883,45396,762,0,0,44634,45396,4099,120.0,0,0,0
APPLAUSE:13879 | APPLAUSE:139433,W,APPLAUSE:139433,APPLAUSE:13879,14,270.0,3984,321,3663,2142,2146,1842,44163,746,0,0,43417,44163,3988,120.0,0,0,0
APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,E,APPLAUSE:13683,DASCH:am28458:exp0,15,90.0,142,99,43,101,114,41,1680,218,1161,280,21,1680,155,60.0,0,0,0
APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,N,APPLAUSE:13683,DASCH:am28458:exp0,15,0.0,154,114,40,101,135,53,2041,249,1450,323,19,2048,189,60.0,0,7,0
APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,NE,APPLAUSE:13683,DASCH:am28458:exp0,15,45.0,118,94,24,85,113,33,1716,207,1211,284,14,1717,146,60.0,0,1,0
APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,NW,APPLAUSE:13683,DASCH:am28458:exp0,15,315.0,191,142,49,134,129,57,2093,260,1427,387,19,2099,188,60.0,3,6,0
APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,S,APPLAUSE:13683,DASCH:am28458:exp0,15,180.0,145,108,37,93,110,52,1775,221,1219,305,30,1778,162,60.0,0,3,0
APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,SE,APPLAUSE:13683,DASCH:am28458:exp0,15,135.0,134,94,40,89,109,45,1731,252,1158,305,16,1734,154,60.0,2,3,0
APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,SW,APPLAUSE:13683,DASCH:am28458:exp0,15,225.0,290,230,60,204,258,86,3586,278,2396,886,26,3596,345,60.0,1,10,0
APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,W,APPLAUSE:13683,DASCH:am28458:exp0,15,270.0,202,145,57,135,153,67,2460,306,1745,396,13,2468,221,60.0,0,8,0
APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,E,APPLAUSE:13683,DASCH:am28458:exp0,15,90.0,147,116,31,105,93,42,1646,200,1156,266,24,1649,135,120.0,0,3,0
APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,N,APPLAUSE:13683,DASCH:am28458:exp0,15,0.0,171,129,42,116,123,55,1898,240,1320,321,17,1904,178,120.0,0,6,0
APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,NE,APPLAUSE:13683,DASCH:am28458:exp0,15,45.0,156,112,44,111,117,45,1601,223,1083,281,14,1604,162,120.0,0,3,0
APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,NW,APPLAUSE:13683,DASCH:am28458:exp0,15,315.0,135,102,33,83,99,52,1649,223,1134,273,19,1652,151,120.0,0,3,0
APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,S,APPLAUSE:13683,DASCH:am28458:exp0,15,180.0,147,108,39,101,91,46,1610,188,1146,259,17,1612,137,120.0,0,2,0
APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,SE,APPLAUSE:13683,DASCH:am28458:exp0,15,135.0,122,91,31,83,99,39,1660,212,1164,271,13,1662,138,120.0,0,2,0
APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,SW,APPLAUSE:13683,DASCH:am28458:exp0,15,225.0,174,129,45,116,110,58,1944,209,1357,360,18,1948,168,120.0,0,4,0
APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,W,APPLAUSE:13683,DASCH:am28458:exp0,15,270.0,154,105,49,106,97,48,1691,215,1166,290,20,1697,145,120.0,0,6,0
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,E,DASCH:rb16848:exp0,APPLAUSE:11788,16,90.0,71,60,11,55,77,16,850,356,401,27,66,852,93,60.0,0,2,0
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,N,DASCH:rb16848:exp0,APPLAUSE:11788,16,0.0,69,61,8,55,62,14,903,373,432,31,67,904,76,60.0,0,1,0
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,NE,DASCH:rb16848:exp0,APPLAUSE:11788,16,45.0,68,55,13,50,66,18,846,356,391,27,72,847,85,60.0,0,1,0
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,NW,DASCH:rb16848:exp0,APPLAUSE:11788,16,315.0,86,71,15,58,74,28,972,385,482,28,77,973,102,60.0,0,1,0
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,S,DASCH:rb16848:exp0,APPLAUSE:11788,16,180.0,84,75,9,57,71,27,966,386,475,31,74,967,98,60.0,0,1,0
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,SE,DASCH:rb16848:exp0,APPLAUSE:11788,16,135.0,90,83,7,70,67,20,1011,405,501,37,68,1014,88,60.0,0,3,0
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,SW,DASCH:rb16848:exp0,APPLAUSE:11788,16,225.0,80,66,14,62,91,18,1144,430,585,57,72,1148,111,60.0,0,4,0
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,W,DASCH:rb16848:exp0,APPLAUSE:11788,16,270.0,72,63,9,49,56,23,948,382,462,36,68,950,80,60.0,1,2,0
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,E,DASCH:rb16848:exp0,APPLAUSE:11788,16,90.0,63,51,12,43,51,20,825,321,402,31,71,825,71,120.0,0,0,0
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,N,DASCH:rb16848:exp0,APPLAUSE:11788,16,0.0,63,53,10,45,73,18,923,339,479,30,75,923,91,120.0,0,0,0
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,NE,DASCH:rb16848:exp0,APPLAUSE:11788,16,45.0,77,65,12,66,52,11,849,362,386,33,68,849,63,120.0,0,0,0
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,NW,DASCH:rb16848:exp0,APPLAUSE:11788,16,315.0,89,74,15,63,63,26,858,356,405,24,73,858,89,120.0,0,0,0
