raw_match_row,physical_plate_id,scan_id,psf_sigma_px,injection_polarity,target_detector_snr,baseline_detector_sigma,n_positions,n_recovered,recovery_fraction,median_recovered_snr,min_recovered_snr,max_recovered_snr,n_quantization_clipped
292800,6282,8084,1.0,-1,3.5,666.6161972336857,24,9,0.375,4.283356158318831,4.052958917336526,4.860503564127262,0
292800,6282,8084,1.0,-1,4.0,666.6161972336857,24,16,0.6666666666666666,4.560449191155223,4.134555912047023,5.359447024497857,0
292800,6282,8084,1.0,-1,4.5,666.6161972336857,24,18,0.75,4.931947096604522,4.362682201400541,5.860014742912711,0
292800,6282,8084,1.0,-1,5.0,666.6161972336857,24,20,0.8333333333333334,5.303544753334327,4.32376029389561,6.358992421490803,0
292800,6282,8084,1.0,-1,6.0,666.6161972336857,24,22,0.9166666666666666,6.290252681892637,4.688590291747386,7.358496895032179,0
292800,6282,8084,1.0,-1,8.0,666.6161972336857,24,24,1.0,8.263454849422558,5.154296961194549,9.357862424066418,0
292800,6282,8084,1.0,-1,10.0,666.6161972336857,24,24,1.0,10.261592366204763,7.15280756945239,11.355868614569397,0
292800,6282,8084,1.0,-1,12.0,666.6161972336857,24,24,1.0,12.260598391852856,9.151832108010291,13.354868123768524,0
292800,6282,8084,1.0,1,3.5,666.6161972336857,24,6,0.25,4.742710387181299,4.0409364085634385,6.342936537736486,0
292800,6282,8084,1.0,1,4.0,666.6161972336857,24,8,0.3333333333333333,4.924289698229239,4.041126900735046,6.8418619063106405,0
292800,6282,8084,1.0,1,4.5,666.6161972336857,24,15,0.625,4.541557035069388,4.187116287991235,7.34220265123608,0
292800,6282,8084,1.0,1,5.0,666.6161972336857,24,21,0.875,4.789760635447689,4.214403044525193,7.840654384316028,0
292800,6282,8084,1.0,1,6.0,666.6161972336857,24,24,1.0,5.731307828417391,4.636969493601184,8.84026900971341,0
292800,6282,8084,1.0,1,8.0,666.6161972336857,24,24,1.0,7.569182884372175,6.635907252109557,10.839052071561222,9
292800,6282,8084,1.0,1,10.0,666.6161972336857,24,24,1.0,7.917600666019242,7.048245096182684,12.837001960139792,24
292800,6282,8084,1.0,1,12.0,666.6161972336857,24,24,1.0,7.890791583929246,7.021522599567803,14.834397126941004,28
292800,6282,8084,2.0,-1,3.5,666.6161972336857,24,12,0.5,4.278415255656615,4.004280364089044,5.623039636207676,0
292800,6282,8084,2.0,-1,4.0,666.6161972336857,24,16,0.6666666666666666,4.58354820378608,4.261947282272802,6.059277199257623,0
292800,6282,8084,2.0,-1,4.5,666.6161972336857,24,18,0.75,4.995204064485968,4.359030685808297,6.496820131023923,0
292800,6282,8084,2.0,-1,5.0,666.6161972336857,24,20,0.8333333333333334,5.338018479130623,4.3205803854653615,6.932985616128384,0
292800,6282,8084,2.0,-1,6.0,666.6161972336857,24,22,0.9166666666666666,6.2860787808818355,4.686031452774437,7.806804254694652,0
292800,6282,8084,2.0,-1,8.0,666.6161972336857,24,24,1.0,8.253752687200977,5.1490498902814155,9.552310723539557,0
292800,6282,8084,2.0,-1,10.0,666.6161972336857,24,24,1.0,10.247513941961639,7.14411183039469,11.339895512844272,0
292800,6282,8084,2.0,-1,12.0,666.6161972336857,24,24,1.0,12.23523882563472,9.133846183904085,13.326913073477185,0
292800,6282,8084,2.0,1,3.5,666.6161972336857,24,7,0.2916666666666667,4.672320970171809,4.1708256585038255,6.659384211613603,0
292800,6282,8084,2.0,1,4.0,666.6161972336857,24,9,0.375,4.735504387397481,4.146618333174231,7.094794035608989,0
292800,6282,8084,2.0,1,4.5,666.6161972336857,24,18,0.75,4.492675872219488,4.137278952344132,7.531695728459436,0
292800,6282,8084,2.0,1,5.0,666.6161972336857,24,21,0.875,4.830924896459833,4.210455445691753,7.967880249391107,0
292800,6282,8084,2.0,1,6.0,666.6161972336857,24,24,1.0,5.72790693213623,4.649865573559736,8.839613530991913,0
292800,6282,8084,2.0,1,8.0,666.6161972336857,24,24,1.0,7.39245602255861,6.624066966339279,10.818391493335605,23
292800,6282,8084,2.0,1,10.0,666.6161972336857,24,24,1.0,7.483617070833354,6.6299634576893745,12.806182268567586,154
292800,6282,8084,2.0,1,12.0,666.6161972336857,24,24,1.0,7.407286222189827,6.581637472149983,14.792016596610262,235
292800,6282,8084,3.0,-1,3.5,666.6161972336857,24,16,0.6666666666666666,4.297779379654035,4.04315700536124,5.838421136106542,0
292800,6282,8084,3.0,-1,4.0,666.6161972336857,24,18,0.75,4.7550694920409775,4.0640347576559535,6.306230037276031,0
292800,6282,8084,3.0,-1,4.5,666.6161972336857,24,21,0.875,5.157753596863356,4.00146525753462,6.773461985201302,0
292800,6282,8084,3.0,-1,5.0,666.6161972336857,24,23,0.9583333333333334,5.590305944036122,4.125336940788416,7.238629622755211,0
292800,6282,8084,3.0,-1,6.0,666.6161972336857,24,23,0.9583333333333334,6.548065764251829,5.05965405279249,8.170502587409201,0
