raw_match_row,population,selection_role,physical_plate_id,scan_id,archive_family,filename_scan,scan_epoch_isot,scan_epoch_source,wcs_key,registration_mode,registration_window_arcmin,registration_refs,registration_shift_east_arcsec,registration_shift_north_arcsec,gaia_propagated_rows,gaia_pm_incomplete_rows,reciprocal_gaia_detector_matches_15arcsec,registration_refs_corrected_le3_arcsec,baseline_detector_peak_count,strict_native_recurrence,strict_native_peak_count,diagnostic_native_peak_count,closest_corrected_peak_sep_arcsec,closest_peak_detector_snr,closest_peak_polarity,forced_target_residual_sigma,science_pair_reference_snr,injection_run,injection_positions,worst_sixway_90pct_recovery_snr,injection_sensitivity_reason,sensitivity_qualified_negative,candidate_disposition_changed
292800,DIAGNOSTIC_179,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,6282,8084,HAMBURG,DR4/scans/HAM-LA/LA06708_x.fits,1948-03-03T19:59:32.000,DATE-AVG, ,PRIMARY,5.0,202,0.0779373642256554,-0.298530742863774,10000,120,3383,45,12300,False,0,0,6.657266306786724,16.917384103966842,1,4.274150348522737,4.317618915390123,True,24,6.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
292800,DIAGNOSTIC_179,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,7619,9870,HAMBURG,DR4/scans/HAM-LA/LA08095_x.fits,1953-09-16T00:38:23.000,DATE-AVG, ,PRIMARY,5.0,28,0.5803295512905442,-2.2486512968117616,10000,120,572,2,1919,False,0,0,161.078552371932,6.135685577892986,-1,1.3202120928951384e-14,4.317618915390123,True,24,,MISSING_90_PERCENT_THRESHOLD,False,False
292800,DIAGNOSTIC_179,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,7687,10000,HAMBURG,DR4/scans/HAM-LA/LA08167_x.fits,1953-12-02T22:33:11.000,DATE-AVG, ,PRIMARY,5.0,33,0.38107510208816375,3.013471264101383,10000,120,1474,25,2741,False,0,0,33.988054861292305,15.488017484493584,-1,0.14380467604173655,4.317618915390123,True,24,6.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
292800,DIAGNOSTIC_179,SENSITIVITY_NEGATIVE_BAMBERG_BEFORE,89097,113642,BAMBERG,DR4/scans/Bamberg-North/012160_1953_h.fits,1953-03-05T20:18:30.000,DATE-AVG, ,PRIMARY,20.0,11,2.7078048192724906,1.8656875431934745,10000,120,25,2,82,False,0,0,98.92445309545455,7.456715101529455,-1,3.4108495363419538,4.317618915390123,True,24,6.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
292800,DIAGNOSTIC_179,SENSITIVITY_NEGATIVE_BAMBERG_AFTER,89595,114131,BAMBERG,DR4/scans/Bamberg-North/012688_1953_h.fits,1953-12-04T19:20:00.000,DATE-AVG, ,PRIMARY,20.0,6,1.5719746769687188,5.626100395652878,10000,120,11,0,43,False,0,0,288.7508209346402,4.172172776861585,-1,0.13219074156144503,4.317618915390123,True,24,5.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
293118,PRIMARY_424,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,7679,9986,HAMBURG,DR4/scans/HAM-LA/LA08157_x.fits,1953-11-25T21:15:01.000,DATE-AVG, ,PRIMARY,5.0,17,1.7128026146103643,-0.7259469183299025,10645,112,382,6,982,False,0,1,3.5254985653511213,6.40450125794066,1,3.089226288549464,6.63770837135238,True,24,6.0,QUALIFIED,False,False
293118,PRIMARY_424,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,7687,10000,HAMBURG,DR4/scans/HAM-LA/LA08167_x.fits,1953-12-02T22:33:11.000,DATE-AVG, ,PRIMARY,5.0,75,1.4681480484245626,1.4032035845316695,10645,112,2040,51,3483,False,0,0,8.016643915507517,7.061646328353156,-1,-5.887383658840017,6.63770837135238,True,24,6.0,QUALIFIED,True,False
293118,PRIMARY_424,SENSITIVITY_NEGATIVE_BAMBERG_BEFORE,89097,113642,BAMBERG,DR4/scans/Bamberg-North/012160_1953_h.fits,1953-03-05T20:18:30.000,DATE-AVG, ,PRIMARY,20.0,7,-3.15943147571472,-2.987965311363951,10645,112,11,1,51,False,0,0,26.695553609800623,21.48954453800862,-1,-18.746178886971947,6.63770837135238,True,24,6.0,QUALIFIED,True,False
293118,PRIMARY_424,SENSITIVITY_NEGATIVE_BAMBERG_AFTER,90160,114694,BAMBERG,DR4/scans/Bamberg-North/013251_1958_h.fits,1958-12-02T00:35:00.000,DATE-AVG, ,PRIMARY,30.0,5,1.2700783437653378,-1.1839759409745412,10645,112,5,2,25,False,0,0,519.0018812200293,11.18641502316655,-1,-0.0956789979473773,6.63770837135238,True,24,6.0,QUALIFIED,True,False
293118,PRIMARY_424,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,91972,116503,BAMBERG,DR4/scans/Bamberg-North/015063_1959_h.fits,1959-10-06T03:32:00.000,DATE-AVG, ,PRIMARY,20.0,8,0.6090307857594348,0.8297871180236762,10645,112,37,0,161,False,0,0,12.43757667651441,4.899806626932744,-1,-4.884676702287117,6.63770837135238,True,24,5.0,QUALIFIED,True,False
293327,DIAGNOSTIC_179,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,2113,2369,HAMBURG,DR4/scans/HAM-LA/LA02355_x.fits,1928-08-28T01:46:53.000,DATE-AVG, ,PRIMARY,5.0,37,-0.4948492057276741,-1.100468717340705,12770,129,1983,3,5756,False,0,1,3.7797756824790234,7.343998008419159,-1,0.5428790136196964,4.272636559035584,True,24,,MISSING_90_PERCENT_THRESHOLD,False,False
293327,DIAGNOSTIC_179,POSITIVE_STRICT_RECURRENCE_CONTROL,5146,6332,HAMBURG,DR4/scans/HAM-LA/LA05466_x.fits,1938-12-16T23:52:14.000,DATE-AVG, ,PRIMARY,5.0,106,-0.5225734440123943,-0.2751189599115295,12770,129,1921,8,5608,True,1,0,2.642855412661391,5.361667441780201,-1,-3.398838423503984,4.272636559035584,False,0,,NOT_RUN,False,False
293327,DIAGNOSTIC_179,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,7679,9986,HAMBURG,DR4/scans/HAM-LA/LA08157_x.fits,1953-11-25T21:15:01.000,DATE-AVG, ,PRIMARY,5.0,47,-1.5863644868557258,-0.4403470230222541,12770,129,973,7,3101,False,0,0,33.49853789647158,4.575214657558577,-1,0.07270187340738994,4.272636559035584,True,24,5.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
293327,DIAGNOSTIC_179,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,7688,10002,HAMBURG,DR4/scans/HAM-LA/LA08168_x.fits,1953-12-05T20:47:09.000,DATE-AVG, ,PRIMARY,5.0,25,0.23452882081178678,-0.4665861898337207,12770,129,1105,0,3935,False,0,0,62.57831936787618,4.921379727616143,-1,0.4817787189019551,4.272636559035584,True,24,6.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
293327,DIAGNOSTIC_179,SENSITIVITY_NEGATIVE_BAMBERG_BEFORE,89097,113642,BAMBERG,DR4/scans/Bamberg-North/012160_1953_h.fits,1953-03-05T20:18:30.000,DATE-AVG, ,PRIMARY,20.0,7,-1.11847925757531,-1.3927128648478526,12770,129,16,1,57,False,0,0,382.8662088205929,19.210002123832872,-1,0.01686994518016923,4.272636559035584,True,24,6.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
293327,DIAGNOSTIC_179,SENSITIVITY_NEGATIVE_BAMBERG_AFTER,89595,114131,BAMBERG,DR4/scans/Bamberg-North/012688_1953_h.fits,1953-12-04T19:20:00.000,DATE-AVG, ,PRIMARY,20.0,9,-0.24131900333580092,4.280785834940539,12770,129,25,2,64,False,0,0,382.3657966227046,24.241254873696132,-1,-0.12470330646407783,4.272636559035584,True,24,6.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
293328,PRIMARY_424,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,7679,9986,HAMBURG,DR4/scans/HAM-LA/LA08157_x.fits,1953-11-25T21:15:01.000,DATE-AVG, ,PRIMARY,5.0,25,-1.2373122808435701,-1.543846537707384,10616,114,576,9,2208,False,0,0,7.780617923716893,4.37888166509385,1,0.9692439281504025,4.241173401991177,True,24,6.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
293328,PRIMARY_424,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,7687,10000,HAMBURG,DR4/scans/HAM-LA/LA08167_x.fits,1953-12-02T22:33:11.000,DATE-AVG, ,PRIMARY,5.0,53,1.2838380752052732,5.9178356466720246,10616,114,1953,43,3383,False,0,0,62.85782343487899,12.520599390591352,-1,-1.7142203910371363,4.241173401991177,True,24,6.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
293328,PRIMARY_424,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,83743,108559,BAMBERG,DR4/scans/Bamberg-North/006804_1933_h.fits,1933-10-23T23:57:00.000,DATE-AVG, ,PRIMARY,30.0,9,0.5446289986632246,-1.3268318508936647,10616,114,9,0,51,False,0,0,39.669236167318694,20.563698948135396,-1,-19.15988884790137,4.241173401991177,True,24,5.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
293328,PRIMARY_424,SENSITIVITY_NEGATIVE_BAMBERG_BEFORE,89097,113642,BAMBERG,DR4/scans/Bamberg-North/012160_1953_h.fits,1953-03-05T20:18:30.000,DATE-AVG, ,PRIMARY,30.0,15,0.9263784950819409,-1.5943044962636224,10616,114,15,2,64,False,0,0,75.03596513578016,20.152649808564373,-1,-19.855467266506384,4.241173401991177,True,24,6.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
293328,PRIMARY_424,SENSITIVITY_NEGATIVE_BAMBERG_AFTER,89595,114131,BAMBERG,DR4/scans/Bamberg-North/012688_1953_h.fits,1953-12-04T19:20:00.000,DATE-AVG, ,PRIMARY,20.0,14,-1.2661450957324272,1.128229452963176,10616,114,20,2,70,False,0,0,147.68960082246633,6.872146693641071,1,-1.382534849806705,4.241173401991177,True,24,6.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
293343,PRIMARY_424,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,7665,9959,HAMBURG,DR4/scans/HAM-LA/LA08142_x.fits,1953-11-10T22:14:59.000,DATE-AVG, ,PRIMARY,10.0,21,-0.8374234104073385,-1.3486418451870432,12266,121,202,1,527,False,0,0,69.0999449779446,4.0646901072088095,-1,-1.4657915859233417,5.144068674459414,True,24,8.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
293343,PRIMARY_424,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,7691,10008,HAMBURG,DR4/scans/HAM-LA/LA08171_x.fits,1953-12-28T18:43:18.000,DATE-AVG, ,PRIMARY,5.0,6,0.4754160271810669,2.1474184771144795,12266,121,492,3,1209,False,0,0,7.632616622014807,5.230570669307902,-1,-0.8129725128270491,5.144068674459414,True,24,6.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
293343,PRIMARY_424,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,53653,60366,BAMBERG,DR4/scans/Bamberg-South/011634_1965_h.fits,1965-02-04T18:45:00.000,DATE-AVG, ,PRIMARY,10.0,6,-0.5106167639135394,-2.5889257917345248,12266,121,98,2,171,True,1,0,2.9896400191721124,4.622343593237262,-1,-4.560001489891142,5.144068674459414,False,0,,NOT_RUN,False,False
293343,PRIMARY_424,SENSITIVITY_NEGATIVE_BAMBERG_BEFORE,89097,113642,BAMBERG,DR4/scans/Bamberg-North/012160_1953_h.fits,1953-03-05T20:18:30.000,DATE-AVG, ,PRIMARY,20.0,10,3.5778820359142944,-4.747814860710182,12266,121,17,2,76,False,0,0,212.64085247642285,9.564655520265573,-1,-0.23753517333908403,5.144068674459414,True,24,6.0,WORST_90_THRESHOLD_ABOVE_SCIENCE_REFERENCE_SNR,False,False
293343,PRIMARY_424,SENSITIVITY_NEGATIVE_BAMBERG_AFTER,90160,114694,BAMBERG,DR4/scans/Bamberg-North/013251_1958_h.fits,1958-12-02T00:35:00.000,DATE-AVG, ,NONE,,0,,,12266,121,0,0,21,False,0,0,,,,,5.144068674459414,False,0,,NOT_RUN,False,False
293349,PRIMARY_424,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,7665,9959,HAMBURG,DR4/scans/HAM-LA/LA08142_x.fits,1953-11-10T22:14:59.000,DATE-AVG, ,PRIMARY,10.0,29,-1.1826758076397719,0.7109541007714691,12069,120,268,11,620,False,0,0,93.61842704652585,16.14055741876906,-1,-1.7672278905537824,7.029073262992245,True,24,6.0,QUALIFIED,True,False
293349,PRIMARY_424,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,7804,10186,HAMBURG,DR4/scans/HAM-LA/LA08287_x.fits,1954-03-30T19:44:25.000,DATE-AVG, ,PRIMARY,5.0,10,2.3133555693494343,1.2082149089210596,12069,120,386,5,1055,True,1,0,2.632485326092457,4.481837230147125,-1,-2.35445873659255,7.029073262992245,False,0,,NOT_RUN,False,False
293349,PRIMARY_424,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,19280,22189,HAMBURG,DR4/scans/HAM-ST/S05639_y.fits,1939-02-13T19:37:18.000,DATE-AVG, ,PRIMARY,5.0,70,-0.971187331339833,0.27042917643919784,12069,120,2319,9,7614,False,0,0,5.083194810153945,7.045546154029891,-1,-0.9644825483942211,7.029073262992245,True,24,6.0,QUALIFIED,True,False
