recno,poss,band,unique_id,legacy_id,start_utc,end_utc,duration_s,ra_deg,dec_deg
675,1023,O,POSS-I:1023:O:rec675,POSS-I:1023:O,1954-04-02 07:27:00+00:00,1954-04-02 07:39:00+00:00,720.0,181.85833333333332,-6.807222222222222
799,1023,O,POSS-I:1023:O:rec799,POSS-I:1023:O,1954-04-02 09:28:00+00:00,1954-04-02 09:40:00+00:00,720.0,205.97708333333333,-18.72861111111111
455,372,O,POSS-I:372:O:rec455,POSS-I:372:O,1951-09-21 04:25:00+00:00,1951-09-21 04:35:00+00:00,600.0,301.62875,18.414166666666667
755,372,O,POSS-I:372:O:rec755,POSS-I:372:O,1951-09-22 03:20:00+00:00,1951-09-22 03:30:00+00:00,600.0,301.9979166666667,-11.577222222222222
26,832,E,POSS-I:832:E:rec26,POSS-I:832:E,1953-10-01 02:52:00+00:00,1953-10-01 03:37:00+00:00,2700.0,297.39874999999995,78.38277777777778
760,832,E,POSS-I:832:E:rec760,POSS-I:832:E,1953-10-01 05:16:00+00:00,1953-10-01 06:01:00+00:00,2700.0,332.1175,-11.29
124,985,E,POSS-I:985:E:rec124,POSS-I:985:E,1954-02-25 05:09:00+00:00,1954-02-25 05:49:00+00:00,2400.0,116.85125000000001,53.64722222222222
726,985,E,POSS-I:985:E:rec726,POSS-I:985:E,1954-02-25 06:14:00+00:00,1954-02-25 06:54:00+00:00,2400.0,127.71291666666666,-12.487499999999999
