rank,exposure_a,archive_a,site_a,start_a_utc,duration_a_s,ra_a_deg,dec_a_deg,fov_a_deg,exposure_b,archive_b,site_b,start_b_utc,duration_b_s,ra_b_deg,dec_b_deg,fov_b_deg,midpoint_delta_minutes,center_sep_deg,overlap_fraction_smaller,interval_overlap_s,involves_poss,score,true_wcs_overlap_fraction_poss_approx,true_wcs_intersection,exposure_b_legacy,poss_recno_b,exposure_a_legacy,poss_recno_a,end_a_utc,end_b_utc,actual_exposure_overlap_s,actual_exposure_overlap_minutes,overlap_fraction_a,overlap_fraction_b
11,POSS-I:407:E:rec246,POSS-I Palomar,Palomar Observatory,1951-11-03 07:01:00+00:00,3000.0,37.21,36.65277777777778,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02643,Harvard DASCH,DASCH unresolved,1951-11-03 07:00:00.000003562+00:00,3480.0,41.28772054728878,35.780164473311025,81.51858738816051,3.00000005,3.4033119731091497,1.0,3000.0,True,85,1.0,True,,,POSS-I:407:E,246.0,1951-11-03 07:51:00+00:00,1951-11-03 07:58:00.000003562+00:00,3000.0,50.0,1.0,0.8620689655172413
12,POSS-I:306:E:rec703,POSS-I Palomar,Palomar Observatory,1951-08-06 09:03:00+00:00,3000.0,349.87041666666664,-5.206388888888889,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43241,Harvard DASCH,DASCH unresolved,1951-08-06 09:03:00.000006243+00:00,3480.0,357.7340523060484,21.044601933116475,91.60401473926412,4.0000001,27.36142719520585,1.0,2999.999993,True,85,1.0,True,,,POSS-I:306:E,703.0,1951-08-06 09:53:00+00:00,1951-08-06 10:01:00.000006243+00:00,2999.999993757,49.999999895950005,0.9999999979190001,0.8620689637232759
13,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02504,Harvard DASCH,DASCH unresolved,1951-08-11 09:02:00.000009824+00:00,3480.0,347.3617022560938,36.23327915439081,81.42023980191611,POSS-I:318:E:rec524,POSS-I Palomar,Palomar Observatory,1951-08-11 09:11:00+00:00,3000.0,355.84,12.804166666666667,6.5,4.999999833333334,24.638384938406872,1.0,2940.000009,True,85,1.0,True,POSS-I:318:E,524.0,,,1951-08-11 10:00:00.000009824+00:00,1951-08-11 10:01:00+00:00,2940.000009824,49.00000016373333,0.844827589029885,0.9800000032746666
14,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44469,Harvard DASCH,DASCH unresolved,1954-06-29 09:03:00.000008127+00:00,3420.0,278.7619914491486,20.056132613044245,90.1958669335362,POSS-I:1103:E:rec397,POSS-I Palomar,Palomar Observatory,1954-06-29 09:11:00+00:00,3000.0,313.58624999999995,24.547500000000003,6.5,4.49999985,32.44545133209963,1.0,2940.000008,True,85,0.6409,True,POSS-I:1103:E,397.0,,,1954-06-29 10:00:00.000008127+00:00,1954-06-29 10:01:00+00:00,2940.000008127,49.00000013545,0.8596491251833334,0.980000002709
15,POSS-I:779:E:rec404,POSS-I Palomar,Palomar Observatory,1953-08-11 10:11:00+00:00,2700.0,359.34666666666664,24.807222222222222,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13177,Harvard DASCH,DASCH unresolved,1953-08-11 10:04:59.999983792+00:00,3540.0,3.3834026138671334,0.9176081178112014,89.84866992551851,0.9999997166666666,24.206205660996822,1.0,2700.0,True,85,1.0,True,,,POSS-I:779:E,404.0,1953-08-11 10:56:00+00:00,1953-08-11 11:03:59.999983792+00:00,2700.0,45.0,1.0,0.7627118644067796
16,POSS-I:782:E:rec514,POSS-I Palomar,Palomar Observatory,1953-08-13 06:10:00+00:00,2700.0,295.6983333333333,12.34027777777778,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13182,Harvard DASCH,DASCH unresolved,1953-08-13 06:04:59.999997207+00:00,3540.0,306.20320856448984,0.6186811002936122,90.24375322550516,1.99999995,15.6825957105648,1.0,2700.0,True,85,1.0,True,,,POSS-I:782:E,514.0,1953-08-13 06:55:00+00:00,1953-08-13 07:03:59.999997207+00:00,2700.0,45.0,1.0,0.7627118644067796
17,POSS-I:876:E:rec239,POSS-I Palomar,Palomar Observatory,1953-10-31 04:40:00+00:00,2700.0,346.6804166666667,42.78444444444444,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13273,Harvard DASCH,DASCH unresolved,1953-10-31 04:34:59.999997207+00:00,3540.0,1.2580457758326131,33.62761288676103,90.50441874448256,1.99999995,14.628489303864802,1.0,2700.0,True,85,1.0,True,,,POSS-I:876:E,239.0,1953-10-31 05:25:00+00:00,1953-10-31 05:33:59.999997207+00:00,2700.0,45.0,1.0,0.7627118644067796
18,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44227,Harvard DASCH,DASCH unresolved,1954-02-10 09:31:59.999984886+00:00,3420.0,148.4884931917143,20.08198913579199,90.71880184527625,POSS-I:976:E:rec492,POSS-I Palomar,Palomar Observatory,1954-02-10 09:41:00+00:00,2700.0,163.91041666666666,11.239722222222222,6.5,3.00000025,17.264149386453962,1.0,2700.0,True,85,1.0,True,POSS-I:976:E,492.0,,,1954-02-10 10:28:59.999984886+00:00,1954-02-10 10:26:00+00:00,2700.0,45.0,0.7894736842105263,1.0
19,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13203,Harvard DASCH,DASCH unresolved,1953-10-01 05:05:00.000010613+00:00,3540.0,338.8562749651588,0.3145072653026571,90.56171549984482,POSS-I:832:E:rec760,POSS-I Palomar,Palomar Observatory,1953-10-01 05:16:00+00:00,2700.0,332.1175,-11.29,6.5,3.9999998166666666,13.397822802395916,1.0,2700.0,True,85,1.0,True,POSS-I:832:E,760.0,,,1953-10-01 06:04:00.000010613+00:00,1953-10-01 06:01:00+00:00,2700.0,45.0,0.7627118644067796,1.0
20,POSS-I:875:E:rec521,POSS-I Palomar,Palomar Observatory,1953-10-31 03:31:00+00:00,2700.0,337.7875,12.745,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44092,Harvard DASCH,DASCH unresolved,1953-10-31 03:04:59.999995323+00:00,6300.0,347.18851646480823,23.590021085563325,91.63837794945894,3.999999916666667,14.038108233659882,1.0,2700.0,True,85,1.0,True,,,POSS-I:875:E,521.0,1953-10-31 04:16:00+00:00,1953-10-31 04:49:59.999995323+00:00,2700.0,45.0,1.0,0.42857142857142855
21,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44244,Harvard DASCH,DASCH unresolved,1954-02-25 06:05:29.999999192+00:00,3420.0,117.98923952178436,19.750863866158408,91.5403326894497,POSS-I:985:E:rec726,POSS-I Palomar,Palomar Observatory,1954-02-25 06:14:00+00:00,2400.0,127.71291666666666,-12.4875,6.5,0.0,33.62962961545721,1.0,2400.0,True,85,1.0,True,POSS-I:985:E,726.0,,,1954-02-25 07:02:29.999999192+00:00,1954-02-25 06:54:00+00:00,2400.0,40.0,0.7017543859649122,1.0
22,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44307,Harvard DASCH,DASCH unresolved,1954-04-02 09:42:00.000016384+00:00,2520.0,205.81830365001724,18.721784024814585,90.45482402773295,POSS-I:1024:E:rec742,POSS-I Palomar,Palomar Observatory,1954-04-02 09:45:00+00:00,2700.0,223.97916666666663,-12.586944444444445,6.5,4.499999716666666,36.06647285123351,1.0,2340.000016,True,85,1.0,True,POSS-I:1024:E,742.0,,,1954-04-02 10:24:00.000016384+00:00,1954-04-02 10:30:00+00:00,2340.000016384,39.00000027306667,0.9285714350730159,0.8666666727348148
23,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44304,Harvard DASCH,DASCH unresolved,1954-04-02 07:02:59.999989061+00:00,3600.0,159.57471173635415,20.49822649994841,91.64297143871708,POSS-I:1023:O:rec675,POSS-I Palomar,Palomar Observatory,1954-04-02 07:27:00+00:00,720.0,181.8583333333333,-6.807222222222222,6.5,1.666666666666667e-07,35.00384797186645,1.0,720.0,True,85,1.0,True,POSS-I:1023:O,675.0,,,1954-04-02 08:02:59.999989061+00:00,1954-04-02 07:39:00+00:00,720.0,12.0,0.2,1.0
24,POSS-I:872:O:rec148,POSS-I Palomar,Palomar Observatory,1953-10-29 04:27:00+00:00,720.0,343.5195833333333,54.77055555555555,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13267,Harvard DASCH,DASCH unresolved,1953-10-29 04:04:59.999983792+00:00,3540.0,351.44363592146755,32.884932527491536,90.22633835185115,1.4999997166666668,22.585949586441306,1.0,720.0,True,85,1.0,True,,,POSS-I:872:O,148.0,1953-10-29 04:39:00+00:00,1953-10-29 05:03:59.999983792+00:00,720.0,12.0,1.0,0.2033898305084746
25,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44306,Harvard DASCH,DASCH unresolved,1954-04-02 09:03:00.000004360+00:00,3540.0,190.7498314054962,19.245989624898293,89.97230392710031,POSS-I:1023:O:rec799,POSS-I Palomar,Palomar Observatory,1954-04-02 09:28:00+00:00,720.0,205.97708333333333,-18.72861111111111,6.5,1.4999999166666669,40.80899208643984,1.0,720.0,True,85,1.0,True,POSS-I:1023:O,799.0,,,1954-04-02 10:02:00.000004360+00:00,1954-04-02 09:40:00+00:00,720.0,12.0,0.2033898305084746,1.0
26,DASCH:ivo://org.gavo.dc/~?dasch/q/kh00163,Harvard DASCH,DASCH unresolved,1951-07-31 07:00:59.999998098+00:00,3540.0,318.92183746303897,-8.22743775849268,80.56614408599904,POSS-I:297:O:rec635,POSS-I Palomar,Palomar Observatory,1951-07-31 07:26:00+00:00,720.0,301.8558333333333,0.42,6.5,1.5000000166666667,19.08160621491753,1.0,720.0,True,85,1.0,True,POSS-I:297:O,635.0,,,1951-07-31 07:59:59.999998098+00:00,1951-07-31 07:38:00+00:00,720.0,12.0,0.2033898305084746,1.0
27,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44088,Harvard DASCH,DASCH unresolved,1953-10-29 04:02:59.999994720+00:00,3420.0,358.7816980847031,24.03324103313265,91.59320470304624,POSS-I:872:O:rec148,POSS-I Palomar,Palomar Observatory,1953-10-29 04:27:00+00:00,720.0,343.5195833333333,54.77055555555555,6.5,1.5000000833333331,32.76062533354958,1.0,720.0,True,85,1.0,True,POSS-I:872:O,148.0,,,1953-10-29 04:59:59.999994720+00:00,1953-10-29 04:39:00+00:00,720.0,12.0,0.21052631578947367,1.0
28,POSS-I:989:O:rec258,POSS-I Palomar,Palomar Observatory,1954-02-26 05:56:00+00:00,720.0,121.36208333333336,35.59388888888889,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44247,Harvard DASCH,DASCH unresolved,1954-02-26 05:34:59.999983792+00:00,3540.0,104.2639607749366,19.82181706456012,90.63511977383725,2.4999997166666663,21.79159142261588,1.0,720.0,True,85,1.0,True,,,POSS-I:989:O,258.0,1954-02-26 06:08:00+00:00,1954-02-26 06:33:59.999983792+00:00,720.0,12.0,1.0,0.2033898305084746
29,POSS-I:1405:O:rec616,POSS-I Palomar,Palomar Observatory,1955-04-21 05:52:00+00:00,720.0,187.85791666666668,-0.8013888888888889,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44487,Harvard DASCH,DASCH unresolved,1955-04-21 05:32:59.999994720+00:00,3420.0,165.2967225838179,19.82341073489281,91.64400464428468,3.4999999,30.24044996546522,1.0,720.0,True,85,1.0,True,,,POSS-I:1405:O,616.0,1955-04-21 06:04:00+00:00,1955-04-21 06:29:59.999994720+00:00,720.0,12.0,1.0,0.21052631578947367
30,POSS-I:988:O:rec207,POSS-I Palomar,Palomar Observatory,1954-02-26 04:53:00+00:00,720.0,107.54958333333332,41.77222222222222,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44246,Harvard DASCH,DASCH unresolved,1954-02-26 04:31:00.000004592+00:00,3780.0,89.41596671461812,21.557509087228787,90.84400297445664,3.5000000666666664,25.31722806439233,1.0,720.0,True,85,1.0,True,,,POSS-I:988:O,207.0,1954-02-26 05:05:00+00:00,1954-02-26 05:34:00.000004592+00:00,720.0,12.0,1.0,0.19047619047619047
31,POSS-I:236:O:rec425,POSS-I Palomar,Palomar Observatory,1951-02-04 06:49:00+00:00,720.0,122.08666666666667,17.575555555555557,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/kg00061,Harvard DASCH,DASCH unresolved,1951-02-04 06:16:59.999986352+00:00,5160.0,157.818242994963,21.91059119875947,80.37922768813597,4.999999766666666,33.83441407053321,1.0,720.0,True,85,0.0,False,,,POSS-I:236:O,425.0,1951-02-04 07:01:00+00:00,1951-02-04 07:42:59.999986352+00:00,720.0,12.0,1.0,0.13953488372093023
32,POSS-I:236:O:rec425,POSS-I Palomar,Palomar Observatory,1951-02-04 06:49:00+00:00,720.0,122.08666666666667,17.575555555555557,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/kg00060,Harvard DASCH,DASCH unresolved,1951-02-04 06:12:59.999986825+00:00,5640.0,136.6869755807516,22.076567762040565,74.31886450321669,4.999999766666666,14.444840311045432,1.0,720.0,True,85,1.0,True,,,POSS-I:236:O,425.0,1951-02-04 07:01:00+00:00,1951-02-04 07:46:59.999986825+00:00,720.0,12.0,1.0,0.1276595744680851
33,POSS-I:372:O:rec455,POSS-I Palomar,Palomar Observatory,1951-09-21 04:25:00+00:00,600.0,301.62875,18.414166666666667,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43336,Harvard DASCH,DASCH unresolved,1951-09-21 04:01:59.999996409+00:00,3480.0,328.4132975899006,19.759895629458995,91.5253759370241,0.9999999333333334,25.32187284099428,1.0,600.0,True,85,1.0,True,,,POSS-I:372:O,455.0,1951-09-21 04:35:00+00:00,1951-09-21 04:59:59.999996409+00:00,600.0,10.0,1.0,0.1724137931034483
34,POSS-I:313:O:rec523,POSS-I Palomar,Palomar Observatory,1951-08-08 08:26:00+00:00,600.0,349.82916666666665,12.786944444444444,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43246,Harvard DASCH,DASCH unresolved,1951-08-08 08:03:00.000019658+00:00,3480.0,344.4909348859268,20.952230866575867,91.11318374242876,1.0000003166666669,9.628647113087204,1.0,600.0,True,85,1.0,True,,,POSS-I:313:O,523.0,1951-08-08 08:36:00+00:00,1951-08-08 09:01:00.000019658+00:00,600.0,10.0,1.0,0.1724137931034483
35,POSS-I:449:O:rec198,POSS-I Palomar,Palomar Observatory,1951-12-22 03:55:00+00:00,600.0,39.82375,42.62861111111111,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/fa15108,Harvard DASCH,DASCH unresolved,1951-12-22 03:32:59.999981305+00:00,3420.0,36.868575239552136,33.90034504006082,90.5736769626732,1.4999996833333331,9.029729486409105,1.0,600.0,True,85,1.0,True,,,POSS-I:449:O,198.0,1951-12-22 04:05:00+00:00,1951-12-22 04:29:59.999981305+00:00,600.0,10.0,1.0,0.17543859649122806
36,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02650,Harvard DASCH,DASCH unresolved,1951-11-05 09:00:00.000015085+00:00,3540.0,73.2049660876676,35.704631511762955,81.44691522558925,POSS-I:415:O:rec479,POSS-I Palomar,Palomar Observatory,1951-11-05 09:26:00+00:00,600.0,86.03333333333335,12.066111111111113,6.5,1.4999997333333333,26.32766824115184,1.0,600.0,True,85,1.0,True,POSS-I:415:O,479.0,,,1951-11-05 09:59:00.000015085+00:00,1951-11-05 09:36:00+00:00,600.0,10.0,0.1694915254237288,1.0
37,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43439,Harvard DASCH,DASCH unresolved,1951-11-05 09:00:00.000015085+00:00,3540.0,87.13449994796758,19.66539037379509,91.09555336369024,POSS-I:415:O:rec479,POSS-I Palomar,Palomar Observatory,1951-11-05 09:26:00+00:00,600.0,86.03333333333335,12.066111111111113,6.5,1.4999997333333333,7.6726097402242655,1.0,600.0,True,85,1.0,True,POSS-I:415:O,479.0,,,1951-11-05 09:59:00.000015085+00:00,1951-11-05 09:36:00+00:00,600.0,10.0,0.1694915254237288,1.0
38,POSS-I:558:O:rec517,POSS-I Palomar,Palomar Observatory,1952-08-20 07:24:00+00:00,600.0,313.7295833333333,12.552222222222223,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43708,Harvard DASCH,DASCH unresolved,1952-08-20 07:02:59.999994720+00:00,3420.0,336.6776827816166,-7.496542363580271,91.04898060804746,2.4999999,30.366261992868832,1.0,600.0,True,85,1.0,True,,,POSS-I:558:O,517.0,1952-08-20 07:34:00+00:00,1952-08-20 07:59:59.999994720+00:00,600.0,10.0,1.0,0.17543859649122806
39,POSS-I:305:O:rec637,POSS-I Palomar,Palomar Observatory,1951-08-06 07:37:00+00:00,600.0,313.8558333333333,0.5533333333333333,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02473,Harvard DASCH,DASCH unresolved,1951-08-06 07:30:59.999985109+00:00,1740.0,313.9240088291386,35.43875041524412,77.88966612038239,3.49999975,34.885474858500295,1.0,600.0,True,85,0.8405,True,,,POSS-I:305:O,637.0,1951-08-06 07:47:00+00:00,1951-08-06 07:59:59.999985109+00:00,600.0,10.0,1.0,0.3448275862068966
40,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44291,Harvard DASCH,DASCH unresolved,1954-03-27 04:00:00.000006076+00:00,2040.0,102.75650601851956,20.074121186871213,91.56679591147524,POSS-I:1009:O:rec785,POSS-I Palomar,Palomar Observatory,1954-03-27 04:13:00+00:00,720.0,121.62833333333332,-18.416944444444447,6.5,1.9999998833333328,42.70956522433958,0.992215405574893,720.0,True,85,1.0,True,POSS-I:1009:O,785.0,,,1954-03-27 04:34:00.000006076+00:00,1954-03-27 04:25:00+00:00,720.0,12.0,0.35294117647058826,1.0
41,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02474,Harvard DASCH,DASCH unresolved,1951-08-06 08:00:59.999998515+00:00,1740.0,327.8073380183154,35.959453681479324,81.06425817681617,POSS-I:305:E:rec637,POSS-I Palomar,Palomar Observatory,1951-08-06 07:51:00+00:00,3000.0,313.8558333333333,0.5533333333333333,6.5,0.5000000166666667,37.70324712623969,0.9714837549923588,1740.0,True,85,1.0,True,POSS-I:305:E,637.0,,,1951-08-06 08:29:59.999998515+00:00,1951-08-06 08:41:00+00:00,1740.0,29.0,1.0,0.58
42,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02737,Harvard DASCH,DASCH unresolved,1952-05-24 05:10:00.000010966+00:00,2940.0,211.38570939522583,34.01604060801529,80.7976384835205,POSS-I:500:E:rec679,POSS-I Palomar,Palomar Observatory,1952-05-24 05:04:00+00:00,4200.0,205.89625,-6.731388888888889,6.5,4.499999816666668,41.07771046239129,0.3601050860084022,2940.0,True,85,0.0726,True,POSS-I:500:E,679.0,,,1952-05-24 05:59:00.000010966+00:00,1952-05-24 06:14:00+00:00,2940.0,49.0,1.0,0.7
43,POSS-I:236:O:rec425,POSS-I Palomar,Palomar Observatory,1951-02-04 06:49:00+00:00,720.0,122.08666666666667,17.575555555555557,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/kg00059,Harvard DASCH,DASCH unresolved,1951-02-04 06:14:29.999986491+00:00,5460.0,78.44874305530132,15.057683774386428,81.8534539934835,4.999999766666666,41.867488098183,0.3110624643687074,720.0,True,85,0.0,False,,,POSS-I:236:O,425.0,1951-02-04 07:01:00+00:00,1951-02-04 07:45:29.999986491+00:00,720.0,12.0,1.0,0.13186813186813187
44,POSS-I:445:E:rec481,POSS-I Palomar,Palomar Observatory,1951-12-01 09:00:00+00:00,3000.0,98.02375,11.899444444444445,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/j03761,Harvard DASCH,DASCH unresolved,1951-12-01 09:26:29.999980034+00:00,180.0,94.6892007325087,15.372146309713475,8.229518,2.9999996666666666,4.749415582279492,0.3045835187831072,180.0,True,85,0.1005,True,,,POSS-I:445:E,481.0,1951-12-01 09:50:00+00:00,1951-12-01 09:29:29.999980034+00:00,180.0,3.0,0.06,1.0
45,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02481,Harvard DASCH,DASCH unresolved,1951-08-08 10:02:00.000009611+00:00,1680.0,0.4853447367243575,36.15963195227702,81.56959660258153,POSS-I:314:E:rec646,POSS-I Palomar,Palomar Observatory,1951-08-08 09:54:00+00:00,3000.0,7.845416666666668,-5.199166666666667,6.5,2.9999998333333333,41.930017839936745,0.273615442776042,1680.0,True,85,0.0586,True,POSS-I:314:E,646.0,,,1951-08-08 10:30:00.000009611+00:00,1951-08-08 10:44:00+00:00,1680.0,28.0,1.0,0.56
46,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43235,Harvard DASCH,DASCH unresolved,1951-07-31 07:00:59.999998098+00:00,3540.0,324.7411304837886,39.22089161884868,83.78054776256153,POSS-I:297:O:rec635,POSS-I Palomar,Palomar Observatory,1951-07-31 07:26:00+00:00,720.0,301.8558333333333,0.42,6.5,1.5000000166666667,44.081709339580094,0.1027606717088074,720.0,True,70,0.7934,True,POSS-I:297:O,635.0,,,1951-07-31 07:59:59.999998098+00:00,1951-07-31 07:38:00+00:00,720.0,12.0,0.2033898305084746,1.0
