canonical_order,pair_set,legacy_rank,pair_key,exposure_a,archive_a,site_a,start_a_utc,end_a_utc,duration_a_s,ra_a_deg,dec_a_deg,fov_a_deg,exposure_b,archive_b,site_b,start_b_utc,end_b_utc,duration_b_s,ra_b_deg,dec_b_deg,fov_b_deg,midpoint_delta_minutes,actual_exposure_overlap_s,actual_exposure_overlap_minutes,overlap_fraction_a,overlap_fraction_b,center_separation_deg,approx_overlap_fraction_smaller,true_wcs_overlap_fraction,true_wcs_intersection,saved_status,saved_notes,id_integrity,pre_freeze_touched,pre_freeze_reason,publication_cohort,production_action
11,POSS47,15.0,POSS-I:779:E:rec404 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13177,POSS-I:779:E:rec404,POSS-I Palomar,Palomar Observatory,1953-08-11T10:11:00+00:00,1953-08-11T10:56:00+00:00,2700.0,359.34666666666664,24.807222222222222,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13177,Harvard DASCH,DASCH unresolved,1953-08-11T10:04:59.999983792+00:00,1953-08-11T11:03:59.999983792+00:00,3540.0,3.3834026138671334,0.9176081178112014,89.84866992551851,0.9999997166666666,2700.0,45.0,1.0,0.7627118644067796,24.206205660996822,1.0,1.0,True,,,unique_recno_resolved,True,exploratory partial; identity/WCS correction work,development_revalidation,rerun_or_complete_under_protocol_v1
12,POSS47,33.0,POSS-I:372:O:rec455 | DASCH:ivo://org.gavo.dc/~?dasch/q/ai43336,POSS-I:372:O:rec455,POSS-I Palomar,Palomar Observatory,1951-09-21T04:25:00+00:00,1951-09-21T04:35:00+00:00,600.0,301.62875,18.414166666666667,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43336,Harvard DASCH,DASCH unresolved,1951-09-21T04:01:59.999996409+00:00,1951-09-21T04:59:59.999996409+00:00,3480.0,328.4132975899006,19.759895629458995,91.5253759370241,0.9999999333333334,600.0,10.0,1.0,0.1724137931034483,25.32187284099428,1.0,1.0,True,,,unique_recno_resolved,False,,prospective_production,process_under_protocol_v1
13,POSS47,34.0,POSS-I:313:O:rec523 | DASCH:ivo://org.gavo.dc/~?dasch/q/ai43246,POSS-I:313:O:rec523,POSS-I Palomar,Palomar Observatory,1951-08-08T08:26:00+00:00,1951-08-08T08:36:00+00:00,600.0,349.82916666666665,12.786944444444444,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43246,Harvard DASCH,DASCH unresolved,1951-08-08T08:03:00.000019658+00:00,1951-08-08T09:01:00.000019658+00:00,3480.0,344.4909348859268,20.952230866575867,91.11318374242876,1.0000003166666669,600.0,10.0,1.0,0.1724137931034483,9.628647113087204,1.0,1.0,True,,,unique_recno_resolved,False,,prospective_production,process_under_protocol_v1
14,nonPOSS27,,APPLAUSE:13387 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05485,APPLAUSE:13387,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-10-24T18:19:40+00:00,1951-10-24T18:20:10+00:00,30.0,301.6456,35.558,5.0,DASCH:ivo://org.gavo.dc/~?dasch/q/bi05485,Harvard DASCH,DASCH historical observing site unresolved,1951-10-24T17:21:00.499982745+00:00,1951-10-24T19:21:00.499982745+00:00,7200.0,315.61487644013187,0.1921476337237595,83.8295615201287,1.0916663666666666,30.0,0.5,1.0,0.0041666666666666,37.68222444613895,,,,rejected_spatial_false_positive,Live Harvard cutout: field centre plus 4 cardinal and 4 diagonal interior-edge probes all HTTP422; no solved-WCS overlap sampled.,not_applicable,True,pre-existing queue status=rejected_spatial_false_positive,development_revalidation,rerun_or_complete_under_protocol_v1
15,nonPOSS27,,APPLAUSE:139012 | APPLAUSE:12569,APPLAUSE:139012,Zeiss Double Astrograph,Vatican Observatory,1951-09-19T19:59:00+00:00,1951-09-19T20:14:00+00:00,900.0,298.9171,39.3307,5.0,APPLAUSE:12569,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-09-19T20:07:22+00:00,1951-09-19T20:07:52+00:00,30.0,301.6465,35.5583,5.0,1.1166666666666667,30.0,0.5,0.0333333333333333,1.0,4.349922337287497,,,,negative_calibrated_catalogue,"At 10 arcsec due coarse Vatican astrometry, matches collapse to two Gaia stars; no non-Gaia match.",not_applicable,True,pre-existing queue status=negative_calibrated_catalogue,development_revalidation,rerun_or_complete_under_protocol_v1
16,nonPOSS27,,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13405 | APPLAUSE:115048,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13405,Harvard DASCH,DASCH historical observing site unresolved,1954-02-06T00:37:48.899999743+00:00,1954-02-06T01:36:48.899999743+00:00,3540.0,138.90726192713296,27.394828651698543,87.67704901000685,APPLAUSE:115048,Schmidtsches Spiegelteleskop (Hamburg),Hamburger Sternwarte,1954-02-06T01:07:30+00:00,1954-02-06T01:09:30+00:00,120.0,135.6814,27.2329,5.0,1.1849999999999998,120.0,2.0,0.0338983050847457,1.0,2.8706875956810087,,,,negative_nine_tile_sample,Nine fixed Harvard tiles: 45 official DASCH detections; all reference-catalogued; zero unmatched. Same Harvard field as 115047.,not_applicable,True,pre-existing queue status=negative_nine_tile_sample,development_revalidation,rerun_or_complete_under_protocol_v1
17,POSS47,35.0,POSS-I:449:O:rec198 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa15108,POSS-I:449:O:rec198,POSS-I Palomar,Palomar Observatory,1951-12-22T03:55:00+00:00,1951-12-22T04:05:00+00:00,600.0,39.82375,42.62861111111111,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/fa15108,Harvard DASCH,DASCH unresolved,1951-12-22T03:32:59.999981305+00:00,1951-12-22T04:29:59.999981305+00:00,3420.0,36.868575239552136,33.90034504006082,90.5736769626732,1.4999996833333331,600.0,10.0,1.0,0.175438596491228,9.029729486409105,1.0,1.0,True,,,unique_recno_resolved,False,,prospective_production,process_under_protocol_v1
18,POSS47,24.0,POSS-I:872:O:rec148 | DASCH:ivo://org.gavo.dc/~?dasch/q/fa13267,POSS-I:872:O:rec148,POSS-I Palomar,Palomar Observatory,1953-10-29T04:27:00+00:00,1953-10-29T04:39:00+00:00,720.0,343.5195833333333,54.77055555555555,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13267,Harvard DASCH,DASCH unresolved,1953-10-29T04:04:59.999983792+00:00,1953-10-29T05:03:59.999983792+00:00,3540.0,351.44363592146755,32.884932527491536,90.22633835185115,1.4999997166666668,720.0,12.0,1.0,0.2033898305084746,22.585949586441306,1.0,1.0,True,,,unique_recno_resolved,False,,prospective_production,process_under_protocol_v1
19,POSS47,36.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02650 | POSS-I:415:O:rec479,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02650,Harvard DASCH,DASCH unresolved,1951-11-05T09:00:00.000015085+00:00,1951-11-05T09:59:00.000015085+00:00,3540.0,73.2049660876676,35.704631511762955,81.44691522558925,POSS-I:415:O:rec479,POSS-I Palomar,Palomar Observatory,1951-11-05T09:26:00+00:00,1951-11-05T09:36:00+00:00,600.0,86.03333333333335,12.066111111111113,6.5,1.4999997333333333,600.0,10.0,0.1694915254237288,1.0,26.32766824115184,1.0,1.0,True,,,unique_recno_resolved,False,,prospective_production,process_under_protocol_v1
20,POSS47,37.0,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43439 | POSS-I:415:O:rec479,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43439,Harvard DASCH,DASCH unresolved,1951-11-05T09:00:00.000015085+00:00,1951-11-05T09:59:00.000015085+00:00,3540.0,87.13449994796758,19.66539037379509,91.09555336369024,POSS-I:415:O:rec479,POSS-I Palomar,Palomar Observatory,1951-11-05T09:26:00+00:00,1951-11-05T09:36:00+00:00,600.0,86.03333333333335,12.066111111111113,6.5,1.4999997333333333,600.0,10.0,0.1694915254237288,1.0,7.6726097402242655,1.0,1.0,True,,,unique_recno_resolved,False,,prospective_production,process_under_protocol_v1
