attempts,created_at,db_path,job_key,last_error,payload_json,result_json,stage,status,updated_at
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480028053,,"{""dec_deg"": 27.511836010502897, ""ra_deg"": 299.73613695231114, ""source_id"": ""40095480028053""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480028053.fits"", ""cutout_sha256"": ""8a65ffb4c9a342342e2fe0ef4399ddf84f361e24ab68c91a0bca05bfa28900c1"", ""median_residual"": -2.2383306924680255, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 258.8235910433399, ""nearest_peak_snr"": 4.53945046801823, ""nearest_peak_x"": 242, ""nearest_peak_y"": 458, ""peak_count"": 141, ""plate_id"": ""bi05607"", ""sigma"": 48.723758655151, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:34:42.680783+00:00
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480028191,,"{""dec_deg"": 27.43484386218456, ""ra_deg"": 289.9614464483418, ""source_id"": ""40095480028191""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480028191.fits"", ""cutout_sha256"": ""f33961ca90ceb13b7b198b545f84f992c4149471dce21c7562df532cb1c53315"", ""median_residual"": -2.9788489835532346, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 69.14999090119174, ""nearest_peak_snr"": 4.142819022289685, ""nearest_peak_x"": 458, ""nearest_peak_y"": 392, ""peak_count"": 20, ""plate_id"": ""bi05607"", ""sigma"": 63.71120062729916, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:34:47.051758+00:00
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480028491,,"{""dec_deg"": 27.47836313803769, ""ra_deg"": 290.6477566329487, ""source_id"": ""40095480028491""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480028491.fits"", ""cutout_sha256"": ""4d7df4e4a9d2c05dfd3ede7baa5e61bb973d285cc3798ef891f55108c5eee798"", ""median_residual"": -5.93674984352856, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 51.91993726979971, ""nearest_peak_snr"": 4.871060106079225, ""nearest_peak_x"": 429, ""nearest_peak_y"": 383, ""peak_count"": 78, ""plate_id"": ""bi05607"", ""sigma"": 84.0136839247268, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:34:51.342918+00:00
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480028980,,"{""dec_deg"": 27.52748939479983, ""ra_deg"": 291.22600929464573, ""source_id"": ""40095480028980""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480028980.fits"", ""cutout_sha256"": ""7d79d4edda20ddaa2d20e2645cc67cfb0c1e590e7ab63ac92191fd6393405872"", ""median_residual"": -5.591472139563848, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 12.879751534083683, ""nearest_peak_snr"": 4.408567262185976, ""nearest_peak_x"": 413, ""nearest_peak_y"": 409, ""peak_count"": 64, ""plate_id"": ""bi05607"", ""sigma"": 85.86981369497995, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:34:55.619105+00:00
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480029128,,"{""dec_deg"": 27.48311383503874, ""ra_deg"": 289.89719270240323, ""source_id"": ""40095480029128""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480029128.fits"", ""cutout_sha256"": ""2a7976f53f3e97c35c37be048cf87eedd6721814d2f4ac471f91616cfedb2b56"", ""median_residual"": -3.2095267461495496, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 108.95576070968457, ""nearest_peak_snr"": 4.073626595094759, ""nearest_peak_x"": 483, ""nearest_peak_y"": 454, ""peak_count"": 27, ""plate_id"": ""bi05607"", ""sigma"": 63.31515396375229, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:34:59.969192+00:00
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480029314,,"{""dec_deg"": 27.574730657530356, ""ra_deg"": 299.8309566785188, ""source_id"": ""40095480029314""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480029314.fits"", ""cutout_sha256"": ""25a2eba2fedaa13f9943708c2c18dd8b7baaf7842e9d742e6e4ca5eea26f510b"", ""median_residual"": -2.733757931805485, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 89.97407055957852, ""nearest_peak_snr"": 4.449306755199461, ""nearest_peak_x"": 457, ""nearest_peak_y"": 465, ""peak_count"": 109, ""plate_id"": ""bi05607"", ""sigma"": 53.48248226616067, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:35:04.389762+00:00
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480029378,,"{""dec_deg"": 27.60504686942296, ""ra_deg"": 293.6917771411797, ""source_id"": ""40095480029378""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480029378.fits"", ""cutout_sha256"": ""80d49f69944ff54626de5c656c0ea51a995c3254646ac8821188a2da25b89c97"", ""median_residual"": -5.4930917954111464, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 61.3987343294654, ""nearest_peak_snr"": 4.824650654919496, ""nearest_peak_x"": 444, ""nearest_peak_y"": 450, ""peak_count"": 56, ""plate_id"": ""bi05607"", ""sigma"": 75.91136784052773, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:35:08.646210+00:00
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480029659,,"{""dec_deg"": 27.621518189531162, ""ra_deg"": 298.4917338877282, ""source_id"": ""40095480029659""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480029659.fits"", ""cutout_sha256"": ""483f05fada19181e8e3770958bbb34b48d26656a66ed1795938a5c1fd08bc16c"", ""median_residual"": -4.214094798543101, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 89.90490407271676, ""nearest_peak_snr"": 4.093495508855733, ""nearest_peak_x"": 470, ""nearest_peak_y"": 384, ""peak_count"": 66, ""plate_id"": ""bi05607"", ""sigma"": 75.13449766917734, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:35:12.544000+00:00
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480029684,,"{""dec_deg"": 27.529721065976762, ""ra_deg"": 290.3358525186616, ""source_id"": ""40095480029684""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480029684.fits"", ""cutout_sha256"": ""f404c39a92b0fb126edc1c03022a13aaa8bc030ffed250be2f3b5da448ea18a9"", ""median_residual"": -4.612782892956147, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 128.2974378339269, ""nearest_peak_snr"": 4.955376451731006, ""nearest_peak_x"": 354, ""nearest_peak_y"": 480, ""peak_count"": 60, ""plate_id"": ""bi05607"", ""sigma"": 79.54207917437678, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:35:16.923768+00:00
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480029749,,"{""dec_deg"": 27.613103587787254, ""ra_deg"": 299.10085538041284, ""source_id"": ""40095480029749""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480029749.fits"", ""cutout_sha256"": ""5a96f638e6c767521a670841c32f9cc9fa4d550640de979139e09ea5df1235ba"", ""median_residual"": -3.8586541712002145, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 25.516864881019654, ""nearest_peak_snr"": 4.21695171081046, ""nearest_peak_x"": 412, ""nearest_peak_y"": 400, ""peak_count"": 112, ""plate_id"": ""bi05607"", ""sigma"": 65.65793471421459, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:35:21.178767+00:00
1,2026-08-20T12:33:53.058267+00:00,state\pair13623_strip3_verified.sqlite,40095480030997,,"{""dec_deg"": 27.664369154527105, ""ra_deg"": 299.6053226557622, ""source_id"": ""40095480030997""}","{""cutout_cache_hit"": false, ""cutout_cache_path"": ""cache\\verified_starglass\\bi05607\\40095480030997.fits"", ""cutout_sha256"": ""1bcd2f7ff9980015f0cf7387b7e01d2b1d3eebf6c517658ff0be5a7ed3ac0e74"", ""median_residual"": -3.970934695264077, ""nearest_peak_polarity"": 1, ""nearest_peak_sep_arcsec"": 58.0482542547461, ""nearest_peak_snr"": 5.462411858858704, ""nearest_peak_x"": 389, ""nearest_peak_y"": 388, ""peak_count"": 87, ""plate_id"": ""bi05607"", ""sigma"": 65.77988179664003, ""strict_match"": false}",starglass:bi05607:solution0,succeeded,2026-08-20T12:35:25.518353+00:00
