rank,exposure_a,archive_a,site_a,start_a_utc,duration_a_s,ra_a_deg,dec_a_deg,fov_a_deg,exposure_b,archive_b,site_b,start_b_utc,duration_b_s,ra_b_deg,dec_b_deg,fov_b_deg,midpoint_delta_minutes,center_sep_deg,overlap_fraction_smaller,interval_overlap_s,involves_poss,score,true_wcs_overlap_fraction_poss_approx,true_wcs_intersection
15,POSS-I:779:E,POSS-I Palomar,Palomar Observatory,1953-08-11 10:11:00+00:00,2700.0,359.34666666666664,24.807222222222222,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13177,Harvard DASCH,DASCH unresolved,1953-08-11 10:04:59.999983792+00:00,3540.0,3.3834026138671334,0.9176081178112014,89.84866992551851,0.9999997166666666,24.206205660996822,1.0,2700.0,True,85,1.0,True
16,POSS-I:782:E,POSS-I Palomar,Palomar Observatory,1953-08-13 06:10:00+00:00,2700.0,295.6983333333333,12.34027777777778,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13182,Harvard DASCH,DASCH unresolved,1953-08-13 06:04:59.999997207+00:00,3540.0,306.20320856448984,0.6186811002936122,90.24375322550516,1.99999995,15.6825957105648,1.0,2700.0,True,85,1.0,True
17,POSS-I:876:E,POSS-I Palomar,Palomar Observatory,1953-10-31 04:40:00+00:00,2700.0,346.6804166666667,42.78444444444444,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13273,Harvard DASCH,DASCH unresolved,1953-10-31 04:34:59.999997207+00:00,3540.0,1.2580457758326131,33.62761288676103,90.50441874448256,1.99999995,14.628489303864802,1.0,2700.0,True,85,1.0,True
18,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44227,Harvard DASCH,DASCH unresolved,1954-02-10 09:31:59.999984886+00:00,3420.0,148.4884931917143,20.08198913579199,90.71880184527625,POSS-I:976:E,POSS-I Palomar,Palomar Observatory,1954-02-10 09:41:00+00:00,2700.0,163.91041666666666,11.239722222222222,6.5,3.00000025,17.264149386453962,1.0,2700.0,True,85,1.0,True
19,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13203,Harvard DASCH,DASCH unresolved,1953-10-01 05:05:00.000010613+00:00,3540.0,338.8562749651588,0.3145072653026571,90.56171549984482,POSS-I:832:E,POSS-I Palomar,Palomar Observatory,1953-10-01 05:16:00+00:00,2700.0,332.1175,-11.29,6.5,3.9999998166666666,13.397822802395916,1.0,2700.0,True,85,1.0,True
20,POSS-I:875:E,POSS-I Palomar,Palomar Observatory,1953-10-31 03:31:00+00:00,2700.0,337.7875,12.745,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44092,Harvard DASCH,DASCH unresolved,1953-10-31 03:04:59.999995323+00:00,6300.0,347.18851646480823,23.590021085563325,91.63837794945894,3.999999916666667,14.038108233659882,1.0,2700.0,True,85,1.0,True
21,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44244,Harvard DASCH,DASCH unresolved,1954-02-25 06:05:29.999999192+00:00,3420.0,117.98923952178436,19.750863866158408,91.5403326894497,POSS-I:985:E,POSS-I Palomar,Palomar Observatory,1954-02-25 06:14:00+00:00,2400.0,127.71291666666666,-12.4875,6.5,0.0,33.62962961545721,1.0,2400.0,True,85,1.0,True
22,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44307,Harvard DASCH,DASCH unresolved,1954-04-02 09:42:00.000016384+00:00,2520.0,205.81830365001724,18.721784024814585,90.45482402773295,POSS-I:1024:E,POSS-I Palomar,Palomar Observatory,1954-04-02 09:45:00+00:00,2700.0,223.97916666666663,-12.586944444444445,6.5,4.499999716666666,36.06647285123351,1.0,2340.000016,True,85,1.0,True
23,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44304,Harvard DASCH,DASCH unresolved,1954-04-02 07:02:59.999989061+00:00,3600.0,159.57471173635415,20.49822649994841,91.64297143871708,POSS-I:1023:O,POSS-I Palomar,Palomar Observatory,1954-04-02 07:27:00+00:00,720.0,181.8583333333333,-6.807222222222222,6.5,1.666666666666667e-07,35.00384797186645,1.0,720.0,True,85,1.0,True
24,POSS-I:872:O,POSS-I Palomar,Palomar Observatory,1953-10-29 04:27:00+00:00,720.0,343.5195833333333,54.77055555555555,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/fa13267,Harvard DASCH,DASCH unresolved,1953-10-29 04:04:59.999983792+00:00,3540.0,351.44363592146755,32.884932527491536,90.22633835185115,1.4999997166666668,22.585949586441306,1.0,720.0,True,85,1.0,True
