raw_match_row,population,target_ra_deg,target_dec_deg,catalog_recurrence_class,tier_A_plate_count,tier_B_plate_count,tier_C_plate_count,strict_recurrence_plate_count_in_short_lag,nonstrict_plate_count_requiring_pixel_validation,best_any_short_lag_minutes,best_any_short_lag_tier,best_nonstrict_short_lag_minutes,best_nonstrict_short_lag_tier,has_pixel_validation_queue,candidate_disposition_changed
292670,PRIMARY_424,84.42152695134904,9.193517580040298,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292672,PRIMARY_424,84.23999947648255,10.070303173081452,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292673,PRIMARY_424,85.04110507068629,6.589417697218881,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,0,1,61.833333,C_GT60_LE120MIN,61.833333,C_GT60_LE120MIN,True,False
292675,DIAGNOSTIC_179,84.79543567149825,6.727827675262417,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292677,DIAGNOSTIC_179,84.0535384472597,6.430563196494599,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292678,PRIMARY_424,84.28197000186023,10.081951982425755,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292679,PRIMARY_424,85.75037947502369,9.170606219366912,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292681,PRIMARY_424,84.33843989996389,9.290102661609746,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292687,PRIMARY_424,84.46826141523495,9.210065042356483,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,0,1,61.833333,C_GT60_LE120MIN,61.833333,C_GT60_LE120MIN,True,False
292689,PRIMARY_424,84.05551722233281,9.990203669406688,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292691,DIAGNOSTIC_179,85.268053103736,5.7745665907210135,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,0,1,61.833333,C_GT60_LE120MIN,61.833333,C_GT60_LE120MIN,True,False
292692,PRIMARY_424,84.96366278713406,6.527192211172705,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,0,1,61.833333,C_GT60_LE120MIN,61.833333,C_GT60_LE120MIN,True,False
292693,PRIMARY_424,84.5208872148356,9.23174142376802,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
