launch_id,year,launch_date_utc,launch_datetime_utc,time_precision,raw_date_time,rocket,payload,flight_number,launch_site,launch_service_provider,operator,trajectory_class,function,decay_or_impact_date_utc,outcome,remarks,source_url,source_tier
L0434,1955,1955-12-17,,day,17 December,R-2,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,17 December,Successful[21],,https://en.wikipedia.org/wiki/1955_in_spaceflight,compiled_event_table
L0435,1955,1955-12-21,,day,21 December,HJ-Nike,,,Wallops Island,NACA,NACA,Suborbital,Test flight,21 December,Launch failure,Apogee: 10 kilometres (6.2 mi)[32],https://en.wikipedia.org/wiki/1955_in_spaceflight,compiled_event_table
L0436,1955,1955-12-24,,day,24 December,R-2,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,24 December,Successful[21],,https://en.wikipedia.org/wiki/1955_in_spaceflight,compiled_event_table
L0437,1955,1955-12-27,,day,27 December,R-2,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,27 December,Successful[21],,https://en.wikipedia.org/wiki/1955_in_spaceflight,compiled_event_table
L0438,1955,1955-12-28,,day,28 December,R-2,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,28 December,Successful[21],,https://en.wikipedia.org/wiki/1955_in_spaceflight,compiled_event_table
L0439,1955,1955-12-30,,day,30 December,R-2,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,30 December,Successful[21],,https://en.wikipedia.org/wiki/1955_in_spaceflight,compiled_event_table
L0440,1955,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 1/6; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1955_in_spaceflight,annual_statistics_reconciliation
L0441,1955,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 2/6; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1955_in_spaceflight,annual_statistics_reconciliation
L0442,1955,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 3/6; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1955_in_spaceflight,annual_statistics_reconciliation
L0443,1955,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 4/6; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1955_in_spaceflight,annual_statistics_reconciliation
