launch_id,year,launch_date_utc,launch_datetime_utc,time_precision,raw_date_time,rocket,payload,flight_number,launch_site,launch_service_provider,operator,trajectory_class,function,decay_or_impact_date_utc,outcome,remarks,source_url,source_tier
L0056,1951,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 5/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1951_in_spaceflight,annual_statistics_reconciliation
L0057,1951,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 6/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1951_in_spaceflight,annual_statistics_reconciliation
L0058,1951,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 7/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1951_in_spaceflight,annual_statistics_reconciliation
L0059,1951,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 8/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1951_in_spaceflight,annual_statistics_reconciliation
L0060,1951,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 9/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1951_in_spaceflight,annual_statistics_reconciliation
L0061,1951,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 10/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1951_in_spaceflight,annual_statistics_reconciliation
L0062,1952,1952-01-30,1952-01-30T20:45:00Z,minute,30 January 20:45,Aerobee RTV-A-1a,,USAF 21,Holloman LC-A,US Air Force,AFCRC / University of Utah,Suborbital,Ionospheric,30 January,Launch failure,"Apogee: 0 kilometres (0 mi), rocket exploded in tower[3]: 85",https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0063,1952,1952-02-19,1952-02-19T14:49:00Z,minute,19 February 14:49,Aerobee RTV-A-1c,,USAF 22,Holloman LC-A,US Air Force,AFCRC / University of Utah,Suborbital,Airglow,19 February,Launch failure,"Apogee: 0 kilometres (0 mi), maiden (and only) flight of the RTV-A-1c, which was an unboosted version of the RTV-A-1a. There was a thrust chamber explosion in the tower, but the instrumentation was recovered intact.[3]: 86",https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0064,1952,1952-02-19,1952-02-19T17:00:00Z,minute,19 February 17:00,Aerobee RTV-N-10,,NRL 7,White Sands LC-35,US Navy,NRL,Suborbital,Cosmic Radiation / Solar Radiation,19 February,Successful,Apogee: 81.3 kilometres (50.5 mi)[3]: 303–304,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0065,1952,1952-02-29,1952-02-29T14:40:00Z,minute,29 February 14:40,Aerobee RTV-A-1,,USAF 23,Holloman LC-A,US Air Force,AFCRC / University of Utah,Suborbital,Airglow,29 February,Successful,Apogee: 89.3 kilometres (55.5 mi)[3]: 87–88,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0066,1952,1952-04-22,1952-04-22T17:28:00Z,minute,22 April 17:28,Aerobee RTV-A-1,,USAF 24,Holloman LC-A,US Air Force,AFCRC / Boston University,Suborbital,Ionospheric,22 April,Successful,Apogee: 113 kilometres (70 mi)[3]: 89–90,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0067,1952,1952-04-30,1952-04-30T13:30:00Z,minute,30 April 13:30,Aerobee RTV-N-10,,NRL 8,White Sands LC-35,US Navy,NRL,Suborbital,Cosmic Radiation / Solar Radiation,30 April,Successful,Apogee: 127.8 kilometres (79.4 mi)[3]: 305,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0068,1952,1952-05-01,1952-05-01T14:59:00Z,minute,1 May 14:59,Aerobee RTV-N-10,,NRL 9,White Sands LC-35,US Navy,NRL,Suborbital,Cosmic Radiation / Solar Radiation,1 May,Successful,Apogee: 126.0 kilometres (78.3 mi)[3]: 305,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0069,1952,1952-05-01,1952-05-01T15:42:00Z,minute,1 May 15:42,Aerobee RTV-A-1,,USAF 25,Holloman LC-A,US Air Force,AFCRC / University of Rhode Island,Suborbital,Solar UV,1 May,Successful,Apogee: 91 kilometres (57 mi)[3]: 91–92,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0070,1952,1952-05-05,1952-05-05T13:44:00Z,minute,5 May 13:44,Aerobee RTV-N-10,,NRL 10,White Sands LC-35,US Navy,NRL,Suborbital,Cosmic Radiation / Solar Radiation,5 May,Successful,Apogee: 127.0 kilometres (78.9 mi)[3]: 305,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0071,1952,1952-05-15,1952-05-15T01:15:00Z,minute,15 May 01:15,Aerobee XASR-SC-1,,SC 23,White Sands LC-35,US Army,SCEL / University of Michigan,Suborbital,Aeronomy,15 May,Successful,Apogee: 76.1 kilometres (47.3 mi)[3]: 233–234,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0072,1952,1952-05-20,1952-05-20T02:07:00Z,minute,20 May 02:07,Aerobee XASR-SC-1,,SC 24,White Sands LC-35,US Army,USASC,Suborbital,Aeronomy,20 May,Successful,Apogee: 89.5 kilometres (55.6 mi)[3]: 235–236,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0073,1952,1952-05-20,1952-05-20T16:06:00Z,minute,20 May 16:06,V-2,,V-2 No. 59 / TF-2,White Sands LC-33,US Army,SCEL / University of Michigan,Suborbital,Aeronomy / Photography,20 May,Successful,"Apogee: 103.5 kilometres (64.3 mi)[3]: 455–456, 464",https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0074,1952,1952-05-21,1952-05-21T15:15:00Z,minute,21 May 15:15,Aerobee RTV-A-1,,USAF 26,Holloman LC-A,US Air Force,AFCRL / WADC Aero-Medical Laboratory,Suborbital,Biological,21 May,Successful,"Carried 2 Philippine monkeys, Pat and Mike, and 2 mice; all recovered. Apogee: 61 kilometres (38 mi)[3]: 93–94 Flight tested requirement of restraints: one mouse was given a shelf to cling to; the other bounced from side to side of its smooth-sided plastic compartment. Acceleration was 15 gees for <1 second and 3-4 gees for 35 seconds. The two monkeys were strapped to their seats and anaesthetized. Mission demonstrated that pilot injury in rocket flight could be avoided with appropriate seats and straps.[12]",https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0075,1952,1952-06-06,1952-06-06T17:30:00Z,minute,6 June 17:30,Viking (second model),,,White Sands LC-33,US Navy,NRL,Suborbital,Accidental launch,6 June,Launch failure,"Apogee: 6 kilometres (3.7 mi), accidentally launched during static fire ground test[13]",https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0076,1952,1952-06-18,1952-06-18T17:50:00Z,minute,18 June 17:50,Aerobee RTV-A-1,,USAF 27,Holloman LC-A,US Air Force,AFCRC / University of Denver,Suborbital,Solar UV,18 June,Successful,Apogee: 105 kilometres (65 mi)[3]: 95–96,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0077,1952,1952-06-30,1952-06-30T14:32:00Z,minute,30 June 14:32,Aerobee RTV-A-1,,USAF 28,Holloman LC-A,US Air Force,AFCRC,Suborbital,Sky Brightness,30 June,Successful,Apogee: 101 kilometres (63 mi)[3]: 97–98,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0078,1952,1952-08-08,,day,8 August,R-2,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,8 August,,First of fourteen test launches of mass-produced version; twelve reached their target[14][7]: 266,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0079,1952,,,unknown,August,R-2,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,Same day,,Second of fourteen test launches of mass-produced version; twelve reached their target[14][7]: 266,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0080,1952,1952-08-20,,day,20 August,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,20 August,Successful[10],,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0081,1952,1952-08-21,,day,21 August,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,21 August,Successful[10],,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0082,1952,1952-08-21,1952-08-21T06:25:00Z,minute,21 August 06:25,Deacon rockoon,,SUI 1,"USCGC Eastwind, Kane Basin",US Coast Guard,University of Iowa,Suborbital,Cosmic Radiation,21 August,Partial failure,"Maiden flight of the Deacon Rockoon, (balloon) apogee: 21.4 kilometres (13.3 mi), rocket failed to fire[3]: 312",https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0083,1952,1952-08-22,1952-08-22T07:33:00Z,minute,22 August 07:33,V-2,,TF-3,White Sands LC-33,US Army,NRL / AFCRC / National Institutes of Health,Suborbital,Aeronomy / Cosmic Radiation / Solar X-Ray / Magnetic Field / Sky Brightness,22 August,Successful,Apogee: 78.1 kilometres (48.5 mi)[3]: 465–466,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0084,1952,1952-08-24,1952-08-24T03:34:00Z,minute,24 August 03:34,Deacon rockoon,,SUI 2,"USCGC Eastwind, northern Baffin Bay",US Coast Guard,University of Iowa,Suborbital,Cosmic Radiation,24 August,Partial failure,"(Balloon) Apogee: 21.4 kilometres (13.3 mi),[3]: 312 rocket failed to fire, but instrument package worked[4]: 17",https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0085,1952,1952-08-25,,day,25 August,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,25 August,Successful[10],,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0086,1952,1952-08-26,1952-08-26T18:53:00Z,minute,26 August 18:53,Aerobee RTV-A-1a,,USAF 29,Holloman LC-A,US Air Force,AFCRC / University of Utah,Suborbital,Ionospheric,26 August,Launch failure,Apogee: 32 kilometres (20 mi)[3]: 99–100,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0087,1952,1952-08-29,1952-08-29T00:26:00Z,minute,29 August 00:26,Deacon rockoon,,SUI 3,"USCGC Eastwind, northern Baffin Bay",US Coast Guard,University of Iowa,Suborbital,Cosmic Radiation,29 August,Spacecraft failure,"Apogee: 61.0 kilometres (37.9 mi),[3]: 312 first successful firing of balloon-launched rocket, instruments failed to return data[4]: 18",https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0088,1952,1952-08-29,1952-08-29T07:36:00Z,minute,29 August 07:36,Deacon rockoon,,SUI 4,"USCGC Eastwind, northern Baffin Bay",US Coast Guard,University of Iowa,Suborbital,Cosmic Radiation,29 August,Successful,Apogee: 59.4 kilometres (36.9 mi)[3]: 312,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0089,1952,1952-08-29,1952-08-29T18:15:00Z,minute,29 August 18:15,Deacon rockoon,,SUI 5,"USCGC Eastwind, northern Baffin Bay",US Coast Guard,University of Iowa,Suborbital,Cosmic Radiation,29 August,Successful,Apogee: 76.1 kilometres (47.3 mi)[3]: 312,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0090,1952,1952-08-31,1952-08-31T21:10:00Z,minute,31 August 21:10,Deacon rockoon,,SUI 6,"USCGC Eastwind, northern Baffin Bay",US Coast Guard,University of Iowa,Suborbital,Cosmic Radiation,31 August,Successful,Apogee: 64.1 kilometres (39.8 mi)[3]: 313,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0091,1952,,,unknown,September,R-2,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,Same day,,Ninth of fourteen test launches of mass-produced version; twelve reached their target[14][7]: 266,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0092,1952,1952-09-03,1952-09-03T14:49:00Z,minute,3 September 14:49,Aerobee RTV-N-10,,NRL 11,White Sands LC-35,US Navy,NRL,Suborbital,Solar Radiation,3 September,Successful,Apogee: 99.0 kilometres (61.5 mi)[3]: 305,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0093,1952,1952-09-04,1952-09-04T09:17:00Z,minute,4 September 09:17,Deacon rockoon,,SUI 7,"USCGC Eastwind, northern Baffin Bay",US Coast Guard,University of Iowa,Suborbital,Cosmic Radiation,4 September,Successful,Apogee: 64.1 kilometres (39.8 mi)[3]: 313,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0094,1952,1952-09-18,,day,18 September,R-2,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,18 September,,Last of fourteen test launches of mass-produced version; twelve reached their target[14][7]: 266,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0095,1952,1952-09-19,1952-09-19T15:49:00Z,minute,19 September 15:49,V-2,,TF-5,White Sands LC-33,US Army,SCEL / University of Michigan,Suborbital,Aeronomy,19 September,Launch failure,"Final flight of the V-2, apogee: 7.1 kilometres (4.4 mi), tail exploded at 27 seconds[3]: 469–470",https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0096,1952,1952-09-25,1952-09-25T03:50:00Z,minute,25 September 03:50,Aerobee XASR-SC-1,,SC 25,White Sands LC-35,US Army,SCEL,Suborbital,Aeronomy,25 September,Successful,Apogee: 117 kilometres (73 mi)[3]: 239,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0097,1952,1952-10-10,1952-10-10T14:24:00Z,minute,10 October 14:24,Aerobee RTV-A-1,,USAF 30,Holloman LC-A,US Air Force,AFCRC / University of Denver,Suborbital,Solar UV,10 October,Successful,Apogee: 110 kilometres (68 mi)[3]: 102–103,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0098,1952,1952-10-22,1952-10-22T14:35:00Z,minute,22 October 14:35,Aerobee RTV-A-1,,USAF 31,Holloman LC-A,US Air Force,AFCRC / University of Michigan,Suborbital,Aeronomy,22 October,Successful,Apogee: 100 kilometres (62 mi)[3]: 104–105,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0099,1952,1952-10-23,1952-10-23T03:45:00Z,minute,23 October 03:45,Aerobee XASR-SC-2,,SC 26,White Sands LC-35,US Army,SCEL,Suborbital,Aeronomy,23 October,Successful,Apogee: 112.0 kilometres (69.6 mi)[3]: 237–238,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0100,1952,1952-10-29,,day,29 October,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,29 October,Successful[10],,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0101,1952,1952-10-30,,day,30 October,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,30 October,Successful[10],R-1,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0102,1952,1952-11-06,1952-11-06T15:56:00Z,minute,6 November 15:56,Aerobee RTV-A-1,,USAF 32,Holloman LC-A,US Air Force,AFCRC,Suborbital,Sky Brightness,6 November,Successful,Apogee: 76 kilometres (47 mi)[3]: 106–107,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0103,1952,1952-11-21,,day,21 November,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,21 November,Successful[10],,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0104,1952,1952-12-11,1952-12-11T23:47:00Z,minute,11 December 23:47,Aerobee XASR-SC-1,,SC 29,White Sands LC-35,US Army,SCEL / University of Michigan,Suborbital,Aeronomy / Cosmic Radiation,11 December,Successful,Apogee: 105.1 kilometres (65.3 mi)[3]: 244–245,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0105,1952,1952-12-12,1952-12-12T19:38:00Z,minute,12 December 19:38,Aerobee RTV-A-1,,USAF 33,Holloman LC-A,US Air Force,AFCRC / University of Colorado,Suborbital,Solar UV,12 December,Successful,"Final flight of the RTV-A-1, apogee: 89 kilometres (55 mi)[3]: 108–109",https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0106,1952,1952-12-15,1952-12-15T21:38:00Z,minute,15 December 21:38,Viking (second model),,,White Sands LC-33,US Navy,NRL,Suborbital,Solar Radiation / Cosmic Radiation / Photography,15 December,Successful,Apogee: 219 kilometres (136 mi)[3]: 494,https://en.wikipedia.org/wiki/1952_in_spaceflight,compiled_event_table
L0107,1952,,,year_only_aggregate,,R-1,,,,,,Suborbital,Missile test,,,Aggregate series member 1/1; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1952_in_spaceflight,annual_statistics_reconciliation
L0108,1952,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 1/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1952_in_spaceflight,annual_statistics_reconciliation
L0109,1952,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 2/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1952_in_spaceflight,annual_statistics_reconciliation
L0110,1952,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 3/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1952_in_spaceflight,annual_statistics_reconciliation
L0111,1952,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 4/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1952_in_spaceflight,annual_statistics_reconciliation
L0112,1952,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 5/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1952_in_spaceflight,annual_statistics_reconciliation
L0113,1952,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 6/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1952_in_spaceflight,annual_statistics_reconciliation
L0114,1952,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 7/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1952_in_spaceflight,annual_statistics_reconciliation
L0115,1952,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 8/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1952_in_spaceflight,annual_statistics_reconciliation
L0116,1952,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 9/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1952_in_spaceflight,annual_statistics_reconciliation
L0117,1952,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 10/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1952_in_spaceflight,annual_statistics_reconciliation
L0118,1953,1953-02-10,1953-02-10T21:09:00Z,minute,10 February 21:09,Aerobee RTV-N-10,,NRL 12,White Sands LC-35,US Navy,NRL,Suborbital,Aeronomy / Cosmic Radiation,10 February,Successful,Apogee: 137.0 kilometres (85.1 mi)[8]: 305,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0119,1953,1953-02-12,1953-02-12T07:09:00Z,minute,12 February 07:09,Aerobee RTV-N-10,,NRL 13,White Sands LC-35,US Navy,NRL,Suborbital,Aeronomy / Cosmic Radiation,12 February,Successful,Apogee: 137.3 kilometres (85.3 mi)[8]: 305,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0120,1953,1953-02-18,1953-02-18T06:50:00Z,minute,18 February 06:50,Aerobee XASR-SC-2,,SC 27,White Sands LC-35,US Army,SCEL,Suborbital,Aeronomy,18 February,Successful,Apogee: 108.6 kilometres (67.5 mi)[8]: 240–241,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0121,1953,1953-02-18,1953-02-18T17:42:00Z,minute,18 February 17:42,Aerobee RTV-A-1a,,USAF 34,Holloman LC-A,US Air Force,AFCRC,Suborbital,Rocket performance test,18 February,Successful,Apogee: 117 kilometres (73 mi)[8]: 111–112,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0122,1953,1953-03-01,,day,1 March,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,1 March,Successful[9],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0123,1953,1953-03-05,,day,5 March,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,5 March,Successful[9],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0124,1953,1953-03-15,,day,15 March,R-5,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,15 March,Partial failure [7],Maiden flight of R-5[10],https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0125,1953,1953-03-18,,day,18 March,R-5,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,18 March,Partial failure [10][7],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0126,1953,1953-03-19,,day,19 March,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,19 March,Successful[9],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0127,1953,1953-04-02,,day,2 April,R-5,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,2 April,Successful,First successful R-5 launch[10],https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0128,1953,1953-04-08,,day,8 April,R-5,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,8 April,Partial failure[10],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0129,1953,1953-04-14,1953-04-14T15:47:00Z,minute,14 April 15:47,Aerobee RTV-A-1a,,USAF 35,Holloman LC-A,US Air Force,AFCRC,Suborbital,Rocket performance test,14 April,Successful,Apogee: 122 kilometres (76 mi)[8]: 113–114,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0130,1953,1953-04-19,,day,19 April,R-5,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,19 April,Successful[10],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0131,1953,1953-04-23,1953-04-23T19:33:00Z,minute,23 April 19:33,Aerobee XASR-SC-2,,SC 30,White Sands LC-35,US Army,SCEL / University of Michigan,Suborbital,Aeronomy,23 April,Successful,Apogee: 123.3 kilometres (76.6 mi)[8]: 246–247,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0132,1953,1953-04-24,1953-04-24T10:19:00Z,minute,24 April 10:19,Aerobee XASR-SC-2,,SC 28,White Sands LC-35,US Army,SCEL,Suborbital,Aeronomy,24 April,Successful,Apogee: 108 kilometres (67 mi)[8]: 242–243,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0133,1953,1953-04-24,,day,24 April,R-5,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,24 April,Partial failure[10],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0134,1953,1953-05-11,,day,11 May,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,11 May,Successful[9],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0135,1953,1953-05-13,,day,13 May,R-5,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,13 May,Successful[10],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0136,1953,1953-05-20,1953-05-20T14:04:00Z,minute,20 May 14:04,Aerobee RTV-A-1a,,USAF 36,Holloman LC-A,US Air Force,AFCRC,Suborbital,Sky Brightness,20 May,Successful,Apogee: 114 kilometres (71 mi)[8]: 115–116,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0137,1953,1953-05-21,1953-05-21T15:57:00Z,minute,21 May 15:57,Aerobee RTV-A-1a,,USAF 37,Holloman LC-A,US Air Force,AFCRC,Suborbital,Sky Brightness,21 May,Successful,Apogee: 114 kilometres (71 mi)[8]: 117–118,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0138,1953,1953-05-23,,day,23 May,R-5,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,23 May,Successful,Contained 4 supplementary combat compartments; end of 1st set of experimental launches[10],https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0139,1953,1953-06-26,1953-06-26T19:10:00Z,minute,26 June 19:10,Aerobee RTV-A-1a,,USAF 38,Holloman LC-A,US Air Force,AFCRC / University of Utah,Suborbital,Ionospheric,26 June,Successful,Apogee: 135 kilometres (84 mi)[8]: 119–120,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0140,1953,1953-06-30,,day,30 June,Viking (second model),,,White Sands LC-33,US Navy,NRL,Suborbital,Aeronomy / Ionospheric,30 June,Launch Failure,"Apogee: 0 kilometres (0 mi), tail exploded on launch pad; rocket rebuilt and launched successfully on 7 May 1954",https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0141,1953,1953-07-01,1953-07-01T17:52:00Z,minute,1 July 17:52,Aerobee RTV-A-1a,,USAF 39,Holloman LC-A,US Air Force,AFCRC / University of Utah,Suborbital,Ionospheric,1 July,Successful,Apogee: 138 kilometres (86 mi)[8]: 121–122,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0142,1953,1953-07-06,,day,6 July,R-1,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Missile test,6 July,Successful[9],,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0143,1953,1953-07-14,1953-07-14T15:30:00Z,minute,14 July 15:30,Aerobee RTV-A-1a,,USAF 40,Holloman LC-A,US Air Force,AFCRC / University of Rhode Island,Suborbital,Solar UV,14 July,Successful,Apogee: 103 kilometres (64 mi)[8]: 123–124,https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0144,1953,1953-07-18,1953-07-18T22:27:00Z,minute,18 July 22:27,Deacon Rockoon,,SUI 8,"USS Staten Island, Atlantic Ocean, 50 kilometres (31 mi) east of Boston",US Navy,University of Iowa,Suborbital,Cosmic Radiation,18 July,Launch failure,"(Balloon) Apogee: 22.0 kilometres (13.7 mi), rocket failed to fire[8]: 313",https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0145,1953,1953-07-19,1953-07-19T10:30:00Z,minute,19 July 10:30,Deacon Rockoon,,SUI 9,"USS Staten Island, Atlantic Ocean, near Nova Scotia",US Navy,University of Iowa,Suborbital,Cosmic Radiation,19 July,Launch failure,"(Balloon) Apogee: 22.2 kilometres (13.8 mi), rocket failed to fire[8]: 313",https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0146,1953,1953-07-19,1953-07-19T15:53:00Z,minute,19 July 15:53,Deacon Rockoon,,SUI 10,"USS Staten Island, Atlantic Ocean, near Nova Scotia",US Navy,University of Iowa,Suborbital,Cosmic Radiation,19 July,Launch failure,"(Balloon) Apogee: 22.2 kilometres (13.8 mi), rocket failed to fire[8]: 313",https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
L0147,1953,1953-07-19,1953-07-19T21:57:00Z,minute,19 July 21:57,Deacon Rockoon,,SUI 11,"USS Staten Island, Atlantic Ocean, near Nova Scotia",US Navy,University of Iowa,Suborbital,Cosmic Radiation,19 July,Launch failure,"(Balloon) Apogee: 23.2 kilometres (14.4 mi), rocket failed to fire[8]: 314",https://en.wikipedia.org/wiki/1953_in_spaceflight,compiled_event_table
