obs_id,obs_title,access_url,s_ra,s_dec,s_fov,t_min,t_max,t_exptime,facility_name,instrument_name,dasch_id,plate_class,dasch_table,obs_start_utc,obs_end_utc,source_archive,source_url
ivo://org.gavo.dc/~?dasch/q/adh01678,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-02-27T19:11:36.500013,http://dc.g-vo.org/getproduct/dasch/q/adh01678,,,,34435.799728009384,34435.799728009384,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01678,D3,dasch.narrow_plates,1953-02-27T19:11:36.500010786+00:00,1953-02-27T19:11:36.500010786+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01680,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-02-27T19:30:33.300001,http://dc.g-vo.org/getproduct/dasch/q/adh01680,,,,34435.81288541667,34435.81288541667,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01680,D3,dasch.narrow_plates,1953-02-27T19:30:33.300000426+00:00,1953-02-27T19:30:33.300000426+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01682,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-02-27T19:49:30.200007,http://dc.g-vo.org/getproduct/dasch/q/adh01682,,,,34435.82604398159,34435.82604398159,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01682,D3,dasch.narrow_plates,1953-02-27T19:49:30.200009643+00:00,1953-02-27T19:49:30.200009643+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01685,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-02-27T20:18:25.499989,http://dc.g-vo.org/getproduct/dasch/q/adh01685,,,,34435.84612847213,34435.84612847213,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01685,D3,dasch.narrow_plates,1953-02-27T20:18:25.499991772+00:00,1953-02-27T20:18:25.499991772+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01688,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-02-27T21:04:17.899990,http://dc.g-vo.org/getproduct/dasch/q/adh01688,,,,34435.87798495358,34435.87798495358,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01688,D3,dasch.narrow_plates,1953-02-27T21:04:17.899989191+00:00,1953-02-27T21:04:17.899989191+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01695,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-02-27T22:17:06.000015,http://dc.g-vo.org/getproduct/dasch/q/adh01695,,,,34435.92854166683,34435.92854166683,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01695,D3,dasch.narrow_plates,1953-02-27T22:17:06.000013947+00:00,1953-02-27T22:17:06.000013947+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01702,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-02-28T20:38:25.599977,http://dc.g-vo.org/getproduct/dasch/q/adh01702,,,,34436.86001851829,34436.86001851829,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01702,D3,dasch.narrow_plates,1953-02-28T20:38:25.599980057+00:00,1953-02-28T20:38:25.599980057+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01709,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-02-28T21:57:12.699990,http://dc.g-vo.org/getproduct/dasch/q/adh01709,,,,34436.914730323944,34436.914730323944,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01709,D3,dasch.narrow_plates,1953-02-28T21:57:12.699988778+00:00,1953-02-28T21:57:12.699988778+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01718,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-03-01T00:20:49.100004,http://dc.g-vo.org/getproduct/dasch/q/adh01718,,,,34437.014457175974,34437.014457175974,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01718,D3,dasch.narrow_plates,1953-03-01T00:20:49.100004136+00:00,1953-03-01T00:20:49.100004136+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01719,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-03-01T00:31:47.300017,http://dc.g-vo.org/getproduct/dasch/q/adh01719,,,,34437.02207523165,34437.02207523165,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01719,D3,dasch.narrow_plates,1953-03-01T00:31:47.300014793+00:00,1953-03-01T00:31:47.300014793+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01720,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-03-01T00:42:45.499986,http://dc.g-vo.org/getproduct/dasch/q/adh01720,,,,34437.029693286866,34437.029693286866,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01720,D3,dasch.narrow_plates,1953-03-01T00:42:45.499985213+00:00,1953-03-01T00:42:45.499985213+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01727,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-03-05T21:18:06.399984,http://dc.g-vo.org/getproduct/dasch/q/adh01727,,,,34441.88757407386,34441.88757407386,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01727,Dig,dasch.narrow_plates,1953-03-05T21:18:06.399981383+00:00,1953-03-05T21:18:06.399981383+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01733,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-03-07T02:49:15.399993,http://dc.g-vo.org/getproduct/dasch/q/adh01733,,,,34443.117539351806,34443.117539351806,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01733,D3g,dasch.narrow_plates,1953-03-07T02:49:15.399996038+00:00,1953-03-07T02:49:15.399996038+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01742,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-03-09T22:52:04.699995,http://dc.g-vo.org/getproduct/dasch/q/adh01742,,,,34445.952832175884,34445.952832175884,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01742,Lg,dasch.narrow_plates,1953-03-09T22:52:04.699996412+00:00,1953-03-09T22:52:04.699996412+00:00,Harvard DASCH,https://dc.g-vo.org/tap
