pair_index,pair_id,plate_a,plate_b,site_a,site_b,parent_pair_status,downstream_pair_class,eligible_fragment_count,admissible_fragment_count,unresolved_fragment_count,witness_count,parent_pair_row_sha256
148,3170|120977,2338,78298,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,70a3ad27a44a854be191b73e0c1da4d68ed524753880feb08ab44bcc741eac6b
149,3170|120978,2338,78299,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,02edb2b8b5f9e86ddbcafba3085a7bed991f2e55c56878de630632c11e1f2f90
157,3186|121004,2354,78325,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,2,3510e15dbd5d04eeb27716420b76facb5602f9cb014c50f196e3b0e853e80696
173,3202|121066,2370,78387,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,1a9f375609a785a51e8042b327962bb97d147af5d9bc5e17cd6e766b717d0e28
175,3204|121067,2372,78388,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,9d021d92afe27536de31aaab1efe4073f176f30b27ec7584a862a6c3ec160686
177,3207|85825,2375,58026,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,bd699fcf9265bd9901b8a7947f31e1daa89e994396af73df24676933871cee18
203,3243|121167,2411,78486,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,563b18161e06527eb57ea0f146756a3f87082529e1408d0c392c6c2e181d8afb
204,3245|121170,2413,78489,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,2,dbc60e6a24518fc44cd99a212debd5971f6050af64108c7f1818eaf09fd5ce69
206,3249|121175,2417,78494,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,c7e24758747f358f09fe82c1a76d43700a9b3222637682c00c404198f21aad6a
212,3267|85905,2435,58066,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,2,4aaaea0a03e0974df1b3a8f8b6c0e288336a9fe0c6eb3bb97bb5255bc9243250
213,3267|85906,2435,58066,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,b3fa61b67b19cd5fb25a9c95fc1bb9ddd37d28315641d5400aca1b42fca12f87
221,3270|121187,2438,78506,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,c0ddba3679b3e07e371e3977d2fbba695873fea479eef62f5d30e31f5b17c750
222,3270|121188,2438,78507,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,9d661029533b4a9c58f2c3be3776a04e0755c16e5c082f13b88dc1ae0d505e3a
223,3270|121190,2438,78509,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,0db605bd3ef93fb15dae8b61d649ce8bedcb89afdf589e7b38249247681560c3
