pair_index,canonical_pair,endpoint_a,endpoint_b,detector_coverage_state,observed_le_3arcsec_matches,control3_mean,control3_median,control3_min,control3_max,control3_stdev,observed_to_control3_mean_ratio,observed_le_10arcsec_matches,control10_mean,control10_median,control10_min,control10_max,control10_stdev,observed_to_control10_mean_ratio,individual_candidate_disposition
15,APPLAUSE:13683 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28458,APPLAUSE:13683,DASCH:am28458:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,165,173.375,158.5,135.0,345.0,51.189679949510655,0.9516943042537851,1885,1928.0,1725.5,1604.0,3596.0,501.169831494275,0.9776970954356846,NONE_POPULATION_CONTEXT_ONLY
16,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,DASCH:rb16848:exp0,APPLAUSE:11788,COMPLETE_VALID_DETECTOR_COVERAGE,77,87.0625,88.0,63.0,111.0,11.946931265670974,0.8844221105527639,888,930.5,914.5,825.0,1148.0,85.60373823613078,0.9543256313809779,NONE_POPULATION_CONTEXT_ONLY
17,APPLAUSE:132654 | APPLAUSE:14120,APPLAUSE:14120,APPLAUSE:132654,COMPLETE_VALID_DETECTOR_COVERAGE,211,23.75,24.5,13.0,35.0,7.08519583356734,8.884210526315789,1618,265.5625,250.0,193.0,355.0,55.93325635672097,6.092727700635444,NONE_POPULATION_CONTEXT_ONLY
18,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/rb16848,DASCH:rb16848:exp0,APPLAUSE:11787,COMPLETE_VALID_DETECTOR_COVERAGE,77,87.0625,88.0,63.0,111.0,11.946931265670974,0.8844221105527639,888,930.5,914.5,825.0,1148.0,85.60373823613078,0.9543256313809779,NONE_POPULATION_CONTEXT_ONLY
19,APPLAUSE:12404 | APPLAUSE:131662,APPLAUSE:131662,APPLAUSE:12404,COMPLETE_VALID_DETECTOR_COVERAGE,117,42.5,34.0,25.0,142.0,27.439630706941617,2.7529411764705882,747,446.6875,416.0,337.0,942.0,142.00080692258993,1.6723100601651042,NONE_POPULATION_CONTEXT_ONLY
20,APPLAUSE:12470 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12470,COMPLETE_VALID_DETECTOR_COVERAGE,8,6.1875,6.0,2.0,11.0,2.4281337140555777,1.292929292929293,57,70.375,72.5,40.0,86.0,10.461835403025608,0.8099467140319716,NONE_POPULATION_CONTEXT_ONLY
21,APPLAUSE:12562 | APPLAUSE:139010,APPLAUSE:12562,APPLAUSE:139010,COMPLETE_VALID_DETECTOR_COVERAGE,66,53.0,54.0,41.0,65.0,7.0898989179442236,1.2452830188679245,610,598.625,605.0,505.0,701.0,51.965212722871954,1.0190018793067446,NONE_POPULATION_CONTEXT_ONLY
22,APPLAUSE:12570 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12570,COMPLETE_VALID_DETECTOR_COVERAGE,75,67.5,65.5,43.0,96.0,12.36662174295524,1.1111111111111112,732,752.3125,758.0,568.0,939.0,99.30405748675798,0.9729999169228213,NONE_POPULATION_CONTEXT_ONLY
23,APPLAUSE:12564 | APPLAUSE:139011,APPLAUSE:12564,APPLAUSE:139011,COMPLETE_VALID_DETECTOR_COVERAGE,31,30.8125,31.5,22.0,38.0,4.40028408173836,1.0060851926977687,362,375.5625,380.0,322.0,424.0,29.763442341234658,0.963887502080213,NONE_POPULATION_CONTEXT_ONLY
24,APPLAUSE:131918 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28316,DASCH:am28316:exp0,APPLAUSE:131918,COMPLETE_VALID_DETECTOR_COVERAGE,36,14.0,12.5,3.0,24.0,5.573747990954262,2.5714285714285716,434,153.875,161.0,82.0,213.0,41.76741153898176,2.8204711616571894,NONE_POPULATION_CONTEXT_ONLY
25,APPLAUSE:131772 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05468,DASCH:bi05468:exp0,APPLAUSE:131772,COMPLETE_VALID_DETECTOR_COVERAGE,0,0.3125,0.0,0.0,2.0,0.6020797289396148,0.0,1,2.125,2.0,0.0,5.0,1.3601470508735443,0.47058823529411764,NONE_POPULATION_CONTEXT_ONLY
26,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40301,DASCH:mf40301:exp0,APPLAUSE:132099,COMPLETE_VALID_DETECTOR_COVERAGE,32,44.8125,38.5,25.0,95.0,18.9357466184991,0.7140864714086471,441,500.9375,404.5,342.0,1115.0,208.39976607472477,0.880349344978166,NONE_POPULATION_CONTEXT_ONLY
27,APPLAUSE:11819 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05361,DASCH:bi05361:exp0,APPLAUSE:11819,COMPLETE_VALID_DETECTOR_COVERAGE,190,62.5625,54.0,42.0,114.0,20.768465679165292,3.036963036963037,1988,695.0625,571.5,493.0,1463.0,259.7233062960144,2.8601744447441777,NONE_POPULATION_CONTEXT_ONLY
28,APPLAUSE:13877 | APPLAUSE:139431,APPLAUSE:139431,APPLAUSE:13877,COMPLETE_VALID_DETECTOR_COVERAGE,19768,1679.375,1687.0,1629.0,1718.0,30.42997425784868,11.771045775958317,60331,18519.125,18503.5,18268.0,18812.0,144.55304677983557,3.257767308120659,NONE_POPULATION_CONTEXT_ONLY
29,APPLAUSE:13876 | APPLAUSE:139430,APPLAUSE:139430,APPLAUSE:13876,COMPLETE_VALID_DETECTOR_COVERAGE,24603,1979.0,1976.0,1926.0,2043.0,33.318663438579485,12.432036382011116,67751,22267.25,22246.5,22104.0,22526.0,130.15196246439518,3.0426298712234336,NONE_POPULATION_CONTEXT_ONLY
30,APPLAUSE:139532 | DASCH:ivo://org.gavo.dc/~?dasch/q/j04686,APPLAUSE:139532,DASCH:j04686:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,38154,2317.8125,2310.0,2251.0,2395.0,42.672737198356515,16.46121073210193,76566,25908.9375,25856.5,25535.0,26516.0,256.17792482309375,2.95519644524211,NONE_POPULATION_CONTEXT_ONLY
31,APPLAUSE:11790 | DASCH:ivo://org.gavo.dc/~?dasch/q/b75711,APPLAUSE:11790,DASCH:b75711:exp0,COMPLETE_VALID_DETECTOR_COVERAGE,625,615.1875,619.5,568.0,656.0,24.241063645530627,1.015950421619425,6789,6759.75,6695.5,6541.0,7115.0,185.4445110178963,1.0043270831021858,NONE_POPULATION_CONTEXT_ONLY
32,APPLAUSE:12405 | APPLAUSE:131662,APPLAUSE:131662,APPLAUSE:12405,COMPLETE_VALID_DETECTOR_COVERAGE,117,42.5,34.0,25.0,142.0,27.439630706941617,2.7529411764705882,747,446.6875,416.0,337.0,942.0,142.00080692258993,1.6723100601651042,NONE_POPULATION_CONTEXT_ONLY
33,APPLAUSE:12471 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12471,COMPLETE_VALID_DETECTOR_COVERAGE,8,6.1875,6.0,2.0,11.0,2.4281337140555777,1.292929292929293,57,70.375,72.5,40.0,86.0,10.461835403025608,0.8099467140319716,NONE_POPULATION_CONTEXT_ONLY
