background,candidate_index,centroid_offset_px,centroid_offset_px_control_median,centroid_offset_px_control_n,centroid_offset_px_control_robust_sigma,centroid_offset_px_robust_z,concentration_f3_f8,concentration_f3_f8_control_median,concentration_f3_f8_control_n,concentration_f3_f8_control_robust_sigma,concentration_f3_f8_robust_z,control_selection_mode,eligible_fallback_count,eligible_preferred_count,ellipticity,ellipticity_control_median,ellipticity_control_n,ellipticity_control_robust_sigma,ellipticity_robust_z,endpoint_key,endpoint_status,error,flux3,flux5,flux8,global_x,global_y,hdu_index,oriented_center_value,outlier_metric_count,outlier_metrics,peak_to_flux5,peak_to_flux5_control_median,peak_to_flux5_control_n,peak_to_flux5_control_robust_sigma,peak_to_flux5_robust_z,polarity,population,positive_flux_support_r6,raw_match_row,rounded_x,rounded_y,scan_path,scan_sha256,selected_control_count,side,sigma_major_px,sigma_major_px_control_median,sigma_major_px_control_n,sigma_major_px_control_robust_sigma,sigma_major_px_robust_z,sigma_minor_px,sigma_minor_px_control_median,sigma_minor_px_control_n,sigma_minor_px_control_robust_sigma,sigma_minor_px_robust_z,snr,tile_id,usable_control_count
22709.0,83,0.5049828356944424,0.5842030646696217,30,0.4906235292030157,-0.16146846667518608,0.525239352489295,0.3531608863692347,30,0.11515851861234419,1.494274745746987,same_tile_same_polarity_fallback_snr_0.50_1.50,30,8,0.125826206671096,0.2716630342559043,30,0.10419057267433565,-1.3997123140943348,APPLAUSE:14120,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,180436.0,263737.0,343531.0,8188.0,1621.0,0,11018.0,0,,0.04177646670736378,0.03189851419301162,30,0.00826810838821171,1.1947052518609558,-1,PRIMARY_424,288683.0,292670,8188,1621,work/pair17_morphology_v076/scans/LA08164_y.fits,e3340ba35643cf9342c2d1f5588a7e888dc5a1b157637f7d6f4e69e71ab6390f,30,A,2.2947750543370056,2.8011988269521684,30,0.3517841512039806,-1.4395866638162305,2.006032214086322,2.0240308144568964,30,0.15198353734575767,-0.11842467075646691,11.332073115928605,x07168-08192_y01024-02048,30
-426.5,149,0.4874728504887101,0.4369916581154979,32,0.2953440186480594,0.17092336118500187,0.4158111976874543,0.3800980473231695,32,0.04031456777248281,0.885862166892962,same_tile_same_polarity_preferred_snr_0.75_1.25,216,82,0.15532832768419136,0.11103186526197217,32,0.05933272917362312,0.7465771933833707,APPLAUSE:132654,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,269278.5,517890.5,647598.0,2106.0,4487.0,0,11854.5,0,,0.02288997384582262,0.022893483946253606,32,0.001410084812691002,-0.002489283197289399,-1,PRIMARY_424,585806.0,292670,2106,4487,work/pair17_morphology_v076/scans/012673_1953_h.fits,871622bc7113e5d0fa8936c9a4a10ce0b85861176b3c98bacb8fcfa70c641b62,32,B,2.6553074231781526,2.6513829879160027,32,0.10756997595181186,0.036482626564013985,2.2428629616484708,2.35491747447572,32,0.09952458965443907,-1.1258977627168871,9.41263764544632,x02048-03072_y04096-05120,32
22002.0,17,0.6282135971271604,0.7330492442304943,32,0.5435707171661108,-0.19286478059357454,0.4850358792354526,0.4124812508445651,32,0.05808094066482008,1.2491985763383857,same_tile_same_polarity_preferred_snr_0.75_1.25,56,37,0.2855635164568968,0.25427298357629435,32,0.12024442746127813,0.26022439077834886,APPLAUSE:14120,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,81179.0,135841.0,167367.0,6010.0,1194.0,0,4898.0,0,,0.03605686059437136,0.042298730110341666,32,0.009265950136696977,-0.6736351290354923,-1,PRIMARY_424,148037.0,292672,6010,1194,work/pair17_morphology_v076/scans/LA08164_y.fits,e3340ba35643cf9342c2d1f5588a7e888dc5a1b157637f7d6f4e69e71ab6390f,32,A,2.5730519095256352,2.5516325055105966,32,0.3350290541660967,0.06393297461425407,1.8382821582153617,1.9179943520762923,32,0.2633645046491392,-0.30266870612319313,5.562963198526011,x05120-06144_y01024-02048,32
-936.0,48,0.555055965747054,0.5075214509455359,32,0.1885435153638486,0.25211429154583553,0.36436159627597164,0.38465018647338267,32,0.033594154220244934,-0.6039321622565054,same_tile_same_polarity_preferred_snr_0.75_1.25,263,109,0.06006270604263286,0.11792633741465058,32,0.06049982465400532,-0.9564264310340761,APPLAUSE:132654,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,228869.0,452508.0,628137.0,2242.0,5206.0,0,10110.0,0,,0.022342146437190062,0.02290112436005879,32,0.0023955417619082875,-0.23334092177272103,-1,PRIMARY_424,529036.0,292672,2242,5206,work/pair17_morphology_v076/scans/012673_1953_h.fits,871622bc7113e5d0fa8936c9a4a10ce0b85861176b3c98bacb8fcfa70c641b62,32,B,2.6107918015071387,2.664946571081179,32,0.10906891707715018,-0.49651881604117853,2.4539805809946995,2.3299580113889746,32,0.10032238303707477,1.2362402671385064,8.250370969184964,x02048-03072_y05120-06144,32
22060.5,4,1.0529598466853545,0.8620943417431816,32,0.4611994739265128,0.41384588607008105,0.387319114313942,0.40576319352085793,32,0.058493322895674424,-0.31531939534041875,same_tile_same_polarity_preferred_snr_0.75_1.25,64,60,0.3004219149877664,0.23750893739486822,32,0.12151611686510966,0.5177336078203966,APPLAUSE:14120,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,83307.5,138487.0,215087.5,14652.0,3098.0,0,5045.5,0,,0.036433022594178514,0.04603418005920712,32,0.012801934318207708,-0.7499770914597836,-1,PRIMARY_424,165007.0,292673,14652,3098,work/pair17_morphology_v076/scans/LA08164_y.fits,e3340ba35643cf9342c2d1f5588a7e888dc5a1b157637f7d6f4e69e71ab6390f,32,A,2.7467751762139097,2.618089882822008,32,0.2177587986350434,0.5909533584797836,1.9215837177348676,2.01704413736309,32,0.2760237551927947,-0.34584131920655203,5.111828958635433,x14336-15360_y03072-04096,32
1116.0,49,0.3760367378070536,0.6239688204907299,32,0.32828566539998916,-0.7552327403074129,0.3567380679572212,0.3443647074274616,32,0.050942739064763404,0.2428876176844229,same_tile_same_polarity_preferred_snr_0.75_1.25,135,58,0.17261216592066408,0.13541689599710754,32,0.07005419074722556,0.5309499621195699,APPLAUSE:132654,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,195836.0,388137.0,548963.0,1632.0,2346.0,0,8348.0,0,,0.021507869643965918,0.02358352998834967,32,0.004771599358332392,-0.43500306469761224,-1,PRIMARY_424,453422.0,292673,1632,2346,work/pair17_morphology_v076/scans/012673_1953_h.fits,871622bc7113e5d0fa8936c9a4a10ce0b85861176b3c98bacb8fcfa70c641b62,32,B,2.790292668462782,2.67397186799385,32,0.21587404396306117,0.5388364359766938,2.308654207406872,2.3268537610146374,32,0.23640960001000877,-0.07698314115414508,6.786371969630445,x01024-02048_y02048-03072,32
22011.5,42,0.48658605728883403,0.1983330016378492,5,0.19494152170377058,1.4786642329026685,0.5247348003137199,0.4565940924059069,5,0.177810419112368,0.3832211197070019,same_tile_same_polarity_fallback_snr_0.50_1.50,5,1,0.08634426818711527,0.04635831786852862,5,0.010031558259293527,3.986015859653958,APPLAUSE:14120,MORPHOLOGY_OUTLIER_VS_SNR_MATCHED_CONTROLS,,473686.5,790579.5,902716.0,14306.0,2494.0,0,22256.5,1,ellipticity,0.02815213397261123,0.029191846078744928,5,0.007995738201240615,-0.1300332852284203,-1,DIAGNOSTIC_179,851464.5,292675,14306,2494,work/pair17_morphology_v076/scans/LA08164_y.fits,e3340ba35643cf9342c2d1f5588a7e888dc5a1b157637f7d6f4e69e71ab6390f,5,A,2.3300491725376427,2.447196919094389,5,0.1989055518680973,-0.5889616727965037,2.1288627818948864,2.3337489864321275,5,0.49928371507792135,-0.41036027883518134,21.553816968754347,x13312-14336_y02048-03072,5
-111.0,90,0.09855581053090663,0.4414386848717944,32,0.22365586212283903,-1.533082437841783,0.2990414658177412,0.3200682212041899,32,0.019986816241614542,-1.052031255616833,same_tile_same_polarity_preferred_snr_0.75_1.25,85,35,0.08592313300392096,0.12627138625501333,32,0.03445334893883043,-1.1710981513793606,APPLAUSE:132654,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,372408.0,822158.0,1245339.0,1831.0,2463.0,0,14596.0,0,,0.017753278566893467,0.019274330083105716,32,0.0010007614440651958,-1.5198942017925685,-1,DIAGNOSTIC_179,999817.0,292675,1831,2463,work/pair17_morphology_v076/scans/012673_1953_h.fits,871622bc7113e5d0fa8936c9a4a10ce0b85861176b3c98bacb8fcfa70c641b62,32,B,2.8212702915751753,2.8297032479448205,32,0.0502529483125122,-0.16781018134901302,2.5788579090721506,2.4275738489025,32,0.057690750942796465,2.6223278029377184,11.35055965312883,x01024-02048_y02048-03072,32
16573.0,306,0.4488430771280575,1.9518388198827197,32,0.7664628560477263,-1.9609505286464568,0.464977530620259,0.20374186178351447,32,0.0388640578688274,6.721780564408842,same_tile_same_polarity_preferred_snr_0.75_1.25,130,124,0.14427670207121757,0.39647969121894067,32,0.046831503078553646,-5.385327665539284,APPLAUSE:14120,MORPHOLOGY_OUTLIER_VS_SNR_MATCHED_CONTROLS,,410876.0,716977.0,883647.0,15037.0,655.0,0,18423.0,4,sigma_major_px;ellipticity;concentration_f3_f8;peak_to_flux5,0.025695384928665774,0.01760321488792279,32,0.001622656988864133,4.986987451000066,-1,DIAGNOSTIC_179,795695.0,292677,15037,655,work/pair17_morphology_v076/scans/LA08164_y.fits,e3340ba35643cf9342c2d1f5588a7e888dc5a1b157637f7d6f4e69e71ab6390f,32,A,2.5257905371554683,3.0320433458724514,32,0.13623525116148394,-3.7160191976811174,2.1613778083319883,1.825186237047231,32,0.22413504447979815,1.499950942812333,17.11838774033615,x14336-15360_y00000-01024,32
499.0,40,0.43223536593587975,0.3105113812945237,32,0.18736251848466715,0.649670946066608,0.2768815370279371,0.27735064398539555,32,0.04021715751936443,-0.01166434890960579,same_tile_same_polarity_preferred_snr_0.75_1.25,77,35,0.07201169811320585,0.060640189985673054,32,0.01925698260351215,0.5905134964113652,APPLAUSE:132654,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,,641215.0,1492857.0,2315846.0,2440.0,2230.0,0,24329.0,0,,0.01629693935855879,0.01646296611466607,32,0.0021078611857396215,-0.07876550753460738,-1,DIAGNOSTIC_179,1845498.0,292677,2440,2230,work/pair17_morphology_v076/scans/012673_1953_h.fits,871622bc7113e5d0fa8936c9a4a10ce0b85861176b3c98bacb8fcfa70c641b62,32,B,2.839796304330079,2.8160756905816475,32,0.09746514491361133,0.24337534992079957,2.6352977501596637,2.646548579798644,32,0.10383057738524691,-0.10835757560353096,17.48625530372224,x02048-03072_y02048-03072,32
