background,centroid_offset_px,concentration_f3_f8,control_candidate_index,control_global_x,control_global_y,control_order,control_selection_mode,control_snr,distance_from_science_px,ellipticity,endpoint_key,error,flux3,flux5,flux8,oriented_center_value,peak_to_flux5,polarity,population,positive_flux_support_r6,raw_match_row,rounded_x,rounded_y,science_candidate_index,science_tile_id,side,sigma_major_px,sigma_minor_px,snr_ratio,usable
22651.0,0.6106155859293718,0.27838976065224885,132,7796.0,1792.0,13,same_tile_same_polarity_fallback_snr_0.50_1.50,6.560858773984545,427.6739412215806,0.34407283607599903,APPLAUSE:14120,,130025.0,274874.0,467061.0,7255.0,0.026393911392128756,-1,PRIMARY_424,343292.0,292670,7796,1792,83,x07168-08192_y01024-02048,A,3.1686179086029678,2.078382558348744,0.5789636818317437,True
22649.5,0.6600248924997798,0.3116850692441026,135,7786.0,1793.0,14,same_tile_same_polarity_fallback_snr_0.50_1.50,6.638426425394539,437.25050028559144,0.36113543283716965,APPLAUSE:14120,,130457.5,242756.0,418555.5,7248.5,0.029859200184547446,-1,PRIMARY_424,294213.0,292670,7786,1793,83,x07168-08192_y01024-02048,A,3.0270246846384583,1.9338588149427518,0.5858086474983492,True
22996.0,0.43600449364175736,0.4836606521012116,63,7806.0,1405.0,15,same_tile_same_polarity_fallback_snr_0.50_1.50,8.454018539738787,438.8393783606936,0.18843425387238188,APPLAUSE:14120,,157640.0,254892.0,325931.0,8471.0,0.033233683285469925,-1,PRIMARY_424,282893.0,292670,7806,1405,83,x07168-08192_y01024-02048,A,2.5032848548984408,2.0315802410356194,0.7460257671524937,True
22628.0,0.14978028804301308,0.3477872437589921,136,7776.0,1794.0,16,same_tile_same_polarity_fallback_snr_0.50_1.50,8.08396924719143,446.84784882552583,0.3398043894226377,APPLAUSE:14120,,156883.0,284485.0,451089.0,8550.0,0.030054308663022656,-1,PRIMARY_424,342332.0,292670,7776,1794,83,x07168-08192_y01024-02048,A,3.028321449886818,1.999284528632551,0.713370727888124,True
22434.0,1.0438011674104286,0.4629780166950745,44,8013.0,1174.0,17,same_tile_same_polarity_fallback_snr_0.50_1.50,5.895598034757837,480.0354153601586,0.2727650701613158,APPLAUSE:14120,,52967.0,79762.0,114405.0,5414.0,0.0678769338782879,-1,PRIMARY_424,93979.0,292670,8013,1174,83,x07168-08192_y01024-02048,A,2.5537711312520135,1.857191569460115,0.5202576769885873,True
-12642.5,2.179018748800232,0.18745574373840151,32,7947.0,1146.0,18,same_tile_same_polarity_fallback_snr_0.50_1.50,14.450466385860521,532.6405917689714,0.3031542019604718,APPLAUSE:14120,,198945.0,477880.5,1061290.5,8161.5,0.017078537416780972,-1,PRIMARY_424,643056.5,292670,7947,1146,83,x07168-08192_y01024-02048,A,2.852630151957029,1.9878433347521165,1.2751829464944624,True
-13864.0,2.0443077210206084,0.18492188485237748,28,7945.0,1138.0,19,same_tile_same_polarity_fallback_snr_0.50_1.50,13.716785043160538,540.6829015236195,0.3011425984427132,APPLAUSE:14120,,189159.0,464228.0,1022913.0,7639.0,0.01645527628665225,-1,PRIMARY_424,622722.0,292670,7945,1138,83,x07168-08192_y01024-02048,A,2.9186257024343902,2.039703174521609,1.2104391582048593,True
-11908.0,2.148000372543459,0.1819758614941726,33,7924.0,1148.0,20,same_tile_same_polarity_fallback_snr_0.50_1.50,13.648825220767558,541.6871790987858,0.31182686844543106,APPLAUSE:14120,,201965.0,497383.0,1109845.0,7978.0,0.016039953114601827,-1,PRIMARY_424,671393.0,292670,7924,1148,83,x07168-08192_y01024-02048,A,2.8960242690612565,1.9929660902979165,1.204442036433958,True
22976.0,1.1186729929111057,0.377254925056686,137,7675.0,1795.0,21,same_tile_same_polarity_fallback_snr_0.50_1.50,5.70226454374087,541.7056396235874,0.2494063696384392,APPLAUSE:14120,,128112.0,240939.0,339590.0,5995.0,0.0248818165593781,-1,PRIMARY_424,278221.0,292670,7675,1795,83,x07168-08192_y01024-02048,A,2.700197229988518,2.0267508415493123,0.5031969424663917,True
-11221.5,1.9615247595438026,0.19106767410516326,23,7938.0,1131.0,22,same_tile_same_polarity_fallback_snr_0.50_1.50,14.202749089160037,550.0909015790027,0.27715684382387484,APPLAUSE:14120,,240004.5,586178.5,1256123.0,9244.5,0.015770793367549305,-1,PRIMARY_424,778141.0,292670,7938,1131,83,x07168-08192_y01024-02048,A,2.9012669647069624,2.0971609696783076,1.2533231072429587,True
