raw_match_row,population,a_endpoint_status,b_endpoint_status,a_control_count,b_control_count,a_outlier_metric_count,b_outlier_metric_count,a_outlier_metrics,b_outlier_metrics,pair_morphology_context,candidate_disposition_changed
292738,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,18,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292739,PRIMARY_424,INSUFFICIENT_USABLE_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,3,28,,0,,,MORPHOLOGY_UNRESOLVED_ONE_OR_MORE_ENDPOINTS,False
292740,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,12,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292742,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,32,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292746,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,12,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292747,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,12,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292753,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,19,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292754,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,14,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292756,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,16,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292758,DIAGNOSTIC_179,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,13,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292761,DIAGNOSTIC_179,MORPHOLOGY_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,32,32,1,0,concentration_f3_f8,,MORPHOLOGY_OUTLIER_ONE_ENDPOINT,False
292766,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,16,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292767,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,11,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292769,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,14,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
