raw_match_row,population,target_ra_deg,target_dec_deg,query_sha256,raw_votable_sha256,raw_votable_sha256_kind,raw_query_row_count,cached,http_status,transport_mode,component_query_count,component_cache_hits,decomposition_events,global_timeout_fallback
292670,PRIMARY_424,84.42152695134904,9.193517580040298,cbdbb1a761c81afd5d034420eb3b6f00707d8d1d2c17c745e2501e741a89b84f,130cfc2764612957fc33f55aab1d192cf2f0994f53c36f68cd07f849ce48ab00,single_raw_votable_sha256,538,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292672,PRIMARY_424,84.23999947648255,10.070303173081452,239137b133a63c82eb09601515af770b2a2e98654cf02683face61cc452c0232,0140ae4fa5339ea2e20d8f6747076514fa01a1b2d34889d5e7989257af79a1d4,single_raw_votable_sha256,421,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292673,PRIMARY_424,85.04110507068629,6.589417697218881,ab70f2c9db6ecad859b54d978443231e8158aaad5b0b66c0aca5d7ce3ad551e5,2ad22bd5bb6c996335ac42b0f35d3f8ba7c5d17ab40b1a3468f2f364477f4a91,single_raw_votable_sha256,416,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292675,DIAGNOSTIC_179,84.79543567149825,6.727827675262417,96bfa68041c0b59d23888e8ee14b1a326bc4f9f7d244f67a5a1c7b13c2bf8fcc,688f320af3e9f92fc51efd74c12c277227849d0cf5500b08fbe212e3ce6e2d36,single_raw_votable_sha256,712,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292677,DIAGNOSTIC_179,84.0535384472597,6.430563196494599,a1bab7087357825b6fb477eeef7193b44230b578377e8729bd17f31164c082c0,9f07e5ec868a9d332ae784361334c1f2a964cb0e936a3acbf9fe09e114718452,single_raw_votable_sha256,418,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292678,PRIMARY_424,84.28197000186023,10.081951982425755,af3576a02be34d1b5ece78128381c28ade3f37756a5d6c6ec669237820826b72,eafa380ca43c8fcd50a08303cd6c289f003c10dc1a227ac9b25ec0172e16828c,single_raw_votable_sha256,359,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292679,PRIMARY_424,85.75037947502369,9.170606219366912,96c934595db7bef3767126380b47938b524ac13a99c679a2e02487dc4f44774c,76da292dc11c5e7b38b3e1e34fe08e6c9ee1f8e652b0be73f944176909ed34b1,single_raw_votable_sha256,754,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292681,PRIMARY_424,84.33843989996389,9.290102661609746,45f5127f7d4716edf67b31cd27af1611de2c5cd65807bf23787d96fee926ad89,ae7522d82d6502b3adf32a841b431a7c7a101f4c2c4fd3df5740b1ec17664cac,single_raw_votable_sha256,646,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292687,PRIMARY_424,84.46826141523495,9.210065042356483,2c054a5d61ee91833e926b3aea33387d05e1a7416d0cc184c2ae6496e3ce89ff,803f1ccd3cb36ca5dc0fea3f22932fd61b6f28e36a5e33e917707762ead69344,single_raw_votable_sha256,809,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292689,PRIMARY_424,84.05551722233281,9.990203669406688,7355d591dffa27f9fc7e7396525b0a6465e77e44663160eae8e9e204d4b16b9a,a0281d1c2e6a7a01defaf7cb9330dff404c685733e637a3c4ebd6e5deba39364,single_raw_votable_sha256,780,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292691,DIAGNOSTIC_179,85.268053103736,5.7745665907210135,89dbfdf00562e3cbf620f43782497da4e690865519b16e8e800228bb73ea7020,19aeea1bbf8c2ab22c95f1c3650dc7e22b50fbf47c307d6389b2187c39822ea6,single_raw_votable_sha256,244,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292692,PRIMARY_424,84.96366278713406,6.527192211172705,688478605cf693baa324b9f918c2e5b326aae244dfaafd3d39900e841892c035,27def5e1d19b41e8cc750c593445eadec99a203700ff1c01af19e286d53e6be3,single_raw_votable_sha256,313,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292693,PRIMARY_424,84.5208872148356,9.23174142376802,5e975d93686e27795c52634ba418fccbbc2e7340cd70ab1b6022ab349493e116,734bae9487514949bcde5a64278c6c979f1919f70128f0162e93f7c2fb9b612d,single_raw_votable_sha256,570,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292695,DIAGNOSTIC_179,85.41953361894292,9.329138097733253,51f4903901873d9693b29f29560115e7771013e756342198919e6dc60f7e7798,a56a90e23fa1a9eb1ff9b2fdf2dbb1e72b23f1d54f09ac21649448d83d95a742,single_raw_votable_sha256,775,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292697,PRIMARY_424,84.4452378011296,9.180603748960722,e474760ec32469644581473f89f40fa1633b382a07b286eb2e209e306457a7da,e65649e845d0f6acbd1c87095e0065e9612cf168d889715b60434134cc77b507,single_raw_votable_sha256,774,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292698,PRIMARY_424,84.92147137230093,9.849296474599306,5979d90977476899fad86123453546cc7dfb253f8e103884a9493f98c22e803c,4a8640d3ad057efbbe99ed8d9b35b836add6493dd461312a67ce86490e0b2fc4,single_raw_votable_sha256,682,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292700,PRIMARY_424,85.68542365397536,9.25526012867555,9b994799cefc64478dcca2d1b2265f6b3afe97babcc3f83034099e18c5738290,dd4fd5b794a602b5c7f8f5621c483a3b518ff9f8232d4a7e98d42e6711b3b5de,single_raw_votable_sha256,909,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292701,PRIMARY_424,84.92838260184355,10.062208499502209,aa17ec26d73a6a4c94c5f4564b421f67fdcbafd3ff137516bbcdbce532b8a0c0,367b2351ffacecd19a2a1fb94ac8a55dd17a64d5105990703011c3a5ba1329dd,single_raw_votable_sha256,718,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292702,PRIMARY_424,84.12198277868859,6.834053203811565,bfb7aff14bfc5474416055558cbb8e52ce2925e312965527838d548e618b4610,bd9e10a48fa7f39d9680b377fc34e6110afdc7abce8c2739b842db26718d0239,single_raw_votable_sha256,808,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292704,PRIMARY_424,85.00661728698256,9.937294010330833,43554dc5376174b382d9b03d692294e16571cd4b025c37a8b31441b798718497,1f829140340527531dedcf31caf6275a626707e7aae68eaeab31835e925c5932,single_raw_votable_sha256,695,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
292710,PRIMARY_424,84.49030382270293,10.059628968939531,d92ee2d3054a4506db812e197de0d80db5cff238a76093b0a18a273c1272a708,c6cd0c2b44ccc209742dac864553aad2803fdf3731b6041cfd62176bfa64a139,single_raw_votable_sha256,461,True,200,GLOBAL_CANDIDATE_CONE_CACHED_FROM_V078,1,1,0,False
