pair_index,pair_id,fragment_index,start_utc,end_utc,duration_seconds,fragment_status,extent_status,witness_time_utc,witness_distance_km,witness_disparity_arcsec,witness_ge2arcsec,fixed_time_component_intervals_json,deltat_source,deltat_uncertainty_qualification,published_reference_max_score_arcsec,height107m_max_score_arcsec,cells_processed,cells_certified_empty,cells_unresolved,max_depth_reached,exact_time_probes,negative_certificate_digest_sha256,unresolved_reason,input_hold_reason
1170,5067|126133,1,1933-08-29T00:01:00+00:00,1933-08-29T00:31:00+00:00,1800.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-08-29T00:01:00+00:00,6740.921820856491,186604.89218475542,True,"[{""component_a"":0,""component_b"":1,""lower_closed"":null,""max_distance_km"":null,""max_unbounded"":false,""min_distance_km"":null,""upper_closed"":null,""upper_extent_state"":""UNRESOLVED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.008063421837729987,36.92965647749357,1,0,0,0,3,,,
1171,5067|126135,1,1933-08-29T01:03:00+00:00,1933-08-29T01:33:00+00:00,1800.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-08-29T01:03:00+00:00,6685.049895266251,228455.97890596325,True,"[{""component_a"":1,""component_b"":0,""lower_closed"":null,""max_distance_km"":null,""max_unbounded"":false,""min_distance_km"":null,""upper_closed"":null,""upper_extent_state"":""UNRESOLVED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.011729476586110992,5.080055602573763,1,0,0,0,3,,,
1172,5067|126136,1,1933-08-29T01:34:00+00:00,1933-08-29T01:57:44+00:00,1424.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,63,32,0,5,65,99f93889f0389de5dece9de528204af1d9e5882a67e7ae3ac0154c402ef924b7,,
1173,5072|126140,1,1933-08-29T22:54:18+00:00,1933-08-29T23:12:00+00:00,1062.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-08-29T23:03:09+00:00,6950.5484776538615,126938.01016024812,True,"[{""component_a"":1,""component_b"":0,""lower_closed"":true,""max_distance_km"":null,""max_unbounded"":false,""min_distance_km"":6950.5484776538615,""upper_closed"":null,""upper_extent_state"":""UNRESOLVED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.005132358006939819,23.75863058463124,1,0,0,0,3,,,
1174,5072|126141,1,1933-08-29T23:13:00+00:00,1933-08-29T23:43:00+00:00,1800.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-08-29T23:28:00+00:00,6866.5525369804545,149507.73260554913,True,"[{""component_a"":0,""component_b"":0,""lower_closed"":null,""max_distance_km"":null,""max_unbounded"":false,""min_distance_km"":null,""upper_closed"":null,""upper_extent_state"":""UNRESOLVED""},{""component_a"":1,""component_b"":0,""lower_closed"":null,""max_distance_km"":null,""max_unbounded"":false,""min_distance_km"":null,""upper_closed"":null,""upper_extent_state"":""UNRESOLVED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.006186704849548506,25.005552587967298,1,0,0,0,3,,,
1175,5072|126151,1,1933-08-29T22:54:18+00:00,1933-08-29T23:12:00+00:00,1062.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-08-29T23:03:01.740235+00:00,7178.785496103935,95302.73425929752,True,"[{""component_a"":1,""component_b"":0,""lower_closed"":true,""max_distance_km"":null,""max_unbounded"":false,""min_distance_km"":7178.785496103935,""upper_closed"":null,""upper_extent_state"":""UNRESOLVED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.004044834273207939,15.562003451571398,974,449,36,15,976,5ab4ed4bdbb13a3134a1310777977b3c6ec77c7b22982c9d6e70a022491563aa,,
1176,5072|126152,1,1933-08-29T23:13:00+00:00,1933-08-29T23:43:00+00:00,1800.0,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,[],,,,,149,75,0,7,151,e2273b20b980b72d665bf2c5d617f33cb9d61294fe0fb9400c8d379baf3a75ab,,
1177,5072|126153,1,1933-08-29T23:44:00+00:00,1933-08-30T00:14:00+00:00,1800.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-08-29T23:44:00+00:00,7172.787496868964,92454.16766667823,True,"[{""component_a"":0,""component_b"":0,""lower_closed"":null,""max_distance_km"":null,""max_unbounded"":true,""min_distance_km"":null,""upper_closed"":false,""upper_extent_state"":""VERIFIED_UNBOUNDED""},{""component_a"":1,""component_b"":1,""lower_closed"":true,""max_distance_km"":null,""max_unbounded"":true,""min_distance_km"":19474.62595796426,""upper_closed"":false,""upper_extent_state"":""VERIFIED_UNBOUNDED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.003823890184104071,19.98451267085167,1,0,0,0,3,,,
1178,5072|126154,1,1933-08-30T00:15:00+00:00,1933-08-30T00:42:00+00:00,1620.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-08-30T00:15:00+00:00,6717.975277711035,201193.36308513337,True,"[{""component_a"":1,""component_b"":0,""lower_closed"":null,""max_distance_km"":null,""max_unbounded"":false,""min_distance_km"":null,""upper_closed"":null,""upper_extent_state"":""UNRESOLVED""},{""component_a"":1,""component_b"":1,""lower_closed"":true,""max_distance_km"":null,""max_unbounded"":false,""min_distance_km"":7065.50526321686,""upper_closed"":null,""upper_extent_state"":""UNRESOLVED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.008527138365619394,29.689352079175276,1,0,0,0,3,,,
1179,5074|126173,1,1933-09-11T19:48:38+00:00,1933-09-11T19:50:00+00:00,82.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1933-09-11T19:49:19+00:00,7806.8210399146865,28983.19410243094,True,"[{""component_a"":1,""component_b"":0,""lower_closed"":null,""max_distance_km"":null,""max_unbounded"":false,""min_distance_km"":null,""upper_closed"":null,""upper_extent_state"":""UNRESOLVED""}]",HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.0020964969571452955,15.287970789473887,1,0,0,0,3,,,
