pair_index,pair_id,plate_a,plate_b,site_a,site_b,legacy_infinity_geometry_status,overlap_fragment_count,pair_status,extent_status,witness_fragment_index,witness_time_utc,witness_distance_km,witness_disparity_arcsec,witness_ge2arcsec,deltat_sources,deltat_uncertainty_qualification,published_reference_max_score_arcsec,height107m_max_score_arcsec,cells_processed,cells_certified_empty,cells_unresolved,exact_time_probes,negative_certificate_digest_sha256,input_hold_reason
5044,21588|44631,33698,11629,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,aa9fc3b872b15b2b22fbd25bcf168f5c7c5a251cad66f31b0a99bdab9eb9e8d6,
5045,21589|44631,33699,11629,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,aa9fc3b872b15b2b22fbd25bcf168f5c7c5a251cad66f31b0a99bdab9eb9e8d6,
5046,21590|44631,33700,11629,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,aa9fc3b872b15b2b22fbd25bcf168f5c7c5a251cad66f31b0a99bdab9eb9e8d6,
5047,21591|44631,33701,11629,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,aa9fc3b872b15b2b22fbd25bcf168f5c7c5a251cad66f31b0a99bdab9eb9e8d6,
5048,21592|44631,33702,11629,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,aa9fc3b872b15b2b22fbd25bcf168f5c7c5a251cad66f31b0a99bdab9eb9e8d6,
5049,21712|44634,33822,11632,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,497e2458c0aa2db38cc0951397cf55e45085cfdee3a4ca65bafa0bb0132c4ab1,
5050,21712|44635,33822,11633,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,b22808a6bbd4920f94afe7219133e63e0727cdfa97d001644134b625ded52adb,
5051,21712|44636,33822,11634,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,236d36eb410419005bc915f1bb581c93b07c360b55e10e26855aa3ad4fc4d393,
5052,21713|44634,33823,11632,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,497e2458c0aa2db38cc0951397cf55e45085cfdee3a4ca65bafa0bb0132c4ab1,
5053,21713|44635,33823,11633,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,b22808a6bbd4920f94afe7219133e63e0727cdfa97d001644134b625ded52adb,
5054,21713|44636,33823,11634,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,236d36eb410419005bc915f1bb581c93b07c360b55e10e26855aa3ad4fc4d393,
5055,21714|44634,33824,11632,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,497e2458c0aa2db38cc0951397cf55e45085cfdee3a4ca65bafa0bb0132c4ab1,
