pair_index,pair_id,fragment_index,time_utc,component_a,component_b,x_km,y_km,z_km,distance_km,topocentric_ra_a_deg,topocentric_dec_a_deg,topocentric_ra_b_deg,topocentric_dec_b_deg,altitude_a_deg,altitude_b_deg,disparity_arcsec,ge2arcsec,interval_min_distance_km,interval_max_distance_km,interval_max_unbounded,interval_upper_extent_state,interval_lower_closed,interval_upper_closed,deltat_source,deltat_uncertainty_qualification,published_reference_max_score_arcsec,height107m_max_score_arcsec
6783,43635|138103,1,1962-09-01T21:25:03.500000+00:00,1,0,4536.682492626201,-6075.126341678228,7019.298922241223,10332.434634007155,301.21882,26.493640000000024,299.4659281959693,31.402223897827895,61.6464455489876,68.8110569612835,18512.61149969927,True,,,True,VERIFIED_UNBOUNDED,,False,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.0019164159952233248,2.6014505471538625
6785,43635|138105,1,1962-09-01T21:15:23.703125+00:00,0,1,2761.584795247448,-3447.0341109539095,5508.849578442158,7060.86527426519,301.43822000000006,32.20670000000005,285.39302661545196,62.159668192875,67.74926726627825,71.64259400291664,114029.32129953812,True,,,False,UNRESOLVED,,,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.010716955786050779,10.613463968977628
6786,43635|138106,1,1962-09-01T21:25:03.500000+00:00,0,1,2986.5949090479544,-3562.723779678083,5633.3006453546295,7303.891157594541,299.6845041358491,30.790034876584965,288.3595100000001,52.46711999999982,65.40652427324498,74.45769541908514,83543.5620142005,True,,,False,UNRESOLVED,,,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.008177795524247378,11.106810977050708
6787,43635|138107,1,1962-09-01T21:15:05+00:00,1,0,3202.658069000819,-4189.343068262764,5855.878158769948,7880.286991023629,301.21882,26.493640000000028,296.66282706899074,39.71229545578085,62.137039279610605,75.81766843516793,49511.30842009278,True,,,True,VERIFIED_UNBOUNDED,,False,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.00506659716380365,5.795903856112622
6791,43636|138111,1,1962-09-01T22:03:42+00:00,0,0,3923.8596665655305,-4028.7369918175623,5846.369826562716,8112.178288294824,298.84498142653996,20.698861157980538,293.09800000000007,30.282600000000006,52.588655316950174,60.29400785629469,39213.36566766777,True,,,False,UNRESOLVED,,,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.004126873251062121,10.55118170816698
6799,43637|138111,1,1962-09-01T22:10:46+00:00,0,0,4030.868643681635,-4000.4957833397784,5893.911308347306,8184.745508920813,298.84930480610785,21.166594919276235,293.0980000000004,30.282599999999963,52.3564500907993,59.29725865842332,37730.84169195981,True,8184.745508920813,,False,UNRESOLVED,True,,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.003929416635527893,10.517818897093289
6804,43638|138108,1,1962-09-01T22:44:35+00:00,0,0,3644.786081554742,-1929.837289382056,5559.741907000463,6922.388866297659,329.31864000000036,52.82756000000039,261.1455290343021,84.29501475553626,88.00369027351203,51.52600243175789,127412.32007045292,True,6922.388866297659,,False,UNRESOLVED,True,,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.011905139021033769,2.3475171436200823
6805,43638|138109,1,1962-09-01T22:51:17.500000+00:00,1,0,3829.330184337061,-1827.1470644814144,5717.584878926044,7119.902590881543,338.2712581986059,52.82002651092698,328.459670000001,80.52059999999989,87.32732573421305,59.4815234944524,100366.09597020653,True,7119.902590881543,,False,UNRESOLVED,True,,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.008918778804161129,2.332260100910165
6806,43638|138110,1,1962-09-01T22:44:35+00:00,0,1,4088.8372492409962,-2193.300223440725,6240.658220594225,7776.565498161517,329.3186400000002,52.82756000000088,322.56921751236735,68.31526260831636,88.00369027351186,71.04918982926633,56938.64880915056,True,7776.565498161517,,False,UNRESOLVED,True,,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.0051633848463021595,1.018044675407491
6809,43638|138113,1,1962-09-01T22:44:35+00:00,1,0,4233.62851184317,-2279.2072847147465,6462.683833735498,8055.102641047743,329.3186400000006,52.82756000000017,324.15885956713356,65.90132483628369,88.00369027351186,73.52580711130076,47968.628904287,True,8055.102641047743,,False,UNRESOLVED,True,,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.004339874870549868,0.8556663030512671
6809,43638|138113,1,1962-09-01T22:44:35+00:00,0,0,4233.628511843166,-2279.20728471475,6462.683833735506,8055.102641047749,329.3186400000003,52.82756000000035,324.15885956713316,65.90132483628382,88.00369027351186,73.52580711130062,47968.6289042868,True,8055.102641047749,,True,VERIFIED_UNBOUNDED,True,False,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.00433987491360431,0.8556663030339537
6812,43638|138116,1,1962-09-01T23:08:00+00:00,0,0,3817.919909411973,-1573.0267828599026,5585.994350982912,6946.52852750868,330.62407977415285,53.69974396863039,264.9217400000027,82.27638000000029,85.49031501746305,51.60702908481126,121543.31832893426,True,6946.52852750868,,False,UNRESOLVED,True,,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.011602061323981585,5.22839553844018
6814,43638|138118,1,1962-09-01T23:10:16.562500+00:00,0,0,4021.7998976427066,-1654.6124572535598,5873.656158848663,7308.382411502451,329.75819504955257,53.126817062275016,309.81487000000027,74.30858000000003,84.5754893279683,62.769129833857804,81629.86716713832,True,,,False,UNRESOLVED,,,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.007662178484201861,4.178333264648363
6816,43638|138121,1,1962-09-01T23:08:00+00:00,0,0,4367.684282484952,-1908.3665377250582,6420.348551025729,7996.21187503389,329.3186400000002,52.82756000000016,321.3841702198752,65.94614583835177,84.59737601661463,71.76188488417363,49323.84977899398,True,7996.21187503389,,True,VERIFIED_UNBOUNDED,True,False,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.004572806787631633,2.490451032243825
6817,43638|138122,1,1962-09-01T23:08:00+00:00,1,0,35628.9687090246,-20456.205878789537,54356.98310789,68136.34406699201,329.3186400000059,52.827560000002045,329.1707341974691,53.189854765398344,84.59737601661834,83.21228464297745,1343.032855813419,True,68136.34406699201,,True,VERIFIED_UNBOUNDED,True,False,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.00012344049121517793,0.0672242062708327
6819,43639|138156,1,1962-09-03T00:00:26+00:00,1,1,4084.7404909111356,-593.3425518437289,5634.561402364193,6984.657647940214,343.9901911239058,56.282344665470724,278.0635100000008,82.45312999999994,84.50682787878526,51.46208936031601,112736.50004280564,True,6984.657647940214,,False,UNRESOLVED,True,,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.01087138708561022,4.7774950325821495
6821,43639|138158,1,1962-09-03T00:00:26+00:00,1,1,4344.169185005188,-683.4109192391588,6045.136411217783,7475.461900291845,342.6020672839745,56.265815308242495,325.16877000000153,74.16681999999973,83.80106541513369,63.20585439246053,68961.21439022786,True,7475.461900291845,,False,UNRESOLVED,True,,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.006512338179158462,3.3445086669294315
6823,43639|138161,1,1962-09-03T00:29:43+00:00,1,0,4871.323310801495,-413.98664548364354,6845.457878506891,8411.983672559576,339.6953300000004,56.18071000000006,329.8853844786078,65.70881160457257,78.22035202716141,67.87800363753846,38248.03699379075,True,,,True,VERIFIED_UNBOUNDED,,False,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.003683919000134927,3.8092616624752482
